port_index,polarization,x_m,y_m,z_m
0,pol1,0.0,-0.06437261368098159,0.06437261368098159
1,pol1,0.0,-0.06437261368098159,0.04598043834355828
2,pol1,0.0,-0.06437261368098159,0.02758826300613497
3,pol1,0.0,-0.06437261368098159,0.009196087668711656
4,pol1,0.0,-0.06437261368098159,-0.009196087668711656
5,pol1,0.0,-0.06437261368098159,-0.02758826300613497
6,pol1,0.0,-0.06437261368098159,-0.04598043834355828
7,pol1,0.0,-0.06437261368098159,-0.06437261368098159
8,pol1,0.0,-0.04598043834355828,0.06437261368098159
9,pol1,0.0,-0.04598043834355828,0.04598043834355828
10,pol1,0.0,-0.04598043834355828,0.02758826300613497
11,pol1,0.0,-0.04598043834355828,0.009196087668711656
12,pol1,0.0,-0.04598043834355828,-0.009196087668711656
13,pol1,0.0,-0.04598043834355828,-0.02758826300613497
14,pol1,0.0,-0.04598043834355828,-0.04598043834355828
15,pol1,0.0,-0.04598043834355828,-0.06437261368098159
16,pol1,0.0,-0.02758826300613497,0.06437261368098159
17,pol1,0.0,-0.02758826300613497,0.04598043834355828
18,pol1,0.0,-0.02758826300613497,0.02758826300613497
19,pol1,0.0,-0.02758826300613497,0.009196087668711656
20,pol1,0.0,-0.02758826300613497,-0.009196087668711656
21,pol1,0.0,-0.02758826300613497,-0.02758826300613497
22,pol1,0.0,-0.02758826300613497,-0.04598043834355828
23,pol1,0.0,-0.02758826300613497,-0.06437261368098159
24,pol1,0.0,-0.009196087668711656,0.06437261368098159
25,pol1,0.0,-0.009196087668711656,0.04598043834355828
26,pol1,0.0,-0.009196087668711656,0.02758826300613497
27,pol1,0.0,-0.009196087668711656,0.009196087668711656
28,pol1,0.0,-0.009196087668711656,-0.009196087668711656
29,pol1,0.0,-0.009196087668711656,-0.02758826300613497
30,pol1,0.0,-0.009196087668711656,-0.04598043834355828
31,pol1,0.0,-0.009196087668711656,-0.06437261368098159
32,pol1,0.0,0.009196087668711656,0.06437261368098159
33,pol1,0.0,0.009196087668711656,0.04598043834355828
34,pol1,0.0,0.009196087668711656,0.02758826300613497
35,pol1,0.0,0.009196087668711656,0.009196087668711656
36,pol1,0.0,0.009196087668711656,-0.009196087668711656
37,pol1,0.0,0.009196087668711656,-0.02758826300613497
38,pol1,0.0,0.009196087668711656,-0.04598043834355828
39,pol1,0.0,0.009196087668711656,-0.06437261368098159
40,pol1,0.0,0.02758826300613497,0.06437261368098159
41,pol1,0.0,0.02758826300613497,0.04598043834355828
42,pol1,0.0,0.02758826300613497,0.02758826300613497
43,pol1,0.0,0.02758826300613497,0.009196087668711656
44,pol1,0.0,0.02758826300613497,-0.009196087668711656
