scenario,batch_index,user_index,bs_index,path_index,delay_s,path_energy,relative_to_link_max_energy,fraction_of_link_energy
uma,0,14,13,16,4.048565864562988,0.0,0.0,0.0
uma,0,14,13,17,4.048565864562988,0.0,0.0,0.0
uma,0,14,13,18,4.048565864562988,0.0,0.0,0.0
uma,0,14,13,19,4.048565864562988,0.0,0.0,0.0
uma,0,14,13,20,4.048565864562988,0.0,0.0,0.0
uma,0,14,13,21,4.048565864562988,0.0,0.0,0.0
uma,0,14,13,22,4.048565864562988,0.0,0.0,0.0
uma,0,14,13,23,4.048565864562988,0.0,0.0,0.0
umi,0,14,12,16,2.6569433212280273,0.0,0.0,0.0
umi,0,14,12,17,2.6569433212280273,0.0,0.0,0.0
umi,0,14,12,18,2.6569433212280273,0.0,0.0,0.0
umi,0,14,12,19,2.6569433212280273,0.0,0.0,0.0
umi,0,14,12,20,2.6569433212280273,0.0,0.0,0.0
umi,0,14,12,21,2.6569433212280273,0.0,0.0,0.0
umi,0,14,12,22,2.6569433212280273,0.0,0.0,0.0
umi,0,14,4,16,2.245424270629883,0.0,0.0,0.0
umi,0,14,4,17,2.245424270629883,0.0,0.0,0.0
umi,0,14,4,18,2.245424270629883,0.0,0.0,0.0
umi,0,14,4,19,2.245424270629883,0.0,0.0,0.0
umi,0,14,4,20,2.245424270629883,0.0,0.0,0.0
umi,0,14,4,21,2.245424270629883,0.0,0.0,0.0
umi,0,14,4,22,2.245424270629883,0.0,0.0,0.0
uma,0,14,12,16,1.9773696660995483,0.0,0.0,0.0
uma,0,14,12,17,1.9773696660995483,0.0,0.0,0.0
uma,0,14,12,18,1.9773696660995483,0.0,0.0,0.0
uma,0,14,12,19,1.9773696660995483,0.0,0.0,0.0
uma,0,14,12,20,1.9773696660995483,0.0,0.0,0.0
uma,0,14,12,21,1.9773696660995483,0.0,0.0,0.0
uma,0,14,12,22,1.9773696660995483,0.0,0.0,0.0
uma,0,14,12,23,1.9773696660995483,0.0,0.0,0.0
uma,0,5,5,16,1.817299246788025,0.0,0.0,0.0
uma,0,5,5,17,1.817299246788025,0.0,0.0,0.0
uma,0,5,5,18,1.817299246788025,0.0,0.0,0.0
uma,0,5,5,19,1.817299246788025,0.0,0.0,0.0
uma,0,5,5,20,1.817299246788025,0.0,0.0,0.0
uma,0,5,5,21,1.817299246788025,0.0,0.0,0.0
uma,0,5,5,22,1.817299246788025,0.0,0.0,0.0
uma,0,5,5,23,1.817299246788025,0.0,0.0,0.0
uma,0,0,1,16,1.0,0.0,0.0,0.0
uma,0,0,1,17,1.0,0.0,0.0,0.0
uma,0,0,1,18,1.0,0.0,0.0,0.0
uma,0,0,1,19,1.0,0.0,0.0,0.0
uma,0,0,1,20,1.0,0.0,0.0,0.0
uma,0,0,1,21,1.0,0.0,0.0,0.0
uma,0,0,1,22,1.0,0.0,0.0,0.0
uma,0,0,1,23,1.0,0.0,0.0,0.0
uma,0,0,4,16,1.0,0.0,0.0,0.0
uma,0,0,4,17,1.0,0.0,0.0,0.0
uma,0,0,4,18,1.0,0.0,0.0,0.0
uma,0,0,4,19,1.0,0.0,0.0,0.0
uma,0,0,4,20,1.0,0.0,0.0,0.0
uma,0,0,4,21,1.0,0.0,0.0,0.0
uma,0,0,4,22,1.0,0.0,0.0,0.0
uma,0,0,4,23,1.0,0.0,0.0,0.0
uma,0,0,6,16,1.0,0.0,0.0,0.0
uma,0,0,6,17,1.0,0.0,0.0,0.0
uma,0,0,6,18,1.0,0.0,0.0,0.0
uma,0,0,6,19,1.0,0.0,0.0,0.0
uma,0,0,6,20,1.0,0.0,0.0,0.0
uma,0,0,6,21,1.0,0.0,0.0,0.0
uma,0,0,6,22,1.0,0.0,0.0,0.0
uma,0,0,6,23,1.0,0.0,0.0,0.0
uma,0,0,7,16,1.0,0.0,0.0,0.0
uma,0,0,7,17,1.0,0.0,0.0,0.0
uma,0,0,7,18,1.0,0.0,0.0,0.0
uma,0,0,7,19,1.0,0.0,0.0,0.0
uma,0,0,7,20,1.0,0.0,0.0,0.0
uma,0,0,7,21,1.0,0.0,0.0,0.0
uma,0,0,7,22,1.0,0.0,0.0,0.0
uma,0,0,7,23,1.0,0.0,0.0,0.0
uma,0,0,9,16,1.0,0.0,0.0,0.0
uma,0,0,9,17,1.0,0.0,0.0,0.0
uma,0,0,9,18,1.0,0.0,0.0,0.0
uma,0,0,9,19,1.0,0.0,0.0,0.0
uma,0,0,9,20,1.0,0.0,0.0,0.0
uma,0,0,9,21,1.0,0.0,0.0,0.0
uma,0,0,9,22,1.0,0.0,0.0,0.0
uma,0,0,9,23,1.0,0.0,0.0,0.0
uma,0,0,10,16,1.0,0.0,0.0,0.0
uma,0,0,10,17,1.0,0.0,0.0,0.0
uma,0,0,10,18,1.0,0.0,0.0,0.0
uma,0,0,10,19,1.0,0.0,0.0,0.0
uma,0,0,10,20,1.0,0.0,0.0,0.0
uma,0,0,10,21,1.0,0.0,0.0,0.0
uma,0,0,10,22,1.0,0.0,0.0,0.0
uma,0,0,10,23,1.0,0.0,0.0,0.0
uma,0,0,12,16,1.0,0.0,0.0,0.0
uma,0,0,12,17,1.0,0.0,0.0,0.0
uma,0,0,12,18,1.0,0.0,0.0,0.0
uma,0,0,12,19,1.0,0.0,0.0,0.0
uma,0,0,12,20,1.0,0.0,0.0,0.0
uma,0,0,12,21,1.0,0.0,0.0,0.0
uma,0,0,12,22,1.0,0.0,0.0,0.0
uma,0,0,12,23,1.0,0.0,0.0,0.0
uma,0,0,14,16,1.0,0.0,0.0,0.0
uma,0,0,14,17,1.0,0.0,0.0,0.0
uma,0,0,14,18,1.0,0.0,0.0,0.0
uma,0,0,14,19,1.0,0.0,0.0,0.0
uma,0,0,14,20,1.0,0.0,0.0,0.0
uma,0,0,14,21,1.0,0.0,0.0,0.0
uma,0,0,14,22,1.0,0.0,0.0,0.0
uma,0,0,14,23,1.0,0.0,0.0,0.0
