scenario,batch_index,user_index,bs_index,total_energy,maximum_path_energy,raw_max_delay_s,active_max_delay_s,energy_support_delay_s,rms_delay_spread_s,active_path_count
uma,0,0,0,2.598953092127324e-13,9.053540794660975e-14,0.9999998807907104,2.7748305910790805e-06,2.7748305910790805e-06,8.406886392270078e-07,16
uma,0,0,1,3.4541157649615883e-14,7.09331182183995e-15,1.0,2.2992703634372447e-06,2.2992703634372447e-06,5.232387119059561e-07,16
uma,0,0,2,5.862925633126595e-17,9.234440872111313e-18,0.9999999403953552,3.5612536066764733e-06,3.5612536066764733e-06,2.9530149611137925e-07,16
uma,0,0,3,1.3361901309088183e-17,3.3535370278487024e-18,0.9999999403953552,1.2336149666225538e-06,1.2336149666225538e-06,3.62491545896097e-07,16
uma,0,0,4,7.870856573654948e-18,1.894304400521456e-18,1.0,9.36869014367403e-07,9.36869014367403e-07,1.9692152640604094e-07,16
uma,0,0,5,2.3381986021491985e-14,6.247160212367268e-15,0.9999999403953552,2.2015067315805936e-06,2.2015067315805936e-06,5.9755227500481e-07,16
uma,0,0,6,9.970492749168296e-16,4.952342238755797e-16,1.0,1.5664693364669802e-06,1.5664693364669802e-06,4.3722136214164224e-07,16
uma,0,0,7,1.23436417214892e-17,3.2544267283944362e-18,1.0,9.354431540486985e-07,9.354431540486985e-07,8.414066129365392e-08,16
uma,0,0,8,3.999352927854257e-15,1.6120455766435986e-15,0.9999999403953552,4.16007833337062e-06,4.16007833337062e-06,2.482874419035101e-07,16
uma,0,0,9,4.126391842813971e-18,8.008136101424405e-19,1.0,9.560209264236619e-07,9.560209264236619e-07,3.234459264889995e-07,16
uma,0,0,10,1.434253617440911e-16,7.11330989914771e-17,1.0,6.924950071152125e-07,6.924950071152125e-07,1.3391023278395462e-07,16
uma,0,0,11,1.0373065904199281e-16,9.113607320846302e-17,0.9999997615814209,1.224497736984631e-05,1.224497736984631e-05,2.656538723858757e-07,16
uma,0,0,12,8.010444979560094e-16,2.1048355810707577e-16,1.0,7.509016768381116e-07,7.509016768381116e-07,1.0102907145762615e-07,16
uma,0,0,13,2.560322250385129e-17,7.586678066751593e-18,0.9999998807907104,2.0293102807045216e-06,2.0293102807045216e-06,1.7390015779562258e-07,16
uma,0,0,14,6.267721134279684e-17,1.206105351000608e-17,1.0,9.4376207471214e-07,9.4376207471214e-07,2.259246564969611e-07,16
uma,0,0,15,8.541181692797251e-17,3.8075461085505786e-17,0.9999999403953552,1.6369857576137292e-06,1.6369857576137292e-06,7.05339897588091e-08,16
uma,0,0,16,1.3849816945816982e-17,2.843812204371582e-18,1.0,1.1464310318842763e-06,1.1464310318842763e-06,1.6358341288718075e-07,16
uma,0,0,17,4.183463628003813e-18,1.391820199138742e-18,0.9999999403953552,1.7174282902487903e-06,1.7174282902487903e-06,7.393624727028233e-07,16
uma,0,0,18,2.569847597333118e-15,5.938513053090825e-16,1.0,1.3543143495553522e-06,1.3543143495553522e-06,1.6320255101192542e-07,16
uma,0,0,19,4.5372553805129465e-18,7.633802753043892e-19,0.9999999403953552,1.1214671076231753e-06,1.1214671076231753e-06,2.894014155749054e-07,16
uma,0,0,20,1.2170996418936118e-17,3.757386868822098e-18,0.9999998807907104,2.103398628605646e-06,2.103398628605646e-06,3.064459462412252e-07,16
uma,0,1,0,2.2453552213115064e-15,3.815585377662308e-16,1.0,3.024298678155901e-07,3.024298678155901e-07,3.555066265832246e-08,16
uma,0,1,1,1.3301972237602277e-13,4.267014530340979e-14,1.0,1.0250954574075877e-06,1.0250954574075877e-06,5.709869705073388e-08,16
uma,0,1,2,7.234854056037617e-14,3.940174331555288e-14,0.9999999403953552,2.7491314540384337e-06,2.7491314540384337e-06,1.6500475056479745e-07,16
uma,0,1,3,9.14199003187024e-16,6.479501879194714e-16,1.0,6.487784389719309e-07,6.487784389719309e-07,1.1141718830839206e-07,16
uma,0,1,4,3.48101356799163e-17,1.035784478818693e-17,0.9999996423721313,6.819238478783518e-06,6.819238478783518e-06,1.5916871140112331e-06,16
uma,0,1,5,2.551008823174183e-14,4.315904763836729e-15,1.0,3.054550745673623e-07,3.054550745673623e-07,4.641520903584993e-08,16
uma,0,1,6,9.988817354302722e-18,2.6618279201165468e-18,1.0,4.3824215367749275e-07,4.3824215367749275e-07,1.435649220304661e-07,16
uma,0,1,7,1.920232799697761e-17,7.585133720547957e-18,0.9999999403953552,2.9027360142208636e-06,2.9027360142208636e-06,3.118012901167354e-07,16
uma,0,1,8,2.6661650766359364e-15,6.502154187182255e-16,0.9999998807907104,6.55254098091973e-07,6.55254098091973e-07,2.0077066888604427e-07,16
uma,0,1,9,7.511136777166309e-17,1.57721902292385e-17,1.0,2.4096743800328113e-06,2.4096743800328113e-06,4.7238093591536966e-07,16
uma,0,1,10,2.45903437565302e-17,4.706237891265857e-18,1.0,1.4587114947062219e-06,1.4587114947062219e-06,2.229379834140555e-07,16
uma,0,1,11,4.114833222892234e-17,1.760404952454741e-17,1.0,1.4852764707029564e-06,1.4852764707029564e-06,1.7228012620289744e-07,16
uma,0,1,12,5.116733481580028e-16,1.7800419885861783e-16,1.0,5.662171815856709e-07,5.662171815856709e-07,6.990433533169822e-08,16
uma,0,1,13,2.617592379041301e-15,6.770624985583649e-16,1.0,1.225018877448747e-06,1.225018877448747e-06,1.3166011643572576e-07,16
uma,0,1,14,6.529514173130808e-18,8.798436866366756e-19,0.9999999403953552,2.0304851204855368e-06,2.0304851204855368e-06,2.264129076350002e-07,16
uma,0,1,15,1.7788586530581945e-15,5.865597280617623e-16,0.9999999403953552,2.2926351448404603e-06,2.2926351448404603e-06,1.9789166247258917e-07,16
uma,0,1,16,2.6216466391712158e-15,7.076605579263017e-16,1.0,1.6068960349002737e-06,1.6068960349002737e-06,1.2640500685907569e-07,16
uma,0,1,17,1.6244021860386953e-18,3.3257613368549374e-19,0.9999999403953552,1.111926167141064e-06,1.111926167141064e-06,1.2422704415046793e-07,16
uma,0,1,18,2.241876104576833e-13,3.646403315469941e-14,1.0,1.5349073692050297e-06,1.5349073692050297e-06,4.5604428006063646e-07,16
uma,0,1,19,1.3451314893445546e-14,4.250871268212438e-15,0.9999999403953552,4.087419256393332e-06,4.087419256393332e-06,6.111342013094308e-07,16
uma,0,1,20,1.9591512594099857e-16,3.995408420956477e-17,0.9999998807907104,1.5128490531424177e-06,1.5128490531424177e-06,3.0369689305000947e-07,16
uma,0,2,0,5.688159513535786e-15,1.6906337170063263e-15,0.9999998807907104,2.225024900326389e-06,2.225024900326389e-06,5.79391420517818e-07,16
uma,0,2,1,3.50732682370174e-16,6.810837080661159e-17,0.9999999403953552,9.940592917700997e-07,9.940592917700997e-07,2.2515680962052864e-07,16
uma,0,2,2,1.0584454517309375e-11,2.817381310887823e-12,0.9999999403953552,9.75282205217809e-07,9.75282205217809e-07,1.3095123808097906e-07,16
uma,0,2,3,1.3077739177404433e-15,6.179107467802489e-16,0.9999999403953552,9.603393209545175e-07,9.603393209545175e-07,1.929611028307748e-07,16
uma,0,2,4,1.2797607238833169e-17,5.02433722685833e-18,0.9999999403953552,1.3505948572856141e-06,1.3505948572856141e-06,2.3525098969713157e-07,16
uma,0,2,5,5.51506393316204e-16,2.9610508948688867e-16,1.0,1.3287810816109413e-06,1.3287810816109413e-06,1.917665356036048e-07,16
uma,0,2,6,1.3711775175959819e-19,4.535763140225552e-20,1.0,7.4669806053861976e-06,7.4669806053861976e-06,1.1218872907118366e-06,16
uma,0,2,7,1.076062180852051e-19,3.0062955247399204e-20,0.9999999403953552,4.5305378080229275e-06,4.5305378080229275e-06,5.570496980660944e-07,16
uma,0,2,8,4.250359600398248e-15,3.58592795824471e-15,0.9999999403953552,1.986218194360845e-06,1.986218194360845e-06,2.924449856006059e-08,16
uma,0,2,9,9.658009437437539e-17,1.5013020406649583e-17,1.0,1.5410781770697213e-06,1.5410781770697213e-06,4.231853120979993e-07,16
uma,0,2,10,3.3372002843508714e-17,7.30034867053575e-18,0.9999997019767761,6.644886070716893e-06,6.644886070716893e-06,8.146137265488137e-07,16
uma,0,2,11,4.4129869619158675e-17,1.600148800376065e-17,1.0,2.4111084258038318e-06,2.4111084258038318e-06,3.0826791829314737e-07,16
uma,0,2,12,1.993005752085732e-15,1.018970682909793e-15,0.9999999403953552,3.1791910259926226e-06,3.1791910259926226e-06,4.32725827636964e-07,16
uma,0,2,13,5.130951323673705e-17,1.0514129811580862e-17,0.9999999403953552,1.2633886399271432e-06,1.2633886399271432e-06,2.179153287595531e-07,16
