ut_index,user_id,serving_sector_id,serving_bs_index,x_m,y_m,z_m,radius_from_serving_bs_m,geographic_azimuth_from_bs_deg,offset_from_sector_boresight_deg,indoor
0,E3_SITE_01_SEC_1_UE_1,E3_SITE_01_SEC_1,0,46.41035617759536,117.90287314756317,1.5,126.68467288617752,21.490408777265543,21.490408777265543,True
1,E3_SITE_01_SEC_2_UE_1,E3_SITE_01_SEC_2,1,97.97985778138833,-129.1467044919766,1.5,162.12803549791195,142.8189020601956,22.818902060195597,True
2,E3_SITE_01_SEC_3_UE_1,E3_SITE_01_SEC_3,2,-50.24353366394949,-72.06506949940022,1.5,87.87181982269509,214.87459072622718,-25.125409273772817,True
3,E3_SITE_02_SEC_1_UE_1,E3_SITE_02_SEC_1,3,-12.771209323085117,-421.75720137259674,1.5,79.25311528963039,350.72666250774984,-9.27333749225022,True
4,E3_SITE_02_SEC_2_UE_1,E3_SITE_02_SEC_2,4,49.848949252013846,-525.3870474634472,1.5,55.95277594757944,117.01204031705885,-2.9879596829411526,False
5,E3_SITE_02_SEC_3_UE_1,E3_SITE_02_SEC_3,5,-166.31014367918078,-519.6002767268768,1.5,167.4641254832532,263.26983170836866,23.269831708368656,True
6,E3_SITE_03_SEC_1_UE_1,E3_SITE_03_SEC_1,6,425.3953329821719,-64.70130858604273,1.5,185.4297630874684,357.6456591475452,-2.3543408524548113,True
7,E3_SITE_03_SEC_2_UE_1,E3_SITE_03_SEC_2,7,579.0066328673671,-268.60249238776385,1.5,147.17755825892513,97.2713053329889,-22.728694667011098,True
8,E3_SITE_03_SEC_3_UE_1,E3_SITE_03_SEC_3,8,340.75113510701004,-291.9070511507859,1.5,101.34361421114163,245.55839402855813,5.558394028558126,False
9,E3_SITE_04_SEC_1_UE_1,E3_SITE_04_SEC_1,9,-404.2409240928978,-76.13871634410975,1.5,176.20076696207337,9.397890362245448,9.397890362245448,False
10,E3_SITE_04_SEC_2_UE_1,E3_SITE_04_SEC_2,10,-337.94013223357985,-310.11272179136245,1.5,112.49617763077944,122.31541310996255,2.315413109962549,True
