controller,update_interval_s,effective_delay_intervals,slew_db_per_update,coupling_upper_margin_db,upper_bound_violation_seconds,nominal_violation_seconds,maximum_upper_threshold_excess_db,minimum_nominal_safety_margin_db,eligible_floor_violation_user_intervals,unique_eligible_floor_violation_users,total_normalized_floor_shortfall_user_seconds,minimum_floor_ratio,mean_pf_utility,minimum_pf_utility,mean_geometric_rate_bps_hz,minimum_geometric_rate_bps_hz,mean_p05_eligible_rate_bps_hz,minimum_eligible_rate_bps_hz,mean_jain_index_eligible,mean_total_network_retention_secondary,mean_protected_network_retention_secondary,fail_safe_command_count,runtime_seconds,command_total_variation_db,maximum_command_slew_db,mean_active_mode_count,maximum_active_mode_count,payload_bytes_per_update,maximum_virtual_queue,static_envelope_ratio
delayed_myopic_constrained_pf,5,1,3.0,0.0,39,39,1.987297761632902,-1.987297761632902,0,0,0.0,1.0286600324451578,132.46283101129535,132.26313096659993,1.8953237515613524,1.8934950213242467,0.24612532300152723,0.1440360997449168,0.691779174765167,0.9956417460852711,0.9567340379702789,0,1.2515440749994013,3644.0,3.0,71.94067796610169,92.0,456.0,,
virtual_queue_gain_1,5,1,3.0,0.0,169,169,3.5119288058934077,-3.5119288058934077,0,0,0.0,1.004274455077775,132.3873375032135,132.0641708643269,1.8946325242974882,1.891674983465624,0.24611446851971955,0.14403585021039403,0.6917090504512038,0.9953438198684994,0.9537764167222491,0,0.2454777560196817,27856.0,3.0,81.14406779661017,99.0,456.0,1.96246442860974,
virtual_queue_gain_10,5,1,3.0,0.0,149,149,4.4523220413596585,-4.4523220413596585,0,0,0.0,1.0015021418751375,132.2411093737015,132.02049043361467,1.8932939246444467,1.891275639811431,0.2460124765151062,0.14403585104776417,0.6915997640382812,0.9948894601676139,0.9492658237299696,0,0.245178800978465,32814.0,3.0,92.2457627118644,102.0,456.0,2.6590565997930344,
virtual_queue_gain_100,5,1,3.0,0.0,144,144,6.208758951144265,-6.208758951144265,0,0,0.0,1.0010933809983786,132.159807416451,131.9598220541761,1.8925499830450232,1.890721125439679,0.24599753514938577,0.14403578917581228,0.6915165738746908,0.9946022217521768,0.946414304149212,0,0.24652678897837177,34522.0,3.0,98.08474576271186,107.0,456.0,5.43042414928574,
static_robust_constrained_pf_1db,5,0,0.0,1.0,0,0,-0.09268809228813955,1.0926880922881401,0,0,0.0,1.0282897102591757,132.22569409470566,132.22569409470563,1.893152424443346,1.893152424443345,0.24603552738022216,0.14403595369994188,0.6915259328890189,0.9943709402328308,0.9441182889031932,0,0.0,0.0,0.0,94.0,94.0,456.0,,0.978929434902519
static_robust_constrained_pf_3db,5,0,0.0,3.0,0,0,-2.3514302797555793,5.3514302797555775,0,0,0.0,1.0020529189002694,132.08838744878503,132.08838744878497,1.891896417304861,1.891896417304861,0.24600862262206996,0.14403587670582302,0.6914529765768558,0.9942300914857086,0.9427200324766187,0,0.0,0.0,0.0,95.0,95.0,456.0,,0.5819592007504814
predictive_nominal_full_horizon,5,1,3.0,0.0,0,0,-0.00012328727533383893,0.00012328727533383893,0,0,0.0,1.0286600324451578,132.4648393222265,132.26313096659993,1.8953421426455583,1.8934950213242467,0.24612569569315015,0.1440360997449168,0.6917813749557344,0.9956529711139078,0.9568454728871694,0,5.501458642975194,3302.0,3.0,71.63559322033899,92.0,456.0,,
predictive_1db_with_two_message_drops,5,1,3.0,1.0,0,0,-4.443819195804578e-05,1.0000444381919584,0,0,0.0,1.013106298192707,132.4313125950381,132.07253038991615,1.895035071604691,1.8917514191392335,0.24612171406085742,0.1440359537015655,0.6917430915729247,0.9955062021182041,0.9553884440128785,2,5.828741815988906,4891.0,3.0,80.53389830508475,114.0,456.0,,
predictive_3db,5,1,3.0,3.0,0,0,-0.0001784698891996692,3.000178469889199,0,0,0.0,1.0020529189002694,132.38215779263317,132.08838744878497,1.8945849070399885,1.891896417304861,0.24612649408684428,0.14403587670582302,0.6916936570342617,0.9952903939767807,0.953246038582803,0,5.674450318998424,3742.0,3.0,87.69491525423729,95.0,456.0,,
predictive_1db_plus_one_stale_interval,5,2,3.0,1.0,0,0,-2.8589941769234788e-05,1.0000285899417687,0,0,0.0,1.0282897102298476,132.44009168823183,132.22570249733172,1.8951154473401297,1.8931525013315331,0.2461236757096323,0.1440359537015655,0.6917499187050152,0.9955368377837144,0.9556925753385563,0,5.580807961989194,3456.0,3.0,79.38135593220339,94.0,456.0,,
