controller,update_interval_s,effective_delay_intervals,slew_db_per_update,coupling_upper_margin_db,upper_bound_violation_seconds,nominal_violation_seconds,maximum_upper_threshold_excess_db,minimum_nominal_safety_margin_db,eligible_floor_violation_user_intervals,unique_eligible_floor_violation_users,total_normalized_floor_shortfall_user_seconds,minimum_floor_ratio,mean_pf_utility,minimum_pf_utility,mean_geometric_rate_bps_hz,minimum_geometric_rate_bps_hz,mean_p05_eligible_rate_bps_hz,minimum_eligible_rate_bps_hz,mean_jain_index_eligible,mean_total_network_retention_secondary,mean_protected_network_retention_secondary,fail_safe_command_count,runtime_seconds,command_total_variation_db,maximum_command_slew_db,mean_active_mode_count,maximum_active_mode_count,payload_bytes_per_update,maximum_virtual_queue
virtual_queue_gain_1,5,1,3.0,0.0,169,169,3.5119288058934077,-3.5119288058934077,0,0,0.0,1.004274455077775,132.3873375032135,132.0641708643269,1.8946325242974882,1.891674983465624,0.24611446851971955,0.14403585021039403,0.6917090504512038,0.9953438198684994,0.9537764167222491,0,0.2454777560196817,27856.0,3.0,81.14406779661017,99.0,456.0,1.96246442860974
virtual_queue_gain_10,5,1,3.0,0.0,149,149,4.4523220413596585,-4.4523220413596585,0,0,0.0,1.0015021418751375,132.2411093737015,132.02049043361467,1.8932939246444467,1.891275639811431,0.2460124765151062,0.14403585104776417,0.6915997640382812,0.9948894601676139,0.9492658237299696,0,0.245178800978465,32814.0,3.0,92.2457627118644,102.0,456.0,2.6590565997930344
virtual_queue_gain_100,5,1,3.0,0.0,144,144,6.208758951144265,-6.208758951144265,0,0,0.0,1.0010933809983786,132.159807416451,131.9598220541761,1.8925499830450232,1.890721125439679,0.24599753514938577,0.14403578917581228,0.6915165738746908,0.9946022217521768,0.946414304149212,0,0.24652678897837177,34522.0,3.0,98.08474576271186,107.0,456.0,5.43042414928574
