coast_distance_km,p452_time_percentage,polarization_label,bs_gain_case,earth_station_pattern_type,min_required_short_backoff_db,max_required_short_backoff_db,median_required_short_backoff_db,min_required_long_backoff_db,max_required_long_backoff_db,median_required_long_backoff_db
5.0,0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,41.532026400447236,60.9064448879341,44.73634213859461,58.532026400447236,77.9064448879341,61.73634213859461
5.0,0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,44.53202640044725,63.9064448879341,47.73634213859461,61.53202640044725,80.9064448879341,64.73634213859461
5.0,0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,17.449626747328765,36.8240452348156,20.653942485476122,34.449626747328765,53.8240452348156,37.65394248547612
5.0,0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,20.449626747328765,39.8240452348156,23.653942485476122,37.449626747328765,56.8240452348156,40.65394248547612
5.0,0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,10.26639939959,29.640817887076835,13.470715137737358,27.26639939959,46.640817887076835,30.470715137737358
5.0,0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,13.26639939959,32.640817887076835,16.470715137737358,30.26639939959,49.640817887076835,33.47071513773736
5.0,0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,41.532026400447236,60.9064448879341,44.73634213859461,58.532026400447236,77.9064448879341,61.73634213859461
5.0,0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,44.53202640044725,63.9064448879341,47.73634213859461,61.53202640044725,80.9064448879341,64.73634213859461
5.0,0.005,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,17.449626747328765,36.8240452348156,20.653942485476122,34.449626747328765,53.8240452348156,37.65394248547612
5.0,0.005,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,20.449626747328765,39.8240452348156,23.653942485476122,37.449626747328765,56.8240452348156,40.65394248547612
5.0,0.005,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,10.26639939959,29.640817887076835,13.470715137737358,27.26639939959,46.640817887076835,30.470715137737358
5.0,0.005,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,13.26639939959,32.640817887076835,16.470715137737358,30.26639939959,49.640817887076835,33.47071513773736
5.0,0.01,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,41.37175282664724,60.7461713141341,44.57606856479461,58.37175282664724,77.7461713141341,61.57606856479461
5.0,0.01,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,44.37175282664725,63.7461713141341,47.57606856479461,61.37175282664725,80.7461713141341,64.57606856479461
5.0,0.01,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,17.289353173528767,36.6637716610156,20.493668911676124,34.28935317352877,53.6637716610156,37.493668911676124
5.0,0.01,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,20.289353173528767,39.6637716610156,23.493668911676124,37.28935317352877,56.6637716610156,40.493668911676124
5.0,0.01,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,10.106125825790002,29.480544313276837,13.31044156393736,27.106125825790002,46.48054431327684,30.31044156393736
5.0,0.01,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,13.106125825790002,32.48054431327684,16.31044156393736,30.106125825790002,49.48054431327684,33.31044156393736
5.0,0.01,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,41.37175282664724,60.7461713141341,44.57606856479461,58.37175282664724,77.7461713141341,61.57606856479461
5.0,0.01,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,44.37175282664725,63.7461713141341,47.57606856479461,61.37175282664725,80.7461713141341,64.57606856479461
5.0,0.01,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,17.289353173528767,36.6637716610156,20.493668911676124,34.28935317352877,53.6637716610156,37.493668911676124
