pass_slot,status,floor_violation_user_seconds,unresolved_deployable_intervals,captured_repair_intervals
0,PASS,800,40,98
1,PASS,800,40,95
2,PASS,800,40,97
3,PASS,804,41,99
4,PASS,815,43,101
