slot,status,target_peak_date,start_utc,peak_utc,end_utc,maximum_elevation_deg,protected_sample_count,tle_age_days_at_peak,record_zip,record_zip_sha256
0,CURRENT_VALIDATED_PASS_RECONSTRUCTED,2026-07-26,2026-07-26T23:03:40+00:00,2026-07-26T23:08:30+00:00,2026-07-26T23:13:20+00:00,35.92113233734308,587,1.3314610511111111,FR3_PROTECTED_PASS_SLOT_0.zip,290f0dba48661039fb2dd95a7debcb9dd8e6d9de91e5cb6c18a95a3ff5fad321
1,IMMUTABLE_ADDITIONAL_PASS_RECORD_READY,2026-07-27,2026-07-27T23:11:50+00:00,2026-07-27T23:16:30+00:00,2026-07-27T23:21:10+00:00,29.704368690958116,571,2.337016606666667,FR3_PROTECTED_PASS_SLOT_1.zip,8ccdcefff5fb5ec0760f97b5e612db77e263f016a2b378069ec9e8f3d3c738eb
2,IMMUTABLE_ADDITIONAL_PASS_RECORD_READY,2026-07-28,2026-07-28T10:51:40+00:00,2026-07-28T10:56:30+00:00,2026-07-28T11:01:10+00:00,33.28823178252738,581,2.823127717777778,FR3_PROTECTED_PASS_SLOT_2.zip,d3cdfcd70c01eb7f1647985caaa16a792d62994d169a45ef51003a031e15fa95
3,IMMUTABLE_ADDITIONAL_PASS_RECORD_READY,2026-07-29,2026-07-29T10:59:30+00:00,2026-07-29T11:04:30+00:00,2026-07-29T11:09:20+00:00,40.40598093645075,594,3.828683273333333,FR3_PROTECTED_PASS_SLOT_3.zip,9fdb38ff37a12f1484c250d69422caaead3e5cc9a48607753f2e94b95b7b2873
4,IMMUTABLE_ADDITIONAL_PASS_RECORD_READY,2026-07-30,2026-07-30T11:07:30+00:00,2026-07-30T11:12:20+00:00,2026-07-30T11:17:20+00:00,49.47220427728028,605,4.834123088148148,FR3_PROTECTED_PASS_SLOT_4.zip,2e9ea342061b3bf36aca7b5f605ab920338eca4f5074b2c3e438815a7a0dc0b7
