txrx,freq_mhz,occ_bw_khz,itu_class,satellite_name,lat,lon,ground_elev_m,height_agl_m,azimuth_deg,elev_angle_deg,ant_gain_dbi,hpbw_deg,ant_manufacturer,ant_model,station_loc,call_sign,auth_number,licensee_name,subservice,auth_status,in_service_date,province
RX,8325.0,60000.0,TC,USASAT-30F,68.32535278,-133.60961667,35,3.9,,,48.0,0.59,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",VF827,011014966-002,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2023-10-01,NT
RX,8304.0,60000.0,TW,CFOSAT-1,68.32535278,-133.61285278,30,10.7,0.0,,48.0,0.59,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",XO289,011014962-001,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2023-10-01,NT
RX,8304.0,60000.0,TW,CFOSAT-1,68.31833333,-133.54361111,66,10.0,180.0,45.0,59.0,0.17,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT  X0E 0T0",VF979,011013744-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8280.0,94500.0,TD,USASAT-30F,68.325825,-133.60711667,37,4.0,,,34.0,2.71,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",,011064271-002,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2024-10-14,NT
RX,8280.0,100000.0,TW,USASAT-30F,68.3261,-133.607,34,8.7,,,54.9,0.44,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",,011044135-001,Planet Labs Geomatics Corp.,906,G,2024-10-01,NT
RX,8280.0,100000.0,TW,USASAT-30F,68.32613889,-133.60778889,34,8.7,,,54.9,0.44,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",,011044127-001,Planet Labs Geomatics Corp.,906,G,2024-10-01,NT
RX,8280.0,100000.0,TW,USASAT-30F,49.25463889,-55.06430556,67,5.4,,,54.9,0.27,,Earth Station antenna,Lewisporte (Premier Dr) NL,,011044144-001,Planet Labs Geomatics Corp.,906,G,2024-10-01,NL
RX,8280.0,100000.0,TC,USASAT-30F,68.325495,-133.60715389,34,2.72,,,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF839,011016709-001,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8280.0,100000.0,TC,USASAT-30F,68.32550389,-133.608605,34,2.72,,,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF830,011016705-001,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8280.0,100000.0,TC,USASAT-30F,68.32582194,-133.607865,34,2.72,,,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF785,011016698-001,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8280.0,100000.0,TC,USASAT-30F,68.32583611,-133.609325,34,2.72,180.0,47.5,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF854,011014982-003,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8270.0,78000.0,TW,GHGSAT-CX,68.32535278,-133.61285278,41,4.5,180.0,45.0,35.4,2.35,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",,011100649-001,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2025-09-22,NT
RX,8270.0,50000.0,TW,TERRASAR,53.29618333,-60.32978333,11,13.5,0.0,5.0,51.0,0.38,,Earth Station antenna,Happy Valley-Goose Bay (219 Hamilton River Rd) NL,VF777,011020728-001,C-CORE Inc. (LOOK North),906,G,2023-10-01,NL
RX,8270.0,50000.0,TW,GHGSAT-CX,68.31920028,-133.55016139,93,2.5,,,47.3,0.76,,Earth Station antenna,"Inuvik, NT #10 Satellite Road ISSF",VF775,011020724-001,C-CORE Inc. (LOOK North),906,G,2023-10-01,NT
