txrx,freq_mhz,channel_bw_mhz,occ_bw_khz,emission_desig,modulation,on_1p25_grid,plan_bw_match,conformity,congestion,envelope,lat,lon,ground_elev_m,height_agl_m,struct_height_m,azimuth_deg,elev_angle_deg,ant_gain_dbi,hpbw_deg,f2b_db,ant_pattern,ant_manufacturer,ant_model,polarization,tx_power_w,tx_erp_dbw,total_losses_db,rx_unfaded_dbw,rx_thresh_ber1e3_dbw,station_loc,call_sign,auth_number,licensee_name,in_service_date,flag_gain_zero,flag_hpbw_zero,ovl_fc8000_7950-8050_mhz,ovl_fc7850_7800-7900_mhz
RX,8270.0,10.0,10000.0,10M0D7WET,128-QAM,True,1.25|10,A,,B,43.86388889,-78.88388889,91.0,40.0,76.0,238.8,0.177,40.8,2.0,,A,"Andrew, Div of CommScope",HP6-82,B,,,0.4,-80.0,-104.6,OSHAWA (1002 THORNTON RD S) ON,CKJ738,010029903-001,Metrolinx,2013-07-16,False,False,0.0,0.0
RX,8250.0,10.0,10000.0,10M0D1D,64-QAM,True,1.25|10|30,A,,B,43.8475,-79.04333333,86.0,52.0,55.0,339.981750550252,0.637969879328603,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,B,,,2.1,-68.14,-110.5,Ajax (90 Westney Rd S) ON,CFI892,010710780-001,Metrolinx,2018-05-01,False,False,0.0,0.0
RX,8250.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,B,,B,43.6425,-79.38722222,80.0,327.96,500.0,228.811016384812,-0.629996131159845,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,A,,,3.7,-69.44,-112.0,Toronto (301 Front St) ON,VFE222,010701789-002,Metrolinx,2018-07-01,False,False,0.0,0.0
RX,8250.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,A,,B,43.30805556,-79.92805556,217.0,63.0,80.0,115.210964948476,-0.419954442409023,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,B,,,1.0,-65.14,-112.0,Hamilton (155 Coreslab Drive) ON,VYC773,010705042-001,Metrolinx,2017-08-01,False,False,0.0,0.0
RX,8220.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,A,,B,43.30805556,-79.92833333,217.0,76.0,80.0,315.88001185638,0.174056204855258,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,A,,,0.5,-65.13,-112.0,Hamilton (155 Coreslab Drive) ON,CFW264,010711913-001,Metrolinx,2017-08-01,False,False,0.0,0.0
RX,8220.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,A,,B,43.86388889,-78.88388889,93.0,48.5,80.0,312.807640214759,0.521822928131942,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,B,,,0.5,-65.53,-112.0,Oshawa (1004 Thornton Rd. South) ON,CKJ738,010710879-001,Metrolinx,2017-08-01,False,False,0.0,0.0
RX,8220.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,A,,B,44.07416667,-79.40527778,285.0,77.5,80.0,102.243579509924,0.117565684762926,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,B,,,0.5,-63.52,-112.0,East Gwillimbury (65 Garfield Wright Blvd) ON,CFV880,010710877-001,Metrolinx,2017-08-01,False,False,0.0,0.0
RX,8190.0,30.0,27400.0,27M4D7W,1024-QAM,True,1.25|10|30,A,L,B,44.24825278,-80.16805556,507.0,63.0,91.4,167.52145231832,-0.144175147216003,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,G,,,0.8,-66.01,-93.5,Black Bank Hill (678538 Center Rd) ON,CFT320,010814000-003,Backhaul Network Services Inc.,2021-01-15,False,False,0.0,0.0
RX,8190.0,30.0,27400.0,27M4D7W,1024-QAM,True,1.25|10|30,A,L,B,44.31413333,-79.01522222,290.0,82.0,91.0,137.822189027407,-0.180167589077205,43.4,1.4,,A,"Andrew, Div of CommScope",HPX8-77,G,,,1.3,-62.97,-93.5,MANILLA (CR-9/SR-18) ON,CFI226,010687764-003,Backhaul Network Services Inc.,2022-09-22,False,False,0.0,0.0
RX,8190.0,10.0,10000.0,10M0G7WET,8-PSK,True,1.25|10|30,A,,B,43.30805556,-79.92805556,216.0,80.0,80.0,49.3675863007487,-0.0784951418364298,40.4,1.6,,A,Radio Waves Inc.,HP6-8,B,,,0.4,-78.76,-112.3,Clappison's Corners (155 Coreslab Dr) ON,VYC773,010303486-001,Metrolinx,2016-01-12,False,False,0.0,0.0
RX,8160.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,B,,B,43.6425,-79.38722222,80.0,327.96,500.0,228.811016384812,-0.629996131159844,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,B,,,3.7,-69.44,-112.0,Toronto (301 Front St) ON,VFE222,010701789-002,Metrolinx,2018-07-01,False,False,0.0,0.0
RX,8130.0,30.0,27500.0,27M5D7WET,128-QAM,True,1.25|10|30,A,,B,44.27052778,-79.89411111,223.0,50.0,56.0,161.883,0.035,41.1,1.6,,A,RFS (Celwave/Cablewave/Phelps Dodge),UXA6-78B,G,,,4.48,-67.72,-101.0,Borden (30 Market Garden Cres) ON,VYA721,010068395-003,TELUS Communications Inc.,2015-04-01,False,False,0.0,0.0
RX,8100.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.23027778,-80.29055556,518.0,46.0,66.0,7.10175070731518,0.00561682528289138,42.9,1.1,,A,"Andrew, Div of CommScope",USX8-7W,G,,,4.8,-68.1,-86.0,SHELBURNE (240 SDRD)  ON,XJV217,010030901-004,Backhaul Network Services Inc.,2022-03-30,False,False,0.0,0.0
RX,8100.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,M,A,44.10719444,-78.65405556,381.0,86.0,96.0,131.419519465428,-0.583404258758194,43.5,1.0,,A,"Andrew, Div of CommScope",UHX8-77GD,G,,,1.3,-67.32,-87.5,Pontypool (464 Telecom Rd) ON,XKU583,010068766-006,Backhaul Network Services Inc.,2024-05-30,False,False,0.0,0.0
RX,8100.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,M,A,43.37655556,-80.13505556,277.0,50.0,80.0,55.2824984811158,0.0311838369654597,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,G,,,4.3,-63.0,-86.0,Valens (Valens Rd) ON,VYA629,010072188-004,Backhaul Network Services Inc.,2021-09-01,False,False,0.0,0.0
RX,8100.0,30.0,30000.0,30M0D7WET,64-QAM,True,1.25|10|30,A,,B,43.91472222,-78.92416667,122.0,27.0,27.0,277.998998093734,0.3847571066131,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,G,,,0.8,-55.06,-103.5,WHITBY (120 WALLER) ON,VEM441,010074535-002,Backhaul Network Services Inc.,2014-10-29,False,False,0.0,0.0
RX,8100.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,M,A,44.21625,-79.17238333,281.0,51.0,91.0,7.98388242307575,-0.0666554964910294,40.8,1.5,,A,"Andrew, Div of CommScope",HX6-7W,G,,,1.3,-67.96,-87.5,UXBRIDGE (12680 REGIONAL RD 1) ON,CIN670,010069413-006,Backhaul Network Services Inc.,2025-09-18,False,False,0.0,0.0
RX,8100.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.23072222,-80.28958333,518.0,46.0,66.0,138.254459926962,-0.126300599987421,42.9,1.2,,A,"Andrew, Div of CommScope",HPX8-71W,G,,,4.8,-68.0,-86.0,Shrigley (240 Sdrd / 10th Line NE) ON,XJV217,010033147-005,Backhaul Network Services Inc.,2022-03-30,False,False,0.0,0.0
RX,8100.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.15286389,-78.43746944,259.0,19.0,20.0,30.8140896255944,-0.1956686517961,40.6,1.5,,A,"Andrew, Div of CommScope",USX6-7W,G,,,4.8,-68.0,-86.0,MILLBROOK (75 KING ST E) ON,CHX765,010032427-004,Backhaul Network Services Inc.,2022-02-01,False,False,0.0,0.0
RX,8100.0,30.0,30000.0,30M0D7WET,128-QAM,True,1.25|10|30,A,,B,43.2375,-79.87638889,203.0,46.0,48.0,3.5,0.271,43.4,1.4,,A,"Andrew, Div of CommScope",HPX8-77,A,,,2.2,-67.5,-101.0,HAMILTON (33 FENNELL AVE E) ON,VBE671,010031831-001,Rogers Communications Canada Inc.,2010-08-27,False,False,0.0,0.0
RX,8100.0,30.0,30000.0,30M0D7WET,256-QAM,True,1.25|10|30,A,,B,44.14833333,-79.86,220.0,43.0,49.0,253.1,0.813,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,A,,,2.3,-65.1,-97.5,ALLISTON (139 PARSONS RD) ON,VBE648,010031803-001,Rogers Communications Canada Inc.,2014-04-01,False,False,0.0,0.0
RX,8100.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.31413889,-79.01522222,290.0,72.3,91.0,160.703188554149,-0.159476700899459,43.5,1.0,,A,"Andrew, Div of CommScope",UHX8-77GD,G,,,4.8,-68.0,-86.0,Manilla (2102 Concession 9 Brock) ON,XKU559,010031733-003,Backhaul Network Services Inc.,2022-02-01,False,False,0.0,0.0
RX,8100.0,10.0,10000.0,10M0D7WET,64-QAM,True,1.25|10|30,A,,B,44.28833333,-78.59527778,315.0,53.0,91.0,5.36882924235118,-0.194211524538924,43.5,1.0,,A,"Andrew, Div of CommScope",UHX8-77GD,A,,,2.4,-63.4,-106.0,OMEMEE (3632 HWY 7) ON,VAD425,010031633-002,Rogers Communications Canada Inc.,2015-01-13,False,False,0.0,0.0
RX,8100.0,10.0,10000.0,10M0D7WET,64-QAM,True,1.25|10|30,A,,B,43.59722222,-80.28522222,359.0,50.0,108.0,74.0458573880252,0.0601154943002491,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,A,,,2.3,-67.0,-106.0,GUELPH (5559 WELLINGTON RD 38) ON,XKU588,010031111-004,Rogers Communications Canada Inc.,2016-08-09,False,False,0.0,0.0
RX,8097.5,5.0,5000.0,5M00D7WET,128-QAM,True,1.25|5,A,,B,43.91555556,-78.55888889,130.0,52.0,60.0,262.8,-0.115,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,A,,,1.8,-63.4,-107.0,NEWCASTLE (STEPHENSON RD /  401) ON,VEA922,010032121-001,Rogers Communications Canada Inc.,2013-04-01,False,False,0.0,0.0
RX,8070.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.15286389,-78.43746944,259.0,19.0,20.0,30.8140896255944,-0.1956686517961,40.6,1.5,,A,"Andrew, Div of CommScope",USX6-7W,G,,,4.8,-68.0,-86.0,MILLBROOK (75 KING ST E) ON,CHX765,010032427-004,Backhaul Network Services Inc.,2022-02-01,False,False,0.0,0.0
RX,8070.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.23027778,-80.29055556,518.0,46.0,66.0,7.10175070731518,0.00561682528289138,42.9,1.1,,A,"Andrew, Div of CommScope",USX8-7W,G,,,4.8,-68.1,-86.0,SHELBURNE (240 SDRD)  ON,XJV217,010030901-004,Backhaul Network Services Inc.,2022-03-30,False,False,0.0,0.0
RX,8070.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,M,A,43.37655556,-80.13505556,277.0,50.0,80.0,55.2824984811158,0.0311838369654597,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,G,,,4.3,-63.0,-86.0,Valens (Valens Rd) ON,VYA629,010072188-004,Backhaul Network Services Inc.,2021-09-01,False,False,0.0,0.0
RX,8070.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,A,,B,43.79944444,-79.25805556,174.0,45.0,70.0,20.5919523803834,0.25169051012757,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,B,,,0.5,-66.54,-112.0,Scarborough (81 Middlefield Rd) ON,CFV899,010705422-001,Metrolinx,2017-08-01,False,False,0.0,0.0
RX,8070.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,A,,B,43.38111111,-79.75972222,105.0,45.5,60.0,157.119532213031,-0.0796400195682684,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,B,,,2.1,-66.24,-112.0,Burlington (5180 Harvester Rd) ON,CFV894,010701780-001,Metrolinx,2017-08-01,False,False,0.0,0.0
RX,8070.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,M,A,44.10719444,-78.65405556,381.0,86.0,96.0,131.419519465428,-0.583404258758194,43.5,1.0,,A,"Andrew, Div of CommScope",UHX8-77GD,G,,,1.3,-67.32,-87.5,Pontypool (464 Telecom Rd) ON,XKU583,010068766-006,Backhaul Network Services Inc.,2024-05-30,False,False,0.0,0.0
RX,8070.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.23072222,-80.28958333,518.0,46.0,66.0,138.254459926962,-0.126300599987421,42.9,1.2,,A,"Andrew, Div of CommScope",HPX8-71W,G,,,4.8,-68.0,-86.0,Shrigley (240 Sdrd / 10th Line NE) ON,XJV217,010033147-005,Backhaul Network Services Inc.,2022-03-30,False,False,0.0,0.0
RX,8070.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.31413889,-79.01522222,290.0,72.3,91.0,160.703188554149,-0.159476700899459,43.5,1.0,,A,"Andrew, Div of CommScope",UHX8-77GD,G,,,4.8,-68.0,-86.0,Manilla (2102 Concession 9 Brock) ON,XKU559,010031733-003,Backhaul Network Services Inc.,2022-02-01,False,False,0.0,0.0
