txrx,freq_mhz,channel_bw_mhz,occ_bw_khz,emission_desig,modulation,on_1p25_grid,plan_bw_match,conformity,congestion,envelope,lat,lon,ground_elev_m,height_agl_m,struct_height_m,azimuth_deg,elev_angle_deg,ant_gain_dbi,hpbw_deg,f2b_db,ant_pattern,ant_manufacturer,ant_model,polarization,tx_power_w,tx_erp_dbw,total_losses_db,rx_unfaded_dbw,rx_thresh_ber1e3_dbw,station_loc,call_sign,auth_number,licensee_name,in_service_date,flag_gain_zero,flag_hpbw_zero,ovl_fc8000_7950-8050_mhz,ovl_fc7850_7800-7900_mhz
TX,8270.0,10.0,10000.0,10M0D7WET,128-QAM,True,1.25|10,A,,B,43.6425,-79.38722222,81.0,328.0,500.0,58.5,-0.496,37.0,2.0,,A,Radio Waves Inc.,HP4-8,B,0.1585,26.4516,0.4,,,TORONTO (CN TOWER) ON,VFE222,010029903-001,Metrolinx,2013-07-16,False,False,0.0,0.0
TX,8250.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,45.58583333,-77.23916667,191.0,78.0,100.0,248.916160895209,0.328313302660341,40.6,1.5,,A,"Andrew, Div of CommScope",USX6-7W,G,0.125892541179417,28.1516,1.3,,,Golden Lake (3216 Lake Dore Rd) ON,CHG229,010032451-005,Backhaul Network Services Inc.,2023-10-20,False,False,0.0,0.0
TX,8250.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,45.30547222,-74.73633333,101.0,70.0,91.5,223.219161838807,-0.0489706387136652,40.8,1.5,,A,"Andrew, Div of CommScope",HX6-7W,G,0.794328234724281,32.8516,4.8,,,ALEXANDRIA (19319 KENYON CONCESSION 5 RD) ON,CHQ546,010992490-002,Backhaul Network Services Inc.,2023-07-10,False,False,0.0,0.0
TX,8250.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,45.32972222,-76.14888889,137.0,58.5,70.0,312.296046711997,-0.195740749060654,40.6,1.5,,A,"Andrew, Div of CommScope",USX6-7W,G,0.327,28.79708,4.8,,,Hwys 17 & 44 (2590 MARSHWOOD RD) ON,VEL348,010918272-002,Backhaul Network Services Inc.,2022-01-28,False,False,0.0,0.0
TX,8250.0,30.0,30000.0,30M0D7WET,64-QAM,True,1.25|10|30,A,L,B,41.81608333,-82.63583333,173.0,45.0,45.0,355.284209550151,-0.00347851083444218,40.8,2.0,,A,"Andrew, Div of CommScope",HP6-77,B,1.995,31.15103,10.5,,,Scudder (218 Harris Garno Rd) ON,CIN867,010037585-004,TELUS Communications Inc.,2020-10-19,False,False,0.0,0.0
TX,8250.0,10.0,10000.0,10M0D1D,64-QAM,True,1.25|10|30,A,,B,44.03186111,-79.13677778,348.0,72.0,124.0,159.916909291086,-0.785162021241849,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,B,0.251188643150958,30.0516,2.1,,,Coppin's Corners (3189 Brock Rd) ON,CFV881,010710780-001,Metrolinx,2018-05-01,False,False,0.0,0.0
TX,8250.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,B,,B,43.45472222,-79.68222222,99.0,25.0,25.5,48.6077697989728,0.416573583261257,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,A,0.316227766016838,30.1516,3.7,,,Oakville (155 Cornwall Rd) ON,CFV893,010701789-002,Metrolinx,2018-07-01,False,False,0.0,0.0
TX,8250.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,A,,B,43.46027778,-80.13194444,323.0,75.5,80.0,272.062968481691,-0.0854687315435891,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,B,0.316227766016838,32.6516,0.5,,,Aberfoyle (7471 McLean Rd.) ON,CFW265,010711915-001,Metrolinx,2017-08-01,False,False,0.0,0.0
TX,8250.0,30.0,30000.0,30M0D1D,16-QAM,True,1.25|10|30,A,,B,43.2175,-79.665,86.0,55.0,80.0,295.391249093448,0.261039040145001,40.3,2.2,,A,"Andrew, Div of CommScope",HP6-71W,B,0.316227766016838,32.1516,1.0,,,Stoney Creek (345 Lewis Rd) ON,CFW201,010705042-001,Metrolinx,2017-08-01,False,False,0.0,0.0
TX,8250.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,45.40777778,-80.20305556,193.0,60.0,91.0,116.159010938836,0.0130576249317885,41.0,1.2,,A,"Andrew, Div of CommScope",UHX6-77,G,0.2512,28.0518,4.8,,,CARLING (15 ALVES RD) ON,VFG628,010074297-003,Backhaul Network Services Inc.,2022-03-31,False,False,0.0,0.0
TX,8250.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.79425,-76.68713889,226.0,66.0,122.0,75.8171509137181,-0.166991541380317,42.9,1.1,,A,"Andrew, Div of CommScope",USX8-7W,G,0.0616595001861482,27.3516,1.3,,,SHARBOT LAKE (HWY 7/ MCQUAID RD) ON,VAD432,010031695-006,Backhaul Network Services Inc.,2022-06-20,False,False,0.0,0.0
TX,8220.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,44.98700833,-78.09309444,462.0,54.0,106.0,83.3545340261698,-0.210725712320124,40.6,1.5,,A,"Andrew, Div of CommScope",USX6-7W,G,0.0794328234724281,26.1516,1.3,,,Paudash Lake (1165 Gander Road) ON,VBE670,011077878-002,Backhaul Network Services Inc.,2025-04-28,False,False,0.0,0.0
TX,8220.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,45.58583333,-77.23916667,191.0,78.0,100.0,248.916160895209,0.328313302660341,40.6,1.5,,A,"Andrew, Div of CommScope",USX6-7W,G,0.125892541179417,28.1516,1.3,,,Golden Lake (3216 Lake Dore Rd) ON,CHG229,010032451-005,Backhaul Network Services Inc.,2023-10-20,False,False,0.0,0.0
TX,8220.0,30.0,27400.0,27M4D7W,4096-QAM,True,1.25|10|30,A,L,B,45.32972222,-76.14888889,137.0,58.5,70.0,312.296046711997,-0.195740749060654,40.6,1.5,,A,"Andrew, Div of CommScope",USX6-7W,G,0.327,28.79708,4.8,,,Hwys 17 & 44 (2590 MARSHWOOD RD) ON,VEL348,010918272-002,Backhaul Network Services Inc.,2022-01-28,False,False,0.0,0.0
