bs_index,sector_id,loss_p20_db,loss_p0005_db,p0005_minus_p20_coupling_db
0,E3_SITE_01_SEC_1,119.894554790291,117.513977449339,2.3805773409520015
1,E3_SITE_01_SEC_2,119.894554790291,117.513977449339,2.3805773409520015
2,E3_SITE_01_SEC_3,119.894554790291,117.513977449339,2.3805773409520015
3,E3_SITE_02_SEC_1,121.189096827102,118.477423751476,2.7116730756260097
4,E3_SITE_02_SEC_2,121.189096827102,118.477423751476,2.7116730756260097
5,E3_SITE_02_SEC_3,121.189096827102,118.477423751476,2.7116730756260097
6,E3_SITE_03_SEC_1,120.639642757687,118.072432894623,2.5672098630639937
7,E3_SITE_03_SEC_2,120.639642757687,118.072432894623,2.5672098630639937
8,E3_SITE_03_SEC_3,120.639642757687,118.072432894623,2.5672098630639937
9,E3_SITE_04_SEC_1,120.646702542222,118.079492671266,2.567209870956006
10,E3_SITE_04_SEC_2,120.646702542222,118.079492671266,2.567209870956006
11,E3_SITE_04_SEC_3,120.646702542222,118.079492671266,2.567209870956006
12,E3_SITE_05_SEC_1,119.25805963397,117.025868505497,2.232191128473005
13,E3_SITE_05_SEC_2,119.25805963397,117.025868505497,2.232191128473005
14,E3_SITE_05_SEC_3,119.25805963397,117.025868505497,2.232191128473005
15,E3_SITE_06_SEC_1,147.83223734013,145.014125957979,2.8181113821510166
16,E3_SITE_06_SEC_2,147.83223734013,145.014125957979,2.8181113821510166
17,E3_SITE_06_SEC_3,147.83223734013,145.014125957979,2.8181113821510166
18,E3_SITE_07_SEC_1,118.355962032326,116.323685306522,2.03227672580401
19,E3_SITE_07_SEC_2,118.355962032326,116.323685306522,2.03227672580401
20,E3_SITE_07_SEC_3,118.355962032326,116.323685306522,2.03227672580401
21,E3_SITE_08_SEC_1,160.845147990486,157.742623029016,3.10252496147001
22,E3_SITE_08_SEC_2,160.845147990486,157.742623029016,3.10252496147001
23,E3_SITE_08_SEC_3,160.845147990486,157.742623029016,3.10252496147001
24,E3_SITE_09_SEC_1,161.76279988319,158.806466679556,2.956333203634017
25,E3_SITE_09_SEC_2,161.76279988319,158.806466679556,2.956333203634017
26,E3_SITE_09_SEC_3,161.76279988319,158.806466679556,2.956333203634017
27,E3_SITE_10_SEC_1,121.44081599331,118.66136801163,2.7794479816799935
28,E3_SITE_10_SEC_2,121.44081599331,118.66136801163,2.7794479816799935
29,E3_SITE_10_SEC_3,121.44081599331,118.66136801163,2.7794479816799935
30,E3_SITE_11_SEC_1,121.828154452726,118.941457477684,2.8866969750419997
31,E3_SITE_11_SEC_2,121.828154452726,118.941457477684,2.8866969750419997
32,E3_SITE_11_SEC_3,121.828154452726,118.941457477684,2.8866969750419997
33,E3_SITE_12_SEC_1,120.229204298942,117.765952113815,2.46325218512699
34,E3_SITE_12_SEC_2,120.229204298942,117.765952113815,2.46325218512699
35,E3_SITE_12_SEC_3,120.229204298942,117.765952113815,2.46325218512699
36,E3_SITE_13_SEC_1,121.445184877542,118.665736891189,2.7794479863530057
37,E3_SITE_13_SEC_2,121.445184877542,118.665736891189,2.7794479863530057
38,E3_SITE_13_SEC_3,121.445184877542,118.665736891189,2.7794479863530057
39,E3_SITE_14_SEC_1,118.830879479244,116.695245418589,2.1356340606550077
40,E3_SITE_14_SEC_2,118.830879479244,116.695245418589,2.1356340606550077
41,E3_SITE_14_SEC_3,118.830879479244,116.695245418589,2.1356340606550077
42,E3_SITE_15_SEC_1,120.236090026821,117.772837833258,2.463252193563008
43,E3_SITE_15_SEC_2,120.236090026821,117.772837833258,2.463252193563008
44,E3_SITE_15_SEC_3,120.236090026821,117.772837833258,2.463252193563008
45,E3_SITE_16_SEC_1,117.608220398658,115.726632659068,1.8815877395900031
46,E3_SITE_16_SEC_2,117.608220398658,115.726632659068,1.8815877395900031
47,E3_SITE_16_SEC_3,117.608220398658,115.726632659068,1.8815877395900031
48,E3_SITE_17_SEC_1,161.940123993172,159.801301127382,2.13882286578999
49,E3_SITE_17_SEC_2,161.940123993172,159.801301127382,2.13882286578999
50,E3_SITE_17_SEC_3,161.940123993172,159.801301127382,2.13882286578999
51,E3_SITE_18_SEC_1,117.615188351318,115.73360060041,1.8815877509079968
52,E3_SITE_18_SEC_2,117.615188351318,115.73360060041,1.8815877509079968
53,E3_SITE_18_SEC_3,117.615188351318,115.73360060041,1.8815877509079968
54,E3_SITE_19_SEC_1,116.461273131842,114.795388439828,1.6658846920140036
55,E3_SITE_19_SEC_2,116.461273131842,114.795388439828,1.6658846920140036
56,E3_SITE_19_SEC_3,116.461273131842,114.795388439828,1.6658846920140036
