architecture_id,rf_chain_index,physical_port_indices,physical_port_count
generic_64t64r_subarray_6bit,57,114;115,2
generic_64t64r_subarray_6bit,58,116;117,2
generic_64t64r_subarray_6bit,59,118;119,2
generic_64t64r_subarray_6bit,60,120;121,2
generic_64t64r_subarray_6bit,61,122;123,2
generic_64t64r_subarray_6bit,62,124;125,2
generic_64t64r_subarray_6bit,63,126;127,2
generic_64t64r_subarray_8bit,0,0;1,2
generic_64t64r_subarray_8bit,1,2;3,2
generic_64t64r_subarray_8bit,2,4;5,2
generic_64t64r_subarray_8bit,3,6;7,2
generic_64t64r_subarray_8bit,4,8;9,2
generic_64t64r_subarray_8bit,5,10;11,2
generic_64t64r_subarray_8bit,6,12;13,2
generic_64t64r_subarray_8bit,7,14;15,2
generic_64t64r_subarray_8bit,8,16;17,2
generic_64t64r_subarray_8bit,9,18;19,2
generic_64t64r_subarray_8bit,10,20;21,2
generic_64t64r_subarray_8bit,11,22;23,2
generic_64t64r_subarray_8bit,12,24;25,2
generic_64t64r_subarray_8bit,13,26;27,2
generic_64t64r_subarray_8bit,14,28;29,2
generic_64t64r_subarray_8bit,15,30;31,2
generic_64t64r_subarray_8bit,16,32;33,2
generic_64t64r_subarray_8bit,17,34;35,2
generic_64t64r_subarray_8bit,18,36;37,2
generic_64t64r_subarray_8bit,19,38;39,2
generic_64t64r_subarray_8bit,20,40;41,2
generic_64t64r_subarray_8bit,21,42;43,2
generic_64t64r_subarray_8bit,22,44;45,2
generic_64t64r_subarray_8bit,23,46;47,2
generic_64t64r_subarray_8bit,24,48;49,2
generic_64t64r_subarray_8bit,25,50;51,2
generic_64t64r_subarray_8bit,26,52;53,2
generic_64t64r_subarray_8bit,27,54;55,2
generic_64t64r_subarray_8bit,28,56;57,2
generic_64t64r_subarray_8bit,29,58;59,2
generic_64t64r_subarray_8bit,30,60;61,2
generic_64t64r_subarray_8bit,31,62;63,2
generic_64t64r_subarray_8bit,32,64;65,2
generic_64t64r_subarray_8bit,33,66;67,2
generic_64t64r_subarray_8bit,34,68;69,2
generic_64t64r_subarray_8bit,35,70;71,2
generic_64t64r_subarray_8bit,36,72;73,2
generic_64t64r_subarray_8bit,37,74;75,2
generic_64t64r_subarray_8bit,38,76;77,2
generic_64t64r_subarray_8bit,39,78;79,2
generic_64t64r_subarray_8bit,40,80;81,2
generic_64t64r_subarray_8bit,41,82;83,2
generic_64t64r_subarray_8bit,42,84;85,2
generic_64t64r_subarray_8bit,43,86;87,2
generic_64t64r_subarray_8bit,44,88;89,2
generic_64t64r_subarray_8bit,45,90;91,2
generic_64t64r_subarray_8bit,46,92;93,2
generic_64t64r_subarray_8bit,47,94;95,2
generic_64t64r_subarray_8bit,48,96;97,2
generic_64t64r_subarray_8bit,49,98;99,2
