site_id,sector_id,station_to_site_bearing_deg,station_to_site_distance_m,station_to_site_elevation_deg,protected_minimum_elevation_deg,protected_window_sample_count,protected_window_start_utc,protected_window_end_utc,minimum_off_axis_deg_during_protected_window,minimum_off_axis_time_utc,median_off_axis_deg_during_protected_window,maximum_reference_gain_dbi_during_protected_window,maximum_reference_gain_time_utc,antenna_pattern_type,aperture_efficiency,selection_window
E3_SITE_01,E3_SITE_01_SEC_1,180.0,2999.999999999214,-2.619377432579381,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,12.789111922798138,2026-07-26T23:03:34+00:00,86.2646274516191,1.3289902981568638,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_01,E3_SITE_01_SEC_2,180.0,2999.999999999214,-2.619377432579381,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,12.789111922798138,2026-07-26T23:03:34+00:00,86.2646274516191,1.3289902981568638,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_01,E3_SITE_01_SEC_3,180.0,2999.999999999214,-2.619377432579381,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,12.789111922798138,2026-07-26T23:03:34+00:00,86.2646274516191,1.3289902981568638,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_02,E3_SITE_02_SEC_1,180.0,3499.9999999997594,-1.6419179188684223,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,12.23070146627294,2026-07-26T23:03:34+00:00,85.68684329398623,1.813715854969125,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_02,E3_SITE_02_SEC_2,180.0,3499.9999999997594,-1.6419179188684223,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,12.23070146627294,2026-07-26T23:03:34+00:00,85.68684329398623,1.813715854969125,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_02,E3_SITE_02_SEC_3,180.0,3499.9999999997594,-1.6419179188684223,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,12.23070146627294,2026-07-26T23:03:34+00:00,85.68684329398623,1.813715854969125,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_03,E3_SITE_03_SEC_1,172.41091053102105,3278.7192621517283,-1.8310309067973165,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,19.111192686347042,2026-07-26T23:03:34+00:00,91.93411107601207,-3.032194780948757,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_03,E3_SITE_03_SEC_2,172.41091053102105,3278.7192621517283,-1.8310309067973165,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,19.111192686347042,2026-07-26T23:03:34+00:00,91.93411107601207,-3.032194780948757,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_03,E3_SITE_03_SEC_3,172.41091053102105,3278.7192621517283,-1.8310309067973165,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,19.111192686347042,2026-07-26T23:03:34+00:00,91.93411107601207,-3.032194780948757,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_04,E3_SITE_04_SEC_1,187.58908946897895,3278.7192621517283,-2.943231403563341,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,8.394825338250234,2026-07-26T23:03:34+00:00,80.379159823085,5.899708382797591,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_04,E3_SITE_04_SEC_2,187.58908946897895,3278.7192621517283,-2.943231403563341,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,8.394825338250234,2026-07-26T23:03:34+00:00,80.379159823085,5.899708382797591,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_04,E3_SITE_04_SEC_3,187.58908946897895,3278.7192621517283,-2.943231403563341,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,8.394825338250234,2026-07-26T23:03:34+00:00,80.379159823085,5.899708382797591,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_05,E3_SITE_05_SEC_1,171.05172443537185,2783.8821814155285,-1.8611958879141013,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,20.394980740793784,2026-07-26T23:03:34+00:00,93.05248036690828,-3.7380824886054356,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
E3_SITE_05,E3_SITE_05_SEC_2,171.05172443537185,2783.8821814155285,-1.8611958879141013,5.0,587,2026-07-26T23:03:34+00:00,2026-07-26T23:13:20+00:00,20.394980740793784,2026-07-26T23:03:34+00:00,93.05248036690828,-3.7380824886054356,2026-07-26T23:03:34+00:00,multiple_entry_section_1_2,0.65,earth_station_elevation_ge_minimum_elevation
