case,null_depth_cap_db,uncorrected_violation_seconds,uncorrected_maximum_excess_db,minimum_uniform_protected_tone_backoff_db,post_backoff_maximum_ratio,eligible_floor_violation_user_intervals,minimum_floor_ratio,mean_moving_pf_utility,mean_protected_network_retention
long_multiple,40.0,587,23.39688544937608,23.39688544937608,1.0000000000000004,4380,0.7492040737515211,81.00288860633606,0.16831451938996098
long_multiple,45.0,587,18.427862272807527,18.427862272807527,0.9999999999999999,2460,0.7677420671359658,83.02277944402991,0.28010961977043236
long_multiple,50.0,587,13.525032724485174,13.525032724485174,0.9999999999999999,992,0.8132031586811973,85.93644196199624,0.438748523400173
long_multiple,55.0,587,8.820297651749145,8.820297651749145,1.0000000000000002,218,0.8906834005583011,89.48448116376335,0.6277178371913283
long_multiple,60.0,562,4.641751443898359,4.641751443898359,1.0,20,0.9662814592726467,92.74985638342463,0.7997385014559052
long_multiple,62.0,534,3.2391807312791836,3.2391807312791836,1.0,20,0.9874698058592977,93.75523812511253,0.8528857046243306
long_multiple,64.0,454,2.044402139854913,2.044402139854913,1.0,0,1.0010069334837146,94.54947540705321,0.8950837829166629
long_multiple,65.0,414,1.531686248058963,1.531686248058963,0.9999999999999999,0,1.0010071981374464,94.87031724956519,0.9122034010200702
long_multiple,66.0,358,1.0768628443375836,1.0768628443375836,1.0,0,1.001007408235646,95.14423488665113,0.9268594016273562
long_multiple,67.0,304,0.7179884181539514,0.7179884181539514,1.0,0,1.0010075592980137,95.353064286042,0.9380604202484807
long_multiple,68.0,220,0.43597960926953483,0.43597960926953483,1.0,0,1.0010076696600476,95.51256210332582,0.9466328670508848
long_multiple,70.0,0,-0.00015852336833941874,0.0,0.9999634993116834,0,1.001007826939076,95.75106041639457,0.9594817473548012
long_single,40.0,587,26.388159991134557,26.388159991134557,1.0000000000000002,5094,0.7445469525620532,80.17292722356937,0.12144228751930473
long_single,45.0,587,21.400098828541843,21.400098828541843,0.9999999999999999,3750,0.7544531769408448,81.7057584931401,0.2075718052817656
long_single,50.0,587,16.437940250257043,16.437940250257043,1.0,1863,0.7818342159230409,84.08336250579623,0.3384849422895202
long_single,55.0,587,11.555994256217224,11.555994256217224,0.9999999999999999,454,0.8419576501470473,87.34517384315916,0.5145832106442166
long_single,60.0,582,6.910924372714754,6.910924372714754,1.0,60,0.9261865929498428,90.9899215010928,0.7073804419144667
long_single,62.0,567,5.19337904942372,5.19337904942372,0.9999999999999999,20,0.9567212328172213,92.32131525480654,0.777465934308665
long_single,64.0,532,3.6067666153976248,3.6067666153976248,1.0,20,0.9817346135639256,93.4826392947276,0.8387553699529608
long_single,65.0,496,2.8750080589853195,2.8750080589853195,1.0,20,0.9919614071158902,93.98742187511216,0.8654933363964873
long_single,66.0,458,2.1907529575090985,2.1907529575090985,1.0,0,1.0007233244601905,94.43881818027066,0.889475648861658
long_single,67.0,358,1.5581579003712134,1.5581579003712134,1.0,0,1.0009509996033965,94.8369999590447,0.9106998866141437
long_single,68.0,290,0.9804551953051679,0.9804551953051679,0.9999999999999999,0,1.0009512577169946,95.18369181248093,0.9292418148139827
long_single,70.0,0,-0.00013955060420972585,0.0,0.999967867802153,0,1.000951624549143,95.7334593131934,0.958785618465173
