pattern,design_case,paired_short_case,method,null_depth_cap_db,residual_coupling_uplift_db,long_violation_seconds,long_maximum_excess_db,eligible_floor_violation_user_intervals,eligible_floor_violation_user_seconds,total_normalized_floor_shortfall,minimum_floor_ratio,mean_moving_pf_utility,minimum_moving_pf_utility,final_moving_pf_utility,mean_total_network_retention,minimum_total_network_retention,mean_protected_network_retention,minimum_protected_network_retention,minimum_active_eligible_rate_bps_hz,p05_active_eligible_rate_bps_hz,maximum_finite_sector_backoff_db,sector_mute_interval_count,intervals_with_any_sector_mute,mean_muted_sector_count,maximum_muted_sector_count,mean_backed_off_sector_count,maximum_backed_off_sector_count,maximum_envelope_ratio,mean_local_cost_table_build_ms,fallback_payload_bytes_per_update,paired_short_violation_seconds,paired_short_maximum_excess_db,runtime_seconds
multiple,long_multiple,short_multiple,sector_selective,60.0,0.0,0,-0.0009993522092288203,0,0,0.0,1.0010086867354138,95.77400309218217,6.254910193849786,51.079588554429336,0.9936580466234327,0.9895806326015483,0.9371615732859598,0.8995093188592536,0.1044962178246597,0.31605283991796984,12.0,192,35,1.6271186440677967,9,3.6016949152542375,11,0.9997699171231635,1.7720604141763712,228,0,-14.308743579600057,0.279756253992673
multiple,long_multiple,short_multiple,uniform,60.0,0.0,0,1.928654933106574e-15,0,0,0.0,1.0010049905007123,95.13609763157505,5.682804687985548,50.6396065723705,0.9930046511675551,0.9742681412441386,0.9301173225848779,0.7445504562104813,0.10413207441876586,0.31603472829712975,4.641751443898359,0,0,0.0,0,56.516949152542374,57,1.0000000000000002,0.0,228,0,-14.291160310513167,0.04514241800643504
multiple,long_multiple,short_multiple,sector_selective,60.0,1.0,0,-0.0004727194951036951,0,0,0.0,1.0010163748604444,95.76630109666594,6.2014750345140355,51.07302551020862,0.9930032561240101,0.988342934574371,0.9306175420155559,0.8842760613154985,0.1044962178246597,0.31993076931462683,12.0,204,40,1.728813559322034,9,5.52542372881356,13,0.999891158237435,1.8029852042179872,228,0,-14.396110465744458,0.2852507389616221
multiple,long_multiple,short_multiple,uniform,60.0,1.0,0,1.928654933106574e-15,0,0,0.0,1.0010038760842626,94.53285936040949,4.997938861432914,49.986330585317724,0.9897872821112708,0.9694202325402674,0.897994773745671,0.6964234989437426,0.10308914505414596,0.3160150359025117,5.641751443898358,0,0,0.0,0,56.516949152542374,57,1.0000000000000002,0.0,228,0,-14.291160310513167,0.04406752996146679
multiple,long_multiple,short_multiple,sector_selective,60.0,3.0,0,-5.065527194811938e-05,0,0,0.0,1.0000978034460954,95.70455683732398,6.12287537594815,50.98940909414113,0.991269994288707,0.9827632272281126,0.9132967373920204,0.8288842721095994,0.10453976389003292,0.3500969025795562,12.0,275,81,2.330508474576271,10,9.983050847457626,21,0.9999883362606153,1.7495223906056925,228,0,-14.412559526014688,0.27634110202779993
multiple,long_multiple,short_multiple,uniform,60.0,3.0,0,1.928654933106574e-15,27,135,0.35241118011668093,0.9751783287249095,93.18438385405447,3.464851758701832,48.50506938413399,0.982649704835185,0.9594409973569235,0.8267340441231593,0.5973559928168161,0.10050013408630654,0.31595957561242877,7.641751443898359,0,0,0.0,0,57.0,57,1.0000000000000002,0.0,228,0,-14.291160310513167,0.0446312939748168
multiple,long_multiple,short_multiple,sector_selective,65.0,0.0,0,-0.0020561616857512855,0,0,0.0,1.0010080120955254,95.79755526753401,6.229292740257914,51.02460331295462,0.994721230421238,0.9895783265051489,0.9475678211356707,0.8994870774707817,0.1044932632045829,0.3160396281799463,7.0,117,14,0.9915254237288136,9,1.8389830508474576,10,0.9995266633345222,1.744398869420165,228,0,-14.272618118047626,0.2704779530176893
multiple,long_multiple,short_multiple,uniform,65.0,0.0,0,1.928654933106574e-15,0,0,0.0,1.0010071981374464,95.60783289714314,6.026886399063026,50.84556627693434,0.9952730441495113,0.9880376789513537,0.9527065812210243,0.8812456774486055,0.10444439302595034,0.3160385124915081,1.531686248058963,0,0,0.0,0,44.440677966101696,57,1.0,0.0,228,0,-14.225600291914224,0.04448611102998257
multiple,long_multiple,short_multiple,sector_selective,65.0,1.0,0,-1.5198232589256134e-05,0,0,0.0,1.0010081282498797,95.77720178576773,6.250865572680671,51.080458452346846,0.9937221645217925,0.9895028627715016,0.9377841528339834,0.898759259580728,0.1044932632045829,0.31603967245007586,12.0,181,24,1.5338983050847457,9,3.305084745762712,11,0.9999965004837433,1.749468506096815,228,0,-14.311218510992079,0.2756096489611082
multiple,long_multiple,short_multiple,uniform,65.0,1.0,0,1.928654933106574e-15,0,0,0.0,1.0010066529964905,95.06145577192503,5.423140297741456,50.22848474457383,0.9923159953514425,0.9838746278513915,0.9231769720270175,0.8399175513172003,0.10345772815794349,0.31602165149416495,2.5316862480589633,0,0,0.0,0,56.516949152542374,57,1.0,0.0,228,0,-14.21958097303088,0.0442187640001066
