link_id,sample_index,is_endpoint,fraction_from_tx,distance_from_tx_m,longitude_deg,latitude_deg,elevation_m_asl
E3_SITE_01,0,True,0.0,0.0,-75.80877,45.558267734907965,128.63009643554688
E3_SITE_01,1,False,0.01,29.99999999999214,-75.80877,45.55853765819299,131.27288818359375
E3_SITE_01,2,False,0.02,59.99999999998428,-75.80877,45.5588075814652,133.87791442871094
E3_SITE_01,3,False,0.03,89.99999999997642,-75.80877,45.55907750472461,141.084228515625
E3_SITE_01,4,False,0.04,119.99999999996857,-75.80877,45.5593474279712,144.08790588378906
E3_SITE_01,5,False,0.05,149.99999999996072,-75.80877,45.559617351205,148.09539794921875
E3_SITE_01,6,False,0.06,179.99999999995285,-75.80877,45.55988727442597,153.27700805664062
E3_SITE_01,7,False,0.07,209.99999999994495,-75.80877,45.56015719763414,158.85504150390625
E3_SITE_01,8,False,0.08,239.99999999993716,-75.80877,45.5604271208295,158.789306640625
E3_SITE_01,9,False,0.09,269.9999999999293,-75.80877,45.56069704401205,157.5028533935547
E3_SITE_01,10,False,0.1,299.99999999992144,-75.80877,45.56096696718178,153.07669067382812
E3_SITE_01,11,False,0.11,329.99999999991354,-75.80877,45.56123689033871,152.07745361328125
E3_SITE_01,12,False,0.12,359.9999999999057,-75.80877,45.561506813482815,147.0264434814453
E3_SITE_01,13,False,0.13,389.99999999989785,-75.80877,45.56177673661413,139.45974731445312
E3_SITE_01,14,False,0.14,419.99999999989,-75.80877,45.56204665973262,137.38304138183594
E3_SITE_01,15,False,0.15,449.9999999998821,-75.80877,45.56231658283829,134.08860778808594
E3_SITE_01,16,False,0.16,479.9999999998743,-75.80877,45.56258650593117,129.709716796875
E3_SITE_01,17,False,0.17,509.9999999998664,-75.80877,45.562856429011234,130.39578247070312
E3_SITE_01,18,False,0.18,539.9999999998586,-75.80877,45.56312635207848,136.33926391601562
E3_SITE_01,19,False,0.19,569.9999999998507,-75.80877,45.56339627513293,137.91635131835938
E3_SITE_01,20,False,0.2,599.9999999998429,-75.80877,45.56366619817456,137.6030731201172
E3_SITE_01,21,False,0.21,629.9999999998349,-75.80877,45.56393612120339,137.6030731201172
E3_SITE_01,22,False,0.22,659.9999999998271,-75.80877,45.5642060442194,129.67637634277344
E3_SITE_01,23,False,0.23,689.9999999998192,-75.80877,45.5644759672226,123.19112396240234
E3_SITE_01,24,False,0.24,719.9999999998114,-75.80877,45.564745890213,129.3757781982422
E3_SITE_01,25,False,0.25,749.9999999998035,-75.80877,45.56501581319058,138.012939453125
E3_SITE_01,26,False,0.26,779.9999999997957,-75.80877,45.56528573615534,143.6015625
E3_SITE_01,27,False,0.27,809.9999999997879,-75.80877,45.5655556591073,148.0850067138672
E3_SITE_01,28,False,0.28,839.9999999997799,-75.80877,45.56582558204644,150.07850646972656
E3_SITE_01,29,False,0.29,869.9999999997721,-75.80877,45.56609550497278,150.95701599121094
E3_SITE_01,30,False,0.3,899.9999999997642,-75.80877,45.56636542788632,151.90774536132812
E3_SITE_01,31,False,0.31,929.9999999997564,-75.80877,45.56663535078703,152.4937286376953
E3_SITE_01,32,False,0.32,959.9999999997484,-75.80877,45.56690527367495,152.77371215820312
E3_SITE_01,33,False,0.33,989.9999999997408,-75.80877,45.567175196550046,153.78836059570312
E3_SITE_01,34,False,0.34,1019.9999999997328,-75.80877,45.567445119412334,153.63226318359375
E3_SITE_01,35,False,0.35,1049.9999999997249,-75.80877,45.56771504226181,153.07814025878906
E3_SITE_01,36,False,0.36,1079.9999999997171,-75.80877,45.56798496509848,152.4026641845703
E3_SITE_01,37,False,0.37,1109.9999999997092,-75.80877,45.568254887922336,153.25250244140625
E3_SITE_01,38,False,0.38,1139.9999999997017,-75.80877,45.56852481073338,153.2919464111328
