interval_index,start_time_s,duration_s,active_user_count,online_predictive_robust_1db_upper_interval_ratio,online_predictive_robust_1db_moving_pf_utility,online_predictive_robust_1db_active_total_rate_bps_hz,online_predictive_robust_1db_active_protected_rate_bps_hz,online_predictive_robust_1db_two_drops_upper_interval_ratio,online_predictive_robust_1db_two_drops_moving_pf_utility,online_predictive_robust_1db_two_drops_active_total_rate_bps_hz,online_predictive_robust_1db_two_drops_active_protected_rate_bps_hz,online_predictive_robust_3db_upper_interval_ratio,online_predictive_robust_3db_moving_pf_utility,online_predictive_robust_3db_active_total_rate_bps_hz,online_predictive_robust_3db_active_protected_rate_bps_hz,online_myopic_robust_1db_upper_interval_ratio,online_myopic_robust_1db_moving_pf_utility,online_myopic_robust_1db_active_total_rate_bps_hz,online_myopic_robust_1db_active_protected_rate_bps_hz,static_robust_1db_upper_interval_ratio,static_robust_1db_moving_pf_utility,static_robust_1db_active_total_rate_bps_hz,static_robust_1db_active_protected_rate_bps_hz,frozen_table_predictive_robust_1db_upper_interval_ratio,frozen_table_predictive_robust_1db_moving_pf_utility,frozen_table_predictive_robust_1db_active_total_rate_bps_hz,frozen_table_predictive_robust_1db_active_protected_rate_bps_hz
0,114.0,5,228,0.9803653629651179,133.1298715911683,543.2641155756702,519.5901294665967,0.9803653629651179,133.1298715911683,543.2641155756702,519.5901294665967,0.6084648058353116,133.12348852131126,543.1906414353966,518.8553880638599,0.9803653629651179,133.1298715911683,543.2641155756702,519.5901294665967,0.9639140258820915,133.12949607615013,543.2508069364131,519.4570430740264,0.9803653629651179,133.1298715911683,543.2641155756702,519.5901294665967
1,119.0,5,228,0.9915550529524052,133.08743397386996,543.2723826256953,519.6727999668474,0.9915550529524052,133.08743397386996,543.2723826256953,519.6727999668474,0.9993839371498667,133.07606070078504,543.2991193335281,519.9401670451758,0.9050398609516427,133.08672736573658,543.256349257407,519.5124662839646,0.9144851459741971,133.08615462090444,543.2508069364131,519.4570430740264,0.9995327030285003,133.08733923415747,543.2993808450113,519.9427821600077
2,124.0,5,228,0.9907569759657867,133.04728442867653,543.2947907673154,519.8968813830473,0.9907569759657867,133.04728442867653,543.2947907673154,519.8968813830473,0.9990323112274803,133.03115023832845,543.3224214878011,520.1731885879045,0.9408947921333858,133.04629360143787,543.2723826256953,519.6727999668474,0.8674295284019239,133.0448270962822,543.2508069364131,519.4570430740264,0.9976133339620453,133.04708314978166,543.315785480542,520.1068285153126
3,129.0,5,228,0.995439586254251,133.00938008120363,543.3207787718846,520.1567614287405,0.995439586254251,133.00938008120363,543.3207787718846,520.1567614287405,0.9963299669226938,132.9885363684195,543.3306637577072,520.2556112869659,0.9398234221615742,133.0080596958699,543.2947907673154,519.8968813830473,0.8225994887551125,133.00542442570594,543.2508069364131,519.4570430740264,0.9885863519463277,133.00892266014665,543.3370054864315,520.3190285742088
4,134.0,5,228,0.9994182899512085,132.9735799910895,543.3457691236509,520.4066649464039,0.9994182899512085,132.9735799910895,543.3457691236509,520.4066649464039,0.9988741573928549,132.9480244253549,543.3421622019034,520.3705957289287,0.9436311571178909,132.97198601243863,543.3207736222605,520.156709932499,0.7798662206410129,132.9678610541626,543.2508069364131,519.4570430740264,0.9735536261323002,132.97279708648176,543.354265495464,520.4916286645345
5,139.0,5,228,0.996641919531321,132.93971583781467,543.3659542095628,520.6085158055218,0.996641919531321,132.93971583781467,543.3659542095628,520.6085158055218,0.9932756014206516,132.90959675440786,543.3513486571894,520.4624602817884,0.9468029587156668,132.93793531832182,543.3457691236509,520.4066649464039,0.7391167761980725,132.93205484858547,543.2508069364131,519.4570430740264,0.9971662578511399,132.93897005967037,543.3653507314177,520.6024810240717
6,144.0,5,228,0.9971812628736735,132.90769091978825,543.3862382056977,520.811355766871,0.9971812628736735,132.90769091978825,543.3862382056977,520.811355766871,0.9983692050943062,132.8730968707556,543.3599979035607,520.5489527455005,0.9434910399895939,132.9057423780346,543.3659542095628,520.6085158055218,0.7002513684176028,132.89792699701354,543.2508069364131,519.4570430740264,0.9997449331649101,132.9069799526286,543.3846899985142,520.7958736950366
7,149.0,5,228,0.9882328974333917,132.87748845665288,543.4011716136772,520.9606898466662,0.9882328974333917,132.87748845665288,543.4011716136772,520.9606898466662,0.9972045306984604,132.83851545372988,543.3622800298226,520.5717740081213,0.9423675280221178,132.87531323493386,543.3861483668463,520.8104573783572,0.6631809893500865,132.8654019070711,543.2508069364131,519.4570430740264,0.9850543759434517,132.876784702984,543.400099427462,520.9499679845136
8,154.0,5,228,0.9867359583545342,132.84890676488965,543.4231520322828,521.1804940327228,0.9867359583545342,132.84890676488965,543.4231520322828,521.1804940327228,0.999840850661391,132.80605510272784,543.3531040597403,520.4800143072974,0.9333204934948952,132.84663376293742,543.4011516342484,520.9604900523791,0.6278253449928832,132.8344071042477,543.2508069364131,519.4570430740264,0.9972805968547752,132.84829526019172,543.4259835826389,521.2088095362831
9,159.0,5,228,0.9773688059099748,132.821961937862,543.4407076225048,521.3560499349425,0.9773688059099748,132.821961937862,543.4407076225048,521.3560499349425,0.9914167900461397,132.77764812488573,543.302798443382,519.9769581437143,0.930965809687474,132.81950574036821,543.4230793814409,521.1797675243031,0.5941111034510368,132.8048731304034,543.2508069364131,519.4570430740264,0.9998043512897751,132.8215093059024,543.4523543319808,521.4725170297011
10,164.0,5,228,0.9889174835036353,132.79659181001134,543.4671699540318,521.6206732502117,0.9889174835036353,132.79659181001134,543.4671699540318,521.6206732502117,0.994772049742698,132.7518770883168,543.2829420523069,519.7783942329643,0.9210704972841638,132.79395012934594,543.4407076225048,521.3560499349425,0.5619704442213064,132.77673344287263,543.2508069364131,519.4570430740264,0.9913171022079531,132.79615463924875,543.4653986227141,521.6029599370358
11,169.0,5,228,0.9953346544327446,132.77279017103882,543.4862076155246,521.8110498651388,0.9953346544327446,132.77279017103882,543.4862076155246,521.8110498651388,0.9956362886678688,132.7277635273841,543.3134547024763,520.0835207346574,0.9311004836609752,132.76990595029793,543.4671699540318,521.6206732502117,0.5313398874197649,132.74992431449425,543.2508069364131,519.4570430740264,0.9914049266790588,132.7723413265926,543.4840606711093,521.7895804209877
12,174.0,5,228,0.987742575072599,132.75026057267974,543.5033179147076,521.9821528569696,0.987742575072599,132.75026057267974,543.5033179147076,521.9821528569696,0.998278541984527,132.70513933508772,543.3365850977577,520.314824687471,0.9362525334803232,132.74736959493936,543.4862076155246,521.8110498651388,0.5021593747261269,132.72438473485056,543.2508069364131,519.4570430740264,0.9880129745722447,132.7498327890699,543.5027433579561,521.9764072894554
13,179.0,5,228,0.9879494787565198,132.72918617820818,543.5242375788802,522.1913494986965,0.9879494787565198,132.72918617820818,543.5242375788802,522.1913494986965,0.9931740348656558,132.68386742734882,543.3570741941559,520.5197156514538,0.9276031720774467,132.72604716976997,543.5033179147076,521.9821528569696,0.47437156962752924,132.70005631296152,543.2508069364131,519.4570430740264,0.9864404369941466,132.72876496312327,543.5233745014272,522.1827187241669
14,184.0,5,228,0.9989629224455596,132.70956717767203,543.5495747955382,522.4447216652757,0.9989629224455596,132.70956717767203,543.5495747955382,522.4447216652757,0.9888820188468161,132.663983789925,543.3847895381653,520.7968690915475,0.9265187670095159,132.70612437902525,543.5242375788802,522.1913494986965,0.44792134313747267,132.6768831816433,543.2508069364131,519.4570430740264,0.9873453572392639,132.7090560105941,543.5443730521354,522.3927042312475
15,189.0,5,228,0.9996111232784248,132.69106320424396,543.5719241266099,522.6682149759932,0.9996111232784248,132.69106320424396,543.5719241266099,522.6682149759932,0.988338817724625,132.6452999157097,543.4043046297344,520.9920200072382,0.935703193108694,132.68760384219917,543.5495747955382,522.4447216652757,0.4227554119404578,132.65481190370875,543.2508069364131,519.4570430740264,0.9994101688129795,132.69056974926914,543.5716416742777,522.6653904526717
16,194.0,5,228,0.9941005940991244,132.67379431096526,543.5919947715454,522.8689214253476,0.9941005940991244,132.67379431096526,543.5919947715454,522.8689214253476,0.9854810439642214,132.62791269168622,543.427484120087,521.2238149107636,0.9351730139546609,132.67014751103704,543.5719241266099,522.6682149759932,0.3988220982124505,132.63379138015904,543.2508069364131,519.4570430740264,0.9948853803246828,132.67332238618974,543.5903386741038,522.8523604509306
17,199.0,5,228,0.9760557961828433,132.6576341569331,543.6053817177703,523.002790887597,0.9760557961828433,132.6576341569331,543.6053817177703,523.002790887597,0.9693313672183084,132.6114587893227,543.4430058928599,521.379032638493,0.9280118574431742,132.65387729121846,543.5918867062335,522.8678407722294,0.3760711834924706,132.61377276048808,543.2508069364131,519.4570430740264,0.9725296882163337,132.6571389301012,543.6039943409925,522.9889171198183
