controller,uncertainty_margin_db,command_feasible_all_intervals,upper_bound_violation_seconds,nominal_violation_seconds,maximum_upper_threshold_excess_db,minimum_nominal_safety_margin_db,fail_safe_command_count,certificate_status,runtime_seconds,eligible_floor_violation_interval_count,eligible_floor_violation_user_interval_count,unique_eligible_floor_violation_user_count,total_normalized_floor_shortfall_user_seconds,maximum_normalized_floor_shortfall,minimum_floor_ratio,mean_moving_pf_utility,minimum_moving_pf_utility,final_moving_pf_utility,mean_moving_geometric_rate_bps_hz,final_moving_geometric_rate_bps_hz,mean_active_instantaneous_pf_utility,mean_active_geometric_rate_bps_hz,mean_active_p05_rate_bps_hz,minimum_active_p05_rate_bps_hz,minimum_active_eligible_rate_bps_hz,mean_total_network_retention_secondary,minimum_total_network_retention_secondary,mean_protected_network_retention_secondary,minimum_protected_network_retention_secondary,command_total_variation_db,maximum_command_slew_db,mean_active_mode_count,maximum_active_mode_count,payload_bytes_per_update,mean_local_table_build_seconds,maximum_local_table_build_seconds
online_predictive_robust_1db,1.0,True,0,0,-0.00017565309712109974,1.0001756530971213,0,PASS_CORRECTED_FINITE_PASS_DYNAMIC_CERTIFICATE,4.034725314006209,0,0,0,0.0,0.0,1.013435009711319,95.96286177100217,6.37349473048718,51.06499614594388,1.6051490886434348,1.2787833459611373,122.9445814700859,2.945934184950701,0.645673491306774,0.24602310746910394,0.10539655610956794,0.9967955375374847,0.9943723608396237,0.9679276844915448,0.9441323741992519,7265.0,3.0,83.01694915254237,94.0,456.0,0.022567541117511563,0.035282880009617656
online_predictive_robust_1db_two_drops,1.0,True,0,0,-0.00011397010774009982,1.0001139701077402,2,PASS_CORRECTED_FINITE_PASS_DYNAMIC_CERTIFICATE,4.033260172989685,0,0,0,0.0,0.0,1.0131080601428628,95.95268394888012,6.335010868708342,51.06226725868026,1.6050771323605608,1.2787664746497702,122.93699917606843,2.945864582735315,0.6456647788002366,0.24602310746910394,0.10539655610956794,0.9967702794112938,0.9940606265534034,0.9676769151443211,0.9410376742806003,8169.0,3.0,83.77118644067797,114.0,456.0,0.022878625469629543,0.03980853100074455
online_predictive_robust_3db,3.0,True,0,0,-4.1722184628269424e-05,3.0000417221846276,0,PASS_CORRECTED_FINITE_PASS_DYNAMIC_CERTIFICATE,4.074648942972999,0,0,0,0.0,0.0,1.00205297945312,95.91622905438015,6.326560330447642,51.027114946116704,1.6047879517877217,1.2785491658016406,122.90350987828249,2.945308094671538,0.6455049507192238,0.24601953018392525,0.1050963247374766,0.9966043322908276,0.9942378762450594,0.96601011794766,0.9427972965954865,7710.0,3.0,88.27966101694915,95.0,456.0,0.022887470147383036,0.04074107698397711
online_myopic_robust_1db,1.0,True,55,6,1.7565895329911374,-0.7565895329911371,0,NOT_APPLICABLE,3.991926105984021,0,0,0,0.0,0.0,1.0133843742530448,95.96552427269062,6.378980644119375,51.06615436150845,1.6051668298761725,1.2787905066816079,122.94671905376887,2.945944002205999,0.6456743438152979,0.2460190394115363,0.10581979280116402,0.9967981032838027,0.9943581456319466,0.9679520323914809,0.94399125464973,6519.0,3.0,83.11016949152543,94.0,456.0,0.022385870402982712,0.04039426305098459
static_robust_1db,1.0,True,0,0,-0.15961700277757823,1.159617002777578,0,NOT_APPLICABLE,0.0,0,0,0,0.0,0.0,1.0133408718806782,95.83344118326006,6.209773020620258,50.886197321777836,1.6041816884675912,1.277678394457709,122.82489550610208,2.9436841821526634,0.6451600372785631,0.24601280598306308,0.10442534142106188,0.996048881846527,0.9943480011540523,0.960432026772257,0.9438905467189647,0.0,0.0,95.0,95.0,456.0,,
frozen_table_predictive_robust_1db,1.0,True,0,0,-0.00031380066827431407,1.0003138006682744,0,PASS_CORRECTED_FINITE_PASS_DYNAMIC_CERTIFICATE,1.2677144539775327,0,0,0,0.0,0.0,1.0134498321011933,95.95709124008077,6.367456500497062,51.04610336324877,1.6051057008643488,1.278666546128778,122.9380121375858,2.9456501925522485,0.6452360221124768,0.24603437236141504,0.10564746523530767,0.9967395273661668,0.9943723608396237,0.9673576464998775,0.9441323741992519,5829.0,3.0,71.21186440677967,94.0,456.0,,
