sector_id,site_id,latitude_deg,longitude_deg,ground_elevation_m_asl,antenna_height_m_agl,azimuth_deg,downtilt_deg,array_rows,array_cols,element_gain_dbi,conducted_power_dbm_per_100mhz,activity_factor,source_or_model_status,provenance_note
E3_SITE_01_SEC_1,E3_SITE_01,45.558267734907965,-75.80877,128.63009643554688,25.0,0.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_01_SEC_2,E3_SITE_01,45.558267734907965,-75.80877,128.63009643554688,25.0,120.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_01_SEC_3,E3_SITE_01,45.558267734907965,-75.80877,128.63009643554688,25.0,240.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_02_SEC_1,E3_SITE_02,45.55376901160484,-75.80877,165.5494842529297,25.0,0.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_02_SEC_2,E3_SITE_02,45.55376901160484,-75.80877,165.5494842529297,25.0,120.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_02_SEC_3,E3_SITE_02,45.55376901160484,-75.80877,165.5494842529297,25.0,240.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_03_SEC_1,E3_SITE_03,45.556018239044185,-75.80322428036298,161.0605926513672,25.0,0.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_03_SEC_2,E3_SITE_03,45.556018239044185,-75.80322428036298,161.0605926513672,25.0,120.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_03_SEC_3,E3_SITE_03,45.556018239044185,-75.80322428036298,161.0605926513672,25.0,240.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_04_SEC_1,E3_SITE_04,45.556018239044185,-75.81431571963701,97.30291748046876,25.0,0.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_04_SEC_2,E3_SITE_04,45.556018239044185,-75.81431571963701,97.30291748046876,25.0,120.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
E3_SITE_04_SEC_3,E3_SITE_04,45.556018239044185,-75.81431571963701,97.30291748046876,25.0,240.0,10.0,8,8,8.0,46.0,1.0,MODELLED_3GPP_UMA_REFERENCE_NOT_OPERATOR_DEPLOYMENT,"Sector orientation/power/array values are declared study parameters, not operator deployment facts. Metadata corrected for consistency with the executed Sionna 8x8 dual-polarized panel (64 element locations, 128 ports); these CSV array-size fields were not consumed by the executed generator."
