pass_slot,user_index,violation_intervals,violation_user_seconds,minimum_floor_ratio,maximum_normalized_shortfall,maximum_absolute_shortfall_bps_hz,user_id,serving_bs_index,serving_sector_id,local_stream_index,x_m,y_m,z_m,radius_m,offset_deg,indoor
0,23,27,135,0.9726650718277641,0.02733492817223593,0.035366618918633685,E3_SITE_02_SEC_3_UE_4,5,E3_SITE_02_SEC_3,3,-93.4536983360578,-3585.3997770052715,1.5,126.59666522162844,-12.421665029254,False
1,23,27,135,0.9728193222443607,0.027180677755639225,0.03516704584247843,E3_SITE_02_SEC_3_UE_4,5,E3_SITE_02_SEC_3,3,-93.4536983360578,-3585.3997770052715,1.5,126.59666522162844,-12.421665029254,False
2,23,11,55,0.9726317914001646,0.0273682085998354,0.035409677974539866,E3_SITE_02_SEC_3_UE_4,5,E3_SITE_02_SEC_3,3,-93.4536983360578,-3585.3997770052715,1.5,126.59666522162844,-12.421665029254,False
3,23,15,75,0.9724542726228104,0.02754572737718961,0.035639356242213704,E3_SITE_02_SEC_3_UE_4,5,E3_SITE_02_SEC_3,3,-93.4536983360578,-3585.3997770052715,1.5,126.59666522162844,-12.421665029254,False
3,73,1,4,0.810696983385736,0.18930301661426396,0.018930301661426396,E3_SITE_07_SEC_1_UE_2,18,E3_SITE_07_SEC_1,1,57.76718988394561,-2336.808197956377,1.5,173.11444908306393,19.493118168163136,False
4,23,20,100,0.9724664631998087,0.027533536800191313,0.035623583766486666,E3_SITE_02_SEC_3_UE_4,5,E3_SITE_02_SEC_3,3,-93.4536983360578,-3585.3997770052715,1.5,126.59666522162844,-12.421665029254,False
4,73,3,15,0.8107033307916489,0.18929666920835114,0.018929666920835114,E3_SITE_07_SEC_1_UE_2,18,E3_SITE_07_SEC_1,1,57.76718988394561,-2336.808197956377,1.5,173.11444908306393,19.493118168163136,False
