pass_slot,interval_index,interval_seconds,violating_user_count,minimum_floor_ratio,maximum_normalized_shortfall
0,0,5,1,0.9879559940352075,0.012044005964792489
0,1,5,1,0.9879551980618252,0.012044801938174837
0,2,5,1,0.9879588322191596,0.012041167780840379
0,3,5,1,0.9879758461483351,0.012024153851664906
0,4,5,1,0.988000747050316,0.011999252949684002
0,5,5,1,0.9880349341597175,0.011965065840282426
0,6,5,1,0.9880822816734737,0.011917718326526286
0,7,5,1,0.9881489542390781,0.011851045760921879
0,8,5,1,0.9882429632208342,0.011757036779165876
0,9,5,1,0.9883791019464928,0.011620898053507153
0,10,5,1,0.9885723459150368,0.011427654084963114
0,11,5,1,0.9888471068820402,0.011152893117959788
0,12,5,1,0.9892393316985683,0.010760668301431728
0,13,5,1,0.9898020369596424,0.01019796304035762
0,14,5,1,0.9906102670921608,0.0093897329078392
0,15,5,1,0.9917767604623678,0.008223239537632158
0,16,5,1,0.99349370940221,0.006506290597789964
0,17,5,1,0.995003935722214,0.004996064277785975
0,18,5,1,0.9967322718858617,0.0032677281141383053
0,80,5,1,0.9726650718277641,0.02733492817223593
0,81,5,1,0.9735861967796882,0.026413803220311817
0,82,5,1,0.9746976769862423,0.025302323013757653
0,83,5,1,0.9763415422567739,0.02365845774322611
0,84,5,1,0.9787725130876207,0.021227486912379266
0,85,5,1,0.9824484647700558,0.017551535229944192
0,86,5,1,0.9881670183516648,0.011832981648335229
0,87,5,1,0.9971794072600871,0.0028205927399128547
1,0,5,1,0.98795162839711,0.012048371602889926
1,1,5,1,0.9879515708282632,0.01204842917173673
1,2,5,1,0.9879560373142259,0.01204396268577412
1,3,5,1,0.9879731978901592,0.01202680210984075
1,4,5,1,0.9879972431934068,0.012002756806593198
1,5,5,1,0.9880311655884461,0.011968834411553957
1,6,5,1,0.9880794697996372,0.011920530200362756
1,7,5,1,0.988147322341718,0.011852677658281966
1,8,5,1,0.9882432511015341,0.011756748898465865
1,9,5,1,0.9883790888566094,0.011620911143390545
1,10,5,1,0.9885723792647513,0.01142762073524867
1,11,5,1,0.9888472293547034,0.011152770645296586
1,12,5,1,0.9892391474420866,0.010760852557913333
1,13,5,1,0.9898004821931061,0.010199517806893836
1,14,5,1,0.9906084377560723,0.009391562243927629
1,15,5,1,0.9917774332573989,0.008222566742601167
1,16,5,1,0.9934951686555459,0.006504831344454092
1,17,5,1,0.9960549595487129,0.0039450404512871035
1,18,5,1,0.9985176196180816,0.001482380381918423
1,80,5,1,0.9728193222443607,0.027180677755639225
1,81,5,1,0.973586270222613,0.026413729777387002
1,82,5,1,0.9746976848025023,0.025302315197497705
1,83,5,1,0.9763415417472299,0.023658458252770107
1,84,5,1,0.978772495126344,0.021227504873656006
1,85,5,1,0.9824484624768889,0.01755153752311109
1,86,5,1,0.9881670485299652,0.011832951470034842
1,87,5,1,0.9971795902917994,0.0028204097082006854
2,80,5,1,0.9726317914001646,0.0273682085998354
2,81,5,1,0.973323431418356,0.02667656858164399
2,82,5,1,0.9743246343312372,0.02567536566876285
2,83,5,1,0.975763922208983,0.024236077791017007
2,84,5,1,0.977716993243747,0.022283006756253006
2,85,5,1,0.9808878898398755,0.019112110160124443
2,86,5,1,0.9857780684883687,0.014221931511631307
2,87,5,1,0.9936109318107739,0.006389068189226098
2,97,5,1,0.9902822146864924,0.009717785313507686
2,98,5,1,0.9839501827992105,0.016049817200789487
2,99,5,1,0.9902822428694364,0.009717757130563576
3,80,5,1,0.9724542726228104,0.02754572737718961
3,81,5,1,0.9730784639302157,0.02692153606978432
3,82,5,1,0.973954810776248,0.02604518922375201
3,83,5,1,0.975076060184817,0.024923939815183028
3,84,5,1,0.9769276962660761,0.023072303733923875
3,85,5,1,0.9796886788417242,0.02031132115827586
3,86,5,1,0.983905475107935,0.01609452489206497
3,87,5,1,0.9905712484098859,0.009428751590114115
3,93,5,1,0.9897247260846895,0.010275273915310447
3,94,5,1,0.9834278742310789,0.01657212576892107
3,95,5,1,0.9897247260846895,0.010275273915310447
3,96,5,1,0.9834278742310789,0.01657212576892107
3,97,5,1,0.9875973089087939,0.012402691091206036
3,98,5,1,0.9834278742310789,0.01657212576892107
3,99,5,1,0.9822457965909439,0.0177542034090561
3,118,4,1,0.810696983385736,0.18930301661426396
4,80,5,1,0.9724664631998087,0.027533536800191313
4,81,5,1,0.9729512386249857,0.027048761375014295
4,82,5,1,0.973961610889461,0.026038389110539066
4,83,5,1,0.9750824576912676,0.024917542308732405
4,84,5,1,0.9769337786571098,0.023066221342890193
4,85,5,1,0.979694210372408,0.02030578962759205
4,86,5,1,0.9839103529124532,0.01608964708754681
4,87,5,1,0.9883849815167478,0.011615018483252183
4,88,5,1,0.9839404776993761,0.01605952230062393
4,89,5,1,0.9883915515794252,0.011608448420574815
4,90,5,1,0.983943008022984,0.0160569919770161
4,91,5,1,0.9858364512659405,0.014163548734059483
4,92,5,1,0.9839436088850699,0.01605639111493005
4,93,5,1,0.9858424685835062,0.014157531416493735
4,94,5,1,0.9839457102965499,0.01605428970345017
4,95,5,1,0.9858462918681856,0.014153708131814399
4,96,5,1,0.9839470341438131,0.01605296585618682
4,97,5,1,0.9850837155519608,0.01491628444803915
4,98,5,1,0.9834168690199625,0.016583130980037518
4,99,5,1,0.9837354552723221,0.016264544727677924
4,118,5,1,0.8107033307916489,0.18929666920835114
4,119,5,1,0.8107060163155696,0.1892939836844304
4,120,5,1,0.8107087232321272,0.18929127676787283
