point_estimate,seed_cluster_standard_deviation,median_bootstrap_mean,lower_95,upper_95,bootstrap_resamples,bootstrap_seed,omitted_pass_slot
0.22299561831166004,0.15082076128577365,0.22118450545013768,0.17528525148275662,0.2802741424192785,10000,20260901,0
0.22588519791485256,0.1521179630500608,0.22375198340184016,0.17815660870154687,0.285105856747574,10000,20260902,1
0.2587631870676343,0.15165777587866788,0.25664221367046547,0.2104039188556029,0.31587508534418024,10000,20260903,2
0.268423219065143,0.1602973286486622,0.26669672140701645,0.21645479522298602,0.3275868396742183,10000,20260904,3
0.27627124401392594,0.16749080686484583,0.27435676377897106,0.22119314638139007,0.34187413184044585,10000,20260905,4
