controller,group,user_count,mean_total_rate_bps_hz,minimum_total_rate_bps_hz,mean_protected_rate_bps_hz,minimum_protected_rate_bps_hz,mean_total_geometric_rate_bps_hz
delayed_myopic_constrained_pf,eligible_all,207,2.624505342178542,0.1440360997449168,2.5399495205401657,0.06668322402942142,1.8953237515613524
delayed_myopic_constrained_pf,eligible_indoor,181,2.8938539796916576,0.1440360997449168,2.797720120298673,0.0738722037381433,2.2802473851242198
delayed_myopic_constrained_pf,eligible_outdoor,26,0.7494244425680183,0.14572634991254207,0.7454695760674899,0.06668322402942142,0.5228176363804931
delayed_myopic_constrained_pf,coverage_limited_all,21,0.032582251508126034,9.163699690044472e-05,0.035958270544398374,0.00010629448276187987,0.019580332416087184
delayed_myopic_constrained_pf,coverage_limited_indoor,3,0.05480217154097629,0.03037289076919744,0.09211747096449856,0.05521897146802206,0.04757011080540269
delayed_myopic_constrained_pf,coverage_limited_outdoor,18,0.028878931502651,9.163699690044472e-05,0.026598403807715023,0.00010629448276187987,0.01683608808928589
predictive_reachability_constrained_pf,eligible_all,207,2.6245349999374397,0.1440360997449168,2.540246098129141,0.06668322402942142,1.8953421426455583
predictive_reachability_constrained_pf,eligible_indoor,181,2.893887417658929,0.1440360997449168,2.798054499971386,0.0738722037381433,2.2802694897662965
predictive_reachability_constrained_pf,eligible_outdoor,26,0.7494277842609286,0.14572634991254207,0.7455029929965917,0.06668322402942142,0.5228227479283719
predictive_reachability_constrained_pf,coverage_limited_all,21,0.03258194210911899,9.163699690044472e-05,0.035955176554327936,0.00010629448276187987,0.01958037522671908
predictive_reachability_constrained_pf,coverage_limited_indoor,3,0.054802011415431624,0.03037289076919744,0.09211586970905188,0.05521897146802206,0.04757019417325943
predictive_reachability_constrained_pf,coverage_limited_outdoor,18,0.028878597224733564,9.163699690044472e-05,0.026595061028540617,0.00010629448276187987,0.016836126275317213
static_constrained_pf,eligible_all,207,2.621599600833963,0.14403609974491124,2.510892107094387,0.06668322402891184,1.893494747374218
static_constrained_pf,eligible_indoor,181,2.8905643866789084,0.14403609974491124,2.7648241901711934,0.07387220381223185,2.2780073534186105
static_constrained_pf,eligible_outdoor,26,0.749190899374932,0.14572634991249112,0.7431341441366212,0.06668322402891184,0.5223759791814341
static_constrained_pf,coverage_limited_all,21,0.03259501584150616,9.163699690044472e-05,0.03608591387819961,0.00010629448276187987,0.019569298399880312
static_constrained_pf,coverage_limited_indoor,3,0.05481170437551572,0.030372891391775583,0.09221279930989303,0.055218971467888865,0.04755804750123486
static_constrained_pf,coverage_limited_outdoor,18,0.02889223441917123,9.163699690044472e-05,0.026731432972917357,0.00010629448276187987,0.01682566972840722
common_scale_oracle,eligible_all,207,2.617712610700771,0.14403623585466327,2.472022205762448,0.008050095262276501,1.8890932736584456
common_scale_oracle,eligible_indoor,181,2.888284118465423,0.14403623585466327,2.742021508036319,0.07379670632927435,2.276915245471769
common_scale_oracle,eligible_outdoor,26,0.7341186528007028,0.1453213554969436,0.5924116783943354,0.008050095262276501,0.5144902295434342
common_scale_oracle,coverage_limited_all,21,0.03259073097924305,9.162787061642175e-05,0.03604306525556838,0.00010620321992165024,0.019561346885168928
common_scale_oracle,coverage_limited_indoor,3,0.05475007985044128,0.030204810827258715,0.0915965540591485,0.055227397517589386,0.04747010543881176
common_scale_oracle,coverage_limited_outdoor,18,0.02889750616737668,9.162787061642175e-05,0.026784150454971675,0.00010620321992165024,0.016823014522349952
hard_spatial_null,eligible_all,207,2.617371139459762,0.1440356215692614,2.468607493352356,0.007994186227162671,1.8888563242134357
hard_spatial_null,eligible_indoor,181,2.8879155701259482,0.1440356215692614,2.7383360246415633,0.07375259227226859,2.2766521150255765
hard_spatial_null,eligible_outdoor,26,0.7339656798220944,0.14531865238053548,0.5908819486082474,0.007994186227162671,0.514390258489164
hard_spatial_null,coverage_limited_all,21,0.03258690984224001,9.162724677661441e-05,0.03600485388553808,0.00010619698152357678,0.01955641999804013
hard_spatial_null,coverage_limited_indoor,3,0.054784377319570685,0.030203981006006055,0.09193952875044253,0.05522318579133775,0.04748500024581537
hard_spatial_null,coverage_limited_outdoor,18,0.02888733192935156,9.162724677661441e-05,0.026682408074720672,0.00010619698152357678,0.01681711961981556
