time_s,interval_index,delayed_myopic_constrained_pf_incumbent_ratio,delayed_myopic_constrained_pf_eligible_pf_utility,delayed_myopic_constrained_pf_eligible_floor_violation_count,predictive_reachability_constrained_pf_incumbent_ratio,predictive_reachability_constrained_pf_eligible_pf_utility,predictive_reachability_constrained_pf_eligible_floor_violation_count,static_constrained_pf_incumbent_ratio,static_constrained_pf_eligible_pf_utility,static_constrained_pf_eligible_floor_violation_count,common_scale_oracle_incumbent_ratio,common_scale_oracle_eligible_pf_utility,common_scale_oracle_eligible_floor_violation_count,hard_spatial_null_incumbent_ratio,hard_spatial_null_eligible_pf_utility,hard_spatial_null_eligible_floor_violation_count
114.0,0,0.9985715483470283,132.26313096659987,0,0.9985715483470283,132.26313096659987,0,0.9983683403980961,132.26310103373686,0,0.999999999999999,131.76144353649107,0,0.048310232460213,131.7556671001861,0
115.0,0,0.9883022433488793,132.26313096659987,0,0.9883022433488793,132.26313096659987,0,0.9881003865474124,132.26310103373686,0,0.9814599716768225,131.76144353649107,0,0.0474145593821014,131.7556671001861,0
116.0,0,0.9781314971106209,132.26313096659987,0,0.9781314971106209,132.26313096659987,0,0.9779309871353846,132.26310103373686,0,0.9632915663659329,131.76144353649107,0,0.04653683949810097,131.7556671001861,0
117.0,0,0.968057851628954,132.26313096659987,0,0.968057851628954,132.26313096659987,0,0.9678586841305538,132.26310103373686,0,0.9454865561585393,131.76144353649107,0,0.04567667531602532,131.7556671001861,0
118.0,0,0.9580798965958773,132.26313096659987,0,0.9580798965958773,132.26313096659987,0,0.9578820671972725,132.26310103373686,0,0.9280369367712683,131.76144353649107,0,0.04483368014708401,131.7556671001861,0
119.0,1,0.9481962678759143,132.26313096659987,0,0.99554594733131,132.26824524485508,0,0.9479997721729299,132.26310103373686,0,1.0000000000000002,131.76179693893945,0,0.044007477659477004,131.7556671001861,0
120.0,1,0.9384056460141451,132.26313096659987,0,0.9851392391202418,132.26824524485508,0,0.9382104795759793,132.26310103373686,0,0.9815991226885672,131.76179693893945,0,0.04319770146227934,131.7556671001861,0
121.0,1,0.9287067547730786,132.26313096659987,0,0.9748323117188084,132.26824524485508,0,0.9285129131428075,132.26310103373686,0,0.9635633981337087,131.76179693893945,0,0.042403994716858934,131.7556671001861,0
122.0,1,0.9190983597028447,132.26313096659987,0,0.9646237445735599,132.26824524485508,0,0.9189058383979247,132.26310103373686,0,0.9458849265463113,131.76179693893945,0,0.04162600977342284,131.7556671001861,0
123.0,1,0.9095792667382707,132.26313096659987,0,0.9545121661525764,132.26824524485508,0,0.9093880612510362,132.26310103373686,0,0.9285560091934257,131.76179693893945,0,0.040863407830152805,131.7556671001861,0
