user_id,serving_sector_id,indoor,eligible,nominal_total_rate_bps_hz,required_total_floor_bps_hz,nominal_protected_rate_bps_hz,delayed_myopic_constrained_pf_minimum_total_rate_bps_hz,delayed_myopic_constrained_pf_minimum_total_retention,delayed_myopic_constrained_pf_minimum_protected_rate_bps_hz,delayed_myopic_constrained_pf_minimum_protected_retention,delayed_myopic_constrained_pf_floor_violation,predictive_reachability_constrained_pf_minimum_total_rate_bps_hz,predictive_reachability_constrained_pf_minimum_total_retention,predictive_reachability_constrained_pf_minimum_protected_rate_bps_hz,predictive_reachability_constrained_pf_minimum_protected_retention,predictive_reachability_constrained_pf_floor_violation,static_constrained_pf_minimum_total_rate_bps_hz,static_constrained_pf_minimum_total_retention,static_constrained_pf_minimum_protected_rate_bps_hz,static_constrained_pf_minimum_protected_retention,static_constrained_pf_floor_violation,common_scale_oracle_minimum_total_rate_bps_hz,common_scale_oracle_minimum_total_retention,common_scale_oracle_minimum_protected_rate_bps_hz,common_scale_oracle_minimum_protected_retention,common_scale_oracle_floor_violation,hard_spatial_null_minimum_total_rate_bps_hz,hard_spatial_null_minimum_total_retention,hard_spatial_null_minimum_protected_rate_bps_hz,hard_spatial_null_minimum_protected_retention,hard_spatial_null_floor_violation
E3_SITE_01_SEC_1_UE_1,E3_SITE_01_SEC_1,True,True,3.608940014243126,3.248046012818813,3.783172369003296,3.568151428100052,0.9886979040986836,3.3752865075725573,0.8921841720000194,False,3.568151428100052,0.9886979040986836,3.3752865075725573,0.8921841720000194,False,3.568242301891713,0.9887230842876872,3.376195245489167,0.8924243772637434,False,3.562694074513803,0.987185727790762,3.3207129717100674,0.8777588351294004,False,3.5625082030878157,0.987134224738549,3.3188542574501954,0.8772675241135184,False
E3_SITE_01_SEC_1_UE_2,E3_SITE_01_SEC_1,True,True,5.201308357715607,4.681177521944047,5.1394243240356445,5.191778721307533,0.998167838598929,5.044127959954904,0.9814577746314764,False,5.191778721307533,0.998167838598929,5.044127959954904,0.9814577746314764,False,5.204220061157358,1.0005598021192939,5.16854135845315,1.00566542721163,False,5.2064783959981344,1.0009939880366558,5.191124706860914,1.010059566901974,False,5.206420387527209,1.0009828353675703,5.190544622151661,1.0099466973133433,False
E3_SITE_01_SEC_1_UE_3,E3_SITE_01_SEC_1,True,True,3.421301394701004,3.0791712552309036,3.132174015045166,3.4205180928569634,0.9997710514936644,3.12434099660476,0.9974991752045765,False,3.420502729690381,0.9997665610484185,3.1241873649389365,0.997450125673776,False,3.421994302588889,1.0002025275788207,3.139103093924012,1.0022122266660674,False,3.4223558260472378,1.0003081959829283,3.1427183285075038,1.0033664519952241,False,3.4223485761049086,1.000306076923105,3.142645829084213,1.0033433053172482,False
E3_SITE_01_SEC_1_UE_4,E3_SITE_01_SEC_1,True,True,2.3531556814908985,2.1178401133418086,1.951629877090454,2.204686837495732,0.9369064931984864,0.4669414371387909,0.2392571678780203,False,2.204686837495732,0.9369064931984864,0.4669414371387909,0.2392571678780203,False,2.2048168997941016,0.936961764636493,0.4682420601224852,0.23992359699911642,False,2.2051423836166264,0.9371000826513549,0.4714968983477338,0.24159135084089556,False,2.2048587623687346,0.9369795546088957,0.46866068586881515,0.240138097582062,False
E3_SITE_01_SEC_2_UE_1,E3_SITE_01_SEC_2,True,True,2.0457100942730904,1.8411390848457814,2.2208545207977295,2.048029411023295,1.0011337465443895,2.2440476882997773,1.010443352900809,False,2.048029411023295,1.0011337465443895,2.2440476882997773,1.010443352900809,False,2.048029411024082,1.001133746544774,2.244047688307649,1.0104433529043533,False,2.0478614195167717,1.0010516276229482,2.2423677732345455,1.0096869255664205,False,2.047871515992807,1.0010565630612898,2.242468737994895,1.0097323876889521,False
E3_SITE_01_SEC_2_UE_2,E3_SITE_01_SEC_2,True,True,2.544704778492451,2.2902343006432058,2.784364700317383,2.5426323816624667,0.9991856042211655,2.7636407320175387,0.9925570208897269,False,2.5426323816624667,0.9991856042211655,2.7636407320175387,0.9925570208897269,False,2.542632381662303,0.9991856042211011,2.7636407320158995,0.9925570208891382,False,2.542509937944395,0.9991374871589795,2.7624162948368234,0.9921172662912808,False,2.542499213996755,0.9991332729382453,2.7623090553604235,0.9920787514098116,False
E3_SITE_01_SEC_2_UE_3,E3_SITE_01_SEC_2,True,True,1.2317353755235672,1.1085618379712106,1.2212843894958496,1.2346074734000951,1.0023317491188455,1.2500053682611294,1.023517027657363,False,1.2346074734000951,1.0023317491188455,1.2500053682611294,1.023517027657363,False,1.2353799542608035,1.0029588975113157,1.2577301768682125,1.0298421790091068,False,1.2353295437095129,1.00291797106535,1.2572260713553065,1.029429412320822,False,1.2354016140622825,1.0029764822960914,1.2579467748830022,1.0300195316524818,False
E3_SITE_01_SEC_2_UE_4,E3_SITE_01_SEC_2,True,True,2.0919724330306053,1.8827751897275449,2.85650372505188,2.087698134029857,0.9979568091179116,2.813760735044399,0.9850366062425826,False,2.087698134029857,0.9979568091179116,2.813760735044399,0.9850366062425826,False,2.0876981340319603,0.997956809118917,2.8137607350654292,0.9850366062499448,False,2.0871907087873915,0.9977142508344211,2.8086864826197426,0.9832602205231611,False,2.0871553079441063,0.9976973286022127,2.8083324741868902,0.9831362898488379,False
E3_SITE_01_SEC_3_UE_1,E3_SITE_01_SEC_3,False,False,0.030077875463757668,,0.021117396652698517,0.03022289444330788,1.004821450229254,0.022567586448200627,1.0686727544759544,False,0.03022289444330788,1.004821450229254,0.022567586448200627,1.0686727544759544,False,0.030536644927620246,1.01525272170288,0.02570509129132429,1.2172471689610247,False,0.030552386471439874,1.0157760812679062,0.025862506729520552,1.2247014703024803,False,0.03056425645660907,1.0161707230099237,0.025981206581212533,1.2303224212958317,False
E3_SITE_01_SEC_3_UE_2,E3_SITE_01_SEC_3,True,True,0.3817156324163079,0.3435440691746771,0.379779189825058,0.38028139237368047,0.9962426478749415,0.3654367893987838,0.9622348964594905,False,0.38028139237368047,0.9962426478749415,0.3654367893987838,0.9622348964594905,False,0.38028139237363523,0.9962426478748231,0.365436789398331,0.9622348964582982,False,0.3800916334174388,0.9957455266146974,0.363539199836367,0.9572383363180805,False,0.38008530236355914,0.9957289408284681,0.36347588929757024,0.9570716327690368,False
E3_SITE_01_SEC_3_UE_3,E3_SITE_01_SEC_3,True,True,3.5837833613157275,3.2254050251841546,3.988790512084961,3.518764507619573,0.9818574821240634,3.338601975123415,0.836996068108453,False,3.518764507619573,0.9818574821240634,3.338601975123415,0.836996068108453,False,3.5187645076218947,0.9818574821247114,3.338601975146633,0.8369960681142737,False,3.493312706443975,0.9747555458155435,3.084083963367435,0.7731877505282594,False,3.4928608082736927,0.9746294505344614,3.079564981664613,0.7720548302384798,False
E3_SITE_01_SEC_3_UE_4,E3_SITE_01_SEC_3,False,True,0.3999668246135116,0.35997014215216044,0.46795597672462463,0.4000496676898751,1.000207124869528,0.46878440748826006,1.0017703177325223,False,0.4000496676898751,1.000207124869528,0.46878440748826006,1.0017703177325223,False,0.4000496676899008,1.000207124869592,0.4687844074885172,1.001770317733072,False,0.39990347254910596,0.9998416067020888,0.46732245608056866,0.998646196062095,False,0.39989807791998855,0.9998281190106468,0.46726850978939444,0.9985309153650692,False
E3_SITE_02_SEC_1_UE_1,E3_SITE_02_SEC_1,True,True,0.37634746860712764,0.33871272174641487,0.4276161789894104,0.37499092890027763,0.9963955126046932,0.41405078192091077,0.9682766982751708,False,0.37499092890027763,0.9963955126046932,0.41405078192091077,0.9682766982751708,False,0.37499092890029384,0.9963955126047362,0.41405078192107236,0.9682766982755487,False,0.3749808055318316,0.9963686136103052,0.41394954823645036,0.9680399586721472,False,0.37497389024773137,0.9963502388777055,0.41388039539544785,0.9678782415893981,False
E3_SITE_02_SEC_1_UE_2,E3_SITE_02_SEC_1,True,True,3.5226205855607984,3.1703585270047188,4.227145671844482,3.4607260623371947,0.9824294096624232,3.608200439608447,0.8535784474240834,False,3.4607260623371947,0.9824294096624232,3.608200439608447,0.8535784474240834,False,3.4607260623398126,0.9824294096631664,3.608200439634623,0.8535784474302757,False,3.46060232598201,0.9823942834397208,3.606963076056599,0.8532857289686752,False,3.460291225729864,0.982305968435425,3.6038520735351387,0.8525497707682795,False
E3_SITE_02_SEC_1_UE_3,E3_SITE_02_SEC_1,True,True,1.2147547338157891,1.0932792604342103,2.1582858562469482,1.2054947075538165,0.9923770403982004,2.0656855936272223,0.9570954596437244,False,1.2054947075538165,0.9923770403982004,2.0656855936272223,0.9570954596437244,False,1.2055071473610974,0.9923872809899302,2.0658099917000308,0.9571530970843111,False,1.2057137145596915,0.9925573294720178,2.067875663685972,0.9581101862390967,False,1.2056802738622352,0.9925298007071359,2.0675412567114093,0.9579552452364511,False
E3_SITE_02_SEC_1_UE_4,E3_SITE_02_SEC_1,True,True,3.713956606388092,3.342560945749283,4.091170787811279,3.71981129632055,1.0015764023527867,4.149717687135856,1.0143105488284683,False,3.71981129632055,1.0015764023527867,4.149717687135856,1.0143105488284683,False,3.721110159025888,1.0019261271457753,4.1627063141892355,1.0174853434598918,False,3.721213627210067,1.001953986433092,4.163740996031028,1.017738249509396,False,3.721195261501184,1.0019490413810008,4.163557338942198,1.017693358426047,False
