p452_time_percentage,polarization_label,bs_gain_case,earth_station_pattern_type,peak_time_s,rank,sector_id,site_id,sector_received_dbw_per_10mhz,fraction_of_aggregate_power
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,1,E3_SITE_18_SEC_1,E3_SITE_18,-72.0935551120659,0.2372433357970907
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,2,E3_SITE_04_SEC_1,E3_SITE_04,-74.73661234858224,0.1290887211032069
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,3,E3_SITE_11_SEC_1,E3_SITE_11,-75.1011878669427,0.11869454128492357
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,4,E3_SITE_13_SEC_1,E3_SITE_13,-75.82580881042352,0.10045432783623644
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,5,E3_SITE_19_SEC_1,E3_SITE_19,-76.18032876313528,0.09257988921731988
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,6,E3_SITE_15_SEC_1,E3_SITE_15,-76.89455581837791,0.07854055235769208
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,7,E3_SITE_07_SEC_1,E3_SITE_07,-77.67807249872207,0.06557560154617213
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,8,E3_SITE_01_SEC_1,E3_SITE_01,-78.55489146053243,0.05358711632141055
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,9,E3_SITE_02_SEC_1,E3_SITE_02,-78.96625760053769,0.048744292704993177
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,10,E3_SITE_16_SEC_1,E3_SITE_16,-83.07271357993943,0.01893556094249384
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,1,E3_SITE_18_SEC_1,E3_SITE_18,-69.0935551120659,0.23724333579709103
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,2,E3_SITE_04_SEC_1,E3_SITE_04,-71.73661234858224,0.12908872110320682
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,3,E3_SITE_11_SEC_1,E3_SITE_11,-72.1011878669427,0.11869454128492349
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,4,E3_SITE_13_SEC_1,E3_SITE_13,-72.82580881042352,0.10045432783623637
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,5,E3_SITE_19_SEC_1,E3_SITE_19,-73.18032876313528,0.09257988921731981
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,6,E3_SITE_15_SEC_1,E3_SITE_15,-73.89455581837791,0.07854055235769204
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,7,E3_SITE_07_SEC_1,E3_SITE_07,-74.67807249872207,0.06557560154617223
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,8,E3_SITE_01_SEC_1,E3_SITE_01,-75.55489146053243,0.053587116321410506
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,9,E3_SITE_02_SEC_1,E3_SITE_02,-75.96625760053769,0.04874429270499314
0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,114.0,10,E3_SITE_16_SEC_1,E3_SITE_16,-80.07271357993943,0.018935560942493868
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,1,E3_SITE_18_SEC_1,E3_SITE_18,-96.1759547651844,0.2372433357970906
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,2,E3_SITE_04_SEC_1,E3_SITE_04,-98.81901200170074,0.12908872110320713
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,3,E3_SITE_11_SEC_1,E3_SITE_11,-99.1835875200612,0.11869454128492352
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,4,E3_SITE_13_SEC_1,E3_SITE_13,-99.90820846354202,0.1004543278362364
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,5,E3_SITE_19_SEC_1,E3_SITE_19,-100.26272841625378,0.09257988921731984
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,6,E3_SITE_15_SEC_1,E3_SITE_15,-100.97695547149641,0.07854055235769206
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,7,E3_SITE_07_SEC_1,E3_SITE_07,-101.76047215184056,0.06557560154617238
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,8,E3_SITE_01_SEC_1,E3_SITE_01,-102.63729111365093,0.05358711632141052
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,9,E3_SITE_02_SEC_1,E3_SITE_02,-103.04865725365619,0.04874429270499305
0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,114.0,10,E3_SITE_16_SEC_1,E3_SITE_16,-107.15511323305793,0.018935560942493834
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,1,E3_SITE_18_SEC_1,E3_SITE_18,-93.1759547651844,0.237243335797091
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,2,E3_SITE_04_SEC_1,E3_SITE_04,-95.81901200170074,0.1290887211032068
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,3,E3_SITE_11_SEC_1,E3_SITE_11,-96.1835875200612,0.11869454128492322
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,4,E3_SITE_13_SEC_1,E3_SITE_13,-96.90820846354202,0.10045432783623616
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,5,E3_SITE_19_SEC_1,E3_SITE_19,-97.26272841625378,0.09257988921732
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,6,E3_SITE_15_SEC_1,E3_SITE_15,-97.97695547149641,0.0785405523576922
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,7,E3_SITE_07_SEC_1,E3_SITE_07,-98.76047215184056,0.0655756015461725
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,8,E3_SITE_01_SEC_1,E3_SITE_01,-99.63729111365093,0.053587116321410395
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,9,E3_SITE_02_SEC_1,E3_SITE_02,-100.04865725365619,0.04874429270499314
0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,114.0,10,E3_SITE_16_SEC_1,E3_SITE_16,-104.15511323305793,0.018935560942493868
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,1,E3_SITE_18_SEC_3,E3_SITE_18,-103.35918211292315,0.0809594324256721
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,2,E3_SITE_18_SEC_2,E3_SITE_18,-103.35918211292315,0.0809594324256721
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,3,E3_SITE_18_SEC_1,E3_SITE_18,-103.35918211292315,0.0809594324256721
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,4,E3_SITE_04_SEC_2,E3_SITE_04,-106.1797842884684,0.04228703520320162
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,5,E3_SITE_04_SEC_1,E3_SITE_04,-106.1797842884684,0.04228703520320162
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,6,E3_SITE_04_SEC_3,E3_SITE_04,-106.1797842884684,0.04228703520320162
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,7,E3_SITE_11_SEC_2,E3_SITE_11,-106.63846409987636,0.03804865034349031
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,8,E3_SITE_11_SEC_3,E3_SITE_11,-106.63846409987636,0.03804865034349031
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,9,E3_SITE_11_SEC_1,E3_SITE_11,-106.63846409987636,0.03804865034349031
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,114.0,10,E3_SITE_13_SEC_1,E3_SITE_13,-106.90359298105943,0.03579532979060106
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,1,E3_SITE_18_SEC_3,E3_SITE_18,-100.35918211292315,0.08095943242567194
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,2,E3_SITE_18_SEC_2,E3_SITE_18,-100.35918211292315,0.08095943242567194
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,3,E3_SITE_18_SEC_1,E3_SITE_18,-100.35918211292315,0.08095943242567194
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,4,E3_SITE_04_SEC_2,E3_SITE_04,-103.1797842884684,0.042287035203201706
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,5,E3_SITE_04_SEC_1,E3_SITE_04,-103.1797842884684,0.042287035203201706
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,6,E3_SITE_04_SEC_3,E3_SITE_04,-103.1797842884684,0.042287035203201706
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,7,E3_SITE_11_SEC_2,E3_SITE_11,-103.63846409987636,0.038048650343490385
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,8,E3_SITE_11_SEC_3,E3_SITE_11,-103.63846409987636,0.038048650343490385
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,9,E3_SITE_11_SEC_1,E3_SITE_11,-103.63846409987636,0.038048650343490385
0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,114.0,10,E3_SITE_13_SEC_1,E3_SITE_13,-103.90359298105943,0.03579532979060099
0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,1,E3_SITE_18_SEC_1,E3_SITE_18,-72.0935551120659,0.2372433357970907
0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,2,E3_SITE_04_SEC_1,E3_SITE_04,-74.73661234858224,0.1290887211032069
0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,3,E3_SITE_11_SEC_1,E3_SITE_11,-75.1011878669427,0.11869454128492357
0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,4,E3_SITE_13_SEC_1,E3_SITE_13,-75.82580881042352,0.10045432783623644
0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,114.0,5,E3_SITE_19_SEC_1,E3_SITE_19,-76.18032876313528,0.09257988921731988
