site_id,coast_distance_km,polarization_code,polarization_label,time_percentage,baseline_basic_loss_db,troposcatter_suppressed_basic_loss_db,troposcatter_contribution_delta_db
E3_SITE_01,5,1,H,50,120.20947068326,120.209470683304,4.43094450019998e-11
E3_SITE_01,5,1,H,20,119.894554790291,119.894554790729,4.3790748804895e-10
E3_SITE_01,5,1,H,10,119.729782622139,119.729782623459,1.32017419218755e-09
E3_SITE_01,5,1,H,1,119.064581283074,119.064581305093,2.20187246213754e-08
E3_SITE_01,5,1,H,0.1,118.390708465976,118.390708678865,2.12889332829036e-07
E3_SITE_01,5,1,H,0.01,117.716834494682,117.716836052638,1.55795595446762e-06
E3_SITE_01,5,1,H,0.005,117.513977449339,117.513980178887,2.72954767410738e-06
E3_SITE_01,5,2,V,50,120.20947068326,120.209470683304,4.43094450019998e-11
E3_SITE_01,5,2,V,20,119.894554790291,119.894554790729,4.3790748804895e-10
E3_SITE_01,5,2,V,10,119.729782622139,119.729782623459,1.32017419218755e-09
E3_SITE_01,5,2,V,1,119.064581283074,119.064581305093,2.20187246213754e-08
E3_SITE_01,5,2,V,0.1,118.390708465976,118.390708678865,2.12889332829036e-07
E3_SITE_01,5,2,V,0.01,117.716834494682,117.716836052638,1.55795595446762e-06
E3_SITE_01,5,2,V,0.005,117.513977449339,117.513980178887,2.72954767410738e-06
E3_SITE_01,50,1,H,50,120.20947068326,120.209470683304,4.43094450019998e-11
E3_SITE_01,50,1,H,20,119.894554790291,119.894554790729,4.3790748804895e-10
E3_SITE_01,50,1,H,10,119.729782622139,119.729782623459,1.32017419218755e-09
E3_SITE_01,50,1,H,1,119.064581283074,119.064581305093,2.20187246213754e-08
E3_SITE_01,50,1,H,0.1,118.390708465976,118.390708678865,2.12889332829036e-07
E3_SITE_01,50,1,H,0.01,117.716834494682,117.716836052638,1.55795595446762e-06
E3_SITE_01,50,1,H,0.005,117.513977449339,117.513980178887,2.72954767410738e-06
E3_SITE_01,50,2,V,50,120.20947068326,120.209470683304,4.43094450019998e-11
E3_SITE_01,50,2,V,20,119.894554790291,119.894554790729,4.3790748804895e-10
E3_SITE_01,50,2,V,10,119.729782622139,119.729782623459,1.32017419218755e-09
E3_SITE_01,50,2,V,1,119.064581283074,119.064581305093,2.20187246213754e-08
E3_SITE_01,50,2,V,0.1,118.390708465976,118.390708678865,2.12889332829036e-07
E3_SITE_01,50,2,V,0.01,117.716834494682,117.716836052638,1.55795595446762e-06
E3_SITE_01,50,2,V,0.005,117.513977449339,117.513980178887,2.72954767410738e-06
E3_SITE_01,200,1,H,50,120.20947068326,120.209470683304,4.43094450019998e-11
E3_SITE_01,200,1,H,20,119.894554790291,119.894554790729,4.3790748804895e-10
E3_SITE_01,200,1,H,10,119.729782622139,119.729782623459,1.32017419218755e-09
E3_SITE_01,200,1,H,1,119.064581283074,119.064581305093,2.20187246213754e-08
E3_SITE_01,200,1,H,0.1,118.390708465976,118.390708678865,2.12889332829036e-07
E3_SITE_01,200,1,H,0.01,117.716834494682,117.716836052638,1.55795595446762e-06
E3_SITE_01,200,1,H,0.005,117.513977449339,117.513980178887,2.72954767410738e-06
E3_SITE_01,200,2,V,50,120.20947068326,120.209470683304,4.43094450019998e-11
E3_SITE_01,200,2,V,20,119.894554790291,119.894554790729,4.3790748804895e-10
E3_SITE_01,200,2,V,10,119.729782622139,119.729782623459,1.32017419218755e-09
E3_SITE_01,200,2,V,1,119.064581283074,119.064581305093,2.20187246213754e-08
E3_SITE_01,200,2,V,0.1,118.390708465976,118.390708678865,2.12889332829036e-07
E3_SITE_01,200,2,V,0.01,117.716834494682,117.716836052638,1.55795595446762e-06
E3_SITE_01,200,2,V,0.005,117.513977449339,117.513980178887,2.72954767410738e-06
E3_SITE_02,5,1,H,50,121.54866990931,121.548669909354,4.40536496171262e-11
E3_SITE_02,5,1,H,20,121.189096827102,121.18909682753,4.27846202910587e-10
E3_SITE_02,5,1,H,10,121.000958858685,121.000958859962,1.27674582017789e-09
E3_SITE_02,5,1,H,1,120.244182088019,120.244182108439,2.04199608333511e-08
E3_SITE_02,5,1,H,0.1,119.476370952635,119.476371141708,1.89072665079948e-07
E3_SITE_02,5,1,H,0.01,118.708558849894,118.708560174976,1.3250823656108e-06
E3_SITE_02,5,1,H,0.005,118.477423751476,118.47742604299,2.29151449104847e-06
E3_SITE_02,5,2,V,50,121.54866990931,121.548669909354,4.40536496171262e-11
E3_SITE_02,5,2,V,20,121.189096827102,121.18909682753,4.27846202910587e-10
E3_SITE_02,5,2,V,10,121.000958858685,121.000958859962,1.27674582017789e-09
E3_SITE_02,5,2,V,1,120.244182088019,120.244182108439,2.04199608333511e-08
E3_SITE_02,5,2,V,0.1,119.476370952635,119.476371141708,1.89072665079948e-07
E3_SITE_02,5,2,V,0.01,118.708558849894,118.708560174976,1.3250823656108e-06
E3_SITE_02,5,2,V,0.005,118.477423751476,118.47742604299,2.29151449104847e-06
E3_SITE_02,50,1,H,50,121.54866990931,121.548669909354,4.40536496171262e-11
E3_SITE_02,50,1,H,20,121.189096827102,121.18909682753,4.27846202910587e-10
E3_SITE_02,50,1,H,10,121.000958858685,121.000958859962,1.27674582017789e-09
E3_SITE_02,50,1,H,1,120.244182088019,120.244182108439,2.04199608333511e-08
E3_SITE_02,50,1,H,0.1,119.476370952635,119.476371141708,1.89072665079948e-07
E3_SITE_02,50,1,H,0.01,118.708558849894,118.708560174976,1.3250823656108e-06
E3_SITE_02,50,1,H,0.005,118.477423751476,118.47742604299,2.29151449104847e-06
E3_SITE_02,50,2,V,50,121.54866990931,121.548669909354,4.40536496171262e-11
E3_SITE_02,50,2,V,20,121.189096827102,121.18909682753,4.27846202910587e-10
E3_SITE_02,50,2,V,10,121.000958858685,121.000958859962,1.27674582017789e-09
E3_SITE_02,50,2,V,1,120.244182088019,120.244182108439,2.04199608333511e-08
E3_SITE_02,50,2,V,0.1,119.476370952635,119.476371141708,1.89072665079948e-07
E3_SITE_02,50,2,V,0.01,118.708558849894,118.708560174976,1.3250823656108e-06
E3_SITE_02,50,2,V,0.005,118.477423751476,118.47742604299,2.29151449104847e-06
E3_SITE_02,200,1,H,50,121.54866990931,121.548669909354,4.40536496171262e-11
E3_SITE_02,200,1,H,20,121.189096827102,121.18909682753,4.27846202910587e-10
E3_SITE_02,200,1,H,10,121.000958858685,121.000958859962,1.27674582017789e-09
E3_SITE_02,200,1,H,1,120.244182088019,120.244182108439,2.04199608333511e-08
E3_SITE_02,200,1,H,0.1,119.476370952635,119.476371141708,1.89072665079948e-07
E3_SITE_02,200,1,H,0.01,118.708558849894,118.708560174976,1.3250823656108e-06
E3_SITE_02,200,1,H,0.005,118.477423751476,118.47742604299,2.29151449104847e-06
E3_SITE_02,200,2,V,50,121.54866990931,121.548669909354,4.40536496171262e-11
E3_SITE_02,200,2,V,20,121.189096827102,121.18909682753,4.27846202910587e-10
E3_SITE_02,200,2,V,10,121.000958858685,121.000958859962,1.27674582017789e-09
E3_SITE_02,200,2,V,1,120.244182088019,120.244182108439,2.04199608333511e-08
E3_SITE_02,200,2,V,0.1,119.476370952635,119.476371141708,1.89072665079948e-07
E3_SITE_02,200,2,V,0.01,118.708558849894,118.708560174976,1.3250823656108e-06
E3_SITE_02,200,2,V,0.005,118.477423751476,118.47742604299,2.29151449104847e-06
E3_SITE_03,5,1,H,50,120.979700399108,120.979700399152,4.43378667114303e-11
E3_SITE_03,5,1,H,20,120.639642757687,120.639642758119,4.3162629026483e-10
E3_SITE_03,5,1,H,10,120.461715774316,120.461715775611,1.2946088645549e-09
E3_SITE_03,5,1,H,1,119.744861356916,119.744861378003,2.108740204676e-08
E3_SITE_03,5,1,H,0.1,119.018044920633,119.018045119606,1.98973481246867e-07
E3_SITE_03,5,1,H,0.01,118.291227440164,118.29122886121,1.42104556744016e-06
E3_SITE_03,5,1,H,0.005,118.072432894623,118.072435366096,2.47147282550486e-06
E3_SITE_03,5,2,V,50,120.979700399108,120.979700399152,4.43378667114303e-11
E3_SITE_03,5,2,V,20,120.639642757687,120.639642758119,4.3162629026483e-10
E3_SITE_03,5,2,V,10,120.461715774316,120.461715775611,1.2946088645549e-09
E3_SITE_03,5,2,V,1,119.744861356916,119.744861378003,2.108740204676e-08
E3_SITE_03,5,2,V,0.1,119.018044920633,119.018045119606,1.98973481246867e-07
E3_SITE_03,5,2,V,0.01,118.291227440164,118.29122886121,1.42104556744016e-06
E3_SITE_03,5,2,V,0.005,118.072432894623,118.072435366096,2.47147282550486e-06
E3_SITE_03,50,1,H,50,120.979700399108,120.979700399152,4.43378667114303e-11
E3_SITE_03,50,1,H,20,120.639642757687,120.639642758119,4.3162629026483e-10
E3_SITE_03,50,1,H,10,120.461715774316,120.461715775611,1.2946088645549e-09
E3_SITE_03,50,1,H,1,119.744861356916,119.744861378003,2.108740204676e-08
E3_SITE_03,50,1,H,0.1,119.018044920633,119.018045119606,1.98973481246867e-07
E3_SITE_03,50,1,H,0.01,118.291227440164,118.29122886121,1.42104556744016e-06
E3_SITE_03,50,1,H,0.005,118.072432894623,118.072435366096,2.47147282550486e-06
E3_SITE_03,50,2,V,50,120.979700399108,120.979700399152,4.43378667114303e-11
E3_SITE_03,50,2,V,20,120.639642757687,120.639642758119,4.3162629026483e-10
E3_SITE_03,50,2,V,10,120.461715774316,120.461715775611,1.2946088645549e-09
E3_SITE_03,50,2,V,1,119.744861356916,119.744861378003,2.108740204676e-08
E3_SITE_03,50,2,V,0.1,119.018044920633,119.018045119606,1.98973481246867e-07
E3_SITE_03,50,2,V,0.01,118.291227440164,118.29122886121,1.42104556744016e-06
E3_SITE_03,50,2,V,0.005,118.072432894623,118.072435366096,2.47147282550486e-06
E3_SITE_03,200,1,H,50,120.979700399108,120.979700399152,4.43378667114303e-11
E3_SITE_03,200,1,H,20,120.639642757687,120.639642758119,4.3162629026483e-10
E3_SITE_03,200,1,H,10,120.461715774316,120.461715775611,1.2946088645549e-09
E3_SITE_03,200,1,H,1,119.744861356916,119.744861378003,2.108740204676e-08
E3_SITE_03,200,1,H,0.1,119.018044920633,119.018045119606,1.98973481246867e-07
E3_SITE_03,200,1,H,0.01,118.291227440164,118.29122886121,1.42104556744016e-06
E3_SITE_03,200,1,H,0.005,118.072432894623,118.072435366096,2.47147282550486e-06
E3_SITE_03,200,2,V,50,120.979700399108,120.979700399152,4.43378667114303e-11
E3_SITE_03,200,2,V,20,120.639642757687,120.639642758119,4.3162629026483e-10
E3_SITE_03,200,2,V,10,120.461715774316,120.461715775611,1.2946088645549e-09
E3_SITE_03,200,2,V,1,119.744861356916,119.744861378003,2.108740204676e-08
E3_SITE_03,200,2,V,0.1,119.018044920633,119.018045119606,1.98973481246867e-07
E3_SITE_03,200,2,V,0.01,118.291227440164,118.29122886121,1.42104556744016e-06
E3_SITE_03,200,2,V,0.005,118.072432894623,118.072435366096,2.47147282550486e-06
E3_SITE_04,5,1,H,50,120.986760183645,120.986760183689,4.42668124378542e-11
E3_SITE_04,5,1,H,20,120.646702542222,120.646702542656,4.33558966506098e-10
