site_id,distance_km,coast_distance_km,polarization_code,polarization_label,time_percentage,basic_transmission_loss_db,path_gain_linear
E3_SITE_01,2.99999999999921,5,1,H,50,120.20947068326,9.52912297595533e-13
E3_SITE_01,2.99999999999921,5,1,H,20,119.894554790291,1.02457680770106e-12
E3_SITE_01,2.99999999999921,5,1,H,10,119.729782622139,1.06419628321653e-12
E3_SITE_01,2.99999999999921,5,1,H,1,119.064581283074,1.2403432047314e-12
E3_SITE_01,2.99999999999921,5,1,H,0.1,118.390708465976,1.44853553420535e-12
E3_SITE_01,2.99999999999921,5,1,H,0.01,117.716834494682,1.69167351704852e-12
E3_SITE_01,2.99999999999921,5,1,H,0.005,117.513977449339,1.77256534827356e-12
E3_SITE_01,2.99999999999921,5,2,V,50,120.20947068326,9.52912297595533e-13
E3_SITE_01,2.99999999999921,5,2,V,20,119.894554790291,1.02457680770106e-12
E3_SITE_01,2.99999999999921,5,2,V,10,119.729782622139,1.06419628321653e-12
E3_SITE_01,2.99999999999921,5,2,V,1,119.064581283074,1.2403432047314e-12
E3_SITE_01,2.99999999999921,5,2,V,0.1,118.390708465976,1.44853553420535e-12
E3_SITE_01,2.99999999999921,5,2,V,0.01,117.716834494682,1.69167351704852e-12
E3_SITE_01,2.99999999999921,5,2,V,0.005,117.513977449339,1.77256534827356e-12
E3_SITE_01,2.99999999999921,50,1,H,50,120.20947068326,9.52912297595533e-13
E3_SITE_01,2.99999999999921,50,1,H,20,119.894554790291,1.02457680770106e-12
E3_SITE_01,2.99999999999921,50,1,H,10,119.729782622139,1.06419628321653e-12
E3_SITE_01,2.99999999999921,50,1,H,1,119.064581283074,1.2403432047314e-12
E3_SITE_01,2.99999999999921,50,1,H,0.1,118.390708465976,1.44853553420535e-12
E3_SITE_01,2.99999999999921,50,1,H,0.01,117.716834494682,1.69167351704852e-12
E3_SITE_01,2.99999999999921,50,1,H,0.005,117.513977449339,1.77256534827356e-12
E3_SITE_01,2.99999999999921,50,2,V,50,120.20947068326,9.52912297595533e-13
E3_SITE_01,2.99999999999921,50,2,V,20,119.894554790291,1.02457680770106e-12
E3_SITE_01,2.99999999999921,50,2,V,10,119.729782622139,1.06419628321653e-12
E3_SITE_01,2.99999999999921,50,2,V,1,119.064581283074,1.2403432047314e-12
E3_SITE_01,2.99999999999921,50,2,V,0.1,118.390708465976,1.44853553420535e-12
