site_id,distance_km,coast_distance_km,polarization_code,polarization_label,time_percentage,basic_transmission_loss_db,path_gain_linear
E3_SITE_01,2.99999999999921,50,2,V,0.01,117.716834494682,1.69167351704852e-12
E3_SITE_01,2.99999999999921,50,2,V,0.005,117.513977449339,1.77256534827356e-12
E3_SITE_01,2.99999999999921,200,1,H,50,120.20947068326,9.52912297595533e-13
E3_SITE_01,2.99999999999921,200,1,H,20,119.894554790291,1.02457680770106e-12
E3_SITE_01,2.99999999999921,200,1,H,10,119.729782622139,1.06419628321653e-12
E3_SITE_01,2.99999999999921,200,1,H,1,119.064581283074,1.2403432047314e-12
E3_SITE_01,2.99999999999921,200,1,H,0.1,118.390708465976,1.44853553420535e-12
E3_SITE_01,2.99999999999921,200,1,H,0.01,117.716834494682,1.69167351704852e-12
E3_SITE_01,2.99999999999921,200,1,H,0.005,117.513977449339,1.77256534827356e-12
E3_SITE_01,2.99999999999921,200,2,V,50,120.20947068326,9.52912297595533e-13
E3_SITE_01,2.99999999999921,200,2,V,20,119.894554790291,1.02457680770106e-12
E3_SITE_01,2.99999999999921,200,2,V,10,119.729782622139,1.06419628321653e-12
E3_SITE_01,2.99999999999921,200,2,V,1,119.064581283074,1.2403432047314e-12
E3_SITE_01,2.99999999999921,200,2,V,0.1,118.390708465976,1.44853553420535e-12
E3_SITE_01,2.99999999999921,200,2,V,0.01,117.716834494682,1.69167351704852e-12
E3_SITE_01,2.99999999999921,200,2,V,0.005,117.513977449339,1.77256534827356e-12
E3_SITE_02,3.49999999999976,5,1,H,50,121.54866990931,7.00056365726144e-13
E3_SITE_02,3.49999999999976,5,1,H,20,121.189096827102,7.60484413302825e-13
E3_SITE_02,3.49999999999976,5,1,H,10,121.000958858685,7.94152878028738e-13
E3_SITE_02,3.49999999999976,5,1,H,1,120.244182088019,9.45326410128137e-13
E3_SITE_02,3.49999999999976,5,1,H,0.1,119.476370952635,1.1281397574754e-12
E3_SITE_02,3.49999999999976,5,1,H,0.01,118.708558849894,1.34630703452771e-12
E3_SITE_02,3.49999999999976,5,1,H,0.005,118.477423751476,1.41989956079899e-12
E3_SITE_02,3.49999999999976,5,2,V,50,121.54866990931,7.00056365726144e-13
E3_SITE_02,3.49999999999976,5,2,V,20,121.189096827102,7.60484413302825e-13
E3_SITE_02,3.49999999999976,5,2,V,10,121.000958858685,7.94152878028738e-13
E3_SITE_02,3.49999999999976,5,2,V,1,120.244182088019,9.45326410128137e-13
E3_SITE_02,3.49999999999976,5,2,V,0.1,119.476370952635,1.1281397574754e-12
E3_SITE_02,3.49999999999976,5,2,V,0.01,118.708558849894,1.34630703452771e-12
E3_SITE_02,3.49999999999976,5,2,V,0.005,118.477423751476,1.41989956079899e-12
E3_SITE_02,3.49999999999976,50,1,H,50,121.54866990931,7.00056365726144e-13
E3_SITE_02,3.49999999999976,50,1,H,20,121.189096827102,7.60484413302825e-13
E3_SITE_02,3.49999999999976,50,1,H,10,121.000958858685,7.94152878028738e-13
E3_SITE_02,3.49999999999976,50,1,H,1,120.244182088019,9.45326410128137e-13
E3_SITE_02,3.49999999999976,50,1,H,0.1,119.476370952635,1.1281397574754e-12
E3_SITE_02,3.49999999999976,50,1,H,0.01,118.708558849894,1.34630703452771e-12
E3_SITE_02,3.49999999999976,50,1,H,0.005,118.477423751476,1.41989956079899e-12
E3_SITE_02,3.49999999999976,50,2,V,50,121.54866990931,7.00056365726144e-13
E3_SITE_02,3.49999999999976,50,2,V,20,121.189096827102,7.60484413302825e-13
E3_SITE_02,3.49999999999976,50,2,V,10,121.000958858685,7.94152878028738e-13
E3_SITE_02,3.49999999999976,50,2,V,1,120.244182088019,9.45326410128137e-13
E3_SITE_02,3.49999999999976,50,2,V,0.1,119.476370952635,1.1281397574754e-12
E3_SITE_02,3.49999999999976,50,2,V,0.01,118.708558849894,1.34630703452771e-12
E3_SITE_02,3.49999999999976,50,2,V,0.005,118.477423751476,1.41989956079899e-12
E3_SITE_02,3.49999999999976,200,1,H,50,121.54866990931,7.00056365726144e-13
E3_SITE_02,3.49999999999976,200,1,H,20,121.189096827102,7.60484413302825e-13
E3_SITE_02,3.49999999999976,200,1,H,10,121.000958858685,7.94152878028738e-13
E3_SITE_02,3.49999999999976,200,1,H,1,120.244182088019,9.45326410128137e-13
E3_SITE_02,3.49999999999976,200,1,H,0.1,119.476370952635,1.1281397574754e-12
E3_SITE_02,3.49999999999976,200,1,H,0.01,118.708558849894,1.34630703452771e-12
E3_SITE_02,3.49999999999976,200,1,H,0.005,118.477423751476,1.41989956079899e-12
E3_SITE_02,3.49999999999976,200,2,V,50,121.54866990931,7.00056365726144e-13
E3_SITE_02,3.49999999999976,200,2,V,20,121.189096827102,7.60484413302825e-13
E3_SITE_02,3.49999999999976,200,2,V,10,121.000958858685,7.94152878028738e-13
E3_SITE_02,3.49999999999976,200,2,V,1,120.244182088019,9.45326410128137e-13
E3_SITE_02,3.49999999999976,200,2,V,0.1,119.476370952635,1.1281397574754e-12
E3_SITE_02,3.49999999999976,200,2,V,0.01,118.708558849894,1.34630703452771e-12
E3_SITE_02,3.49999999999976,200,2,V,0.005,118.477423751476,1.41989956079899e-12
E3_SITE_03,3.27871926215173,5,1,H,50,120.979700399108,7.98049739352807e-13
E3_SITE_03,3.27871926215173,5,1,H,20,120.639642757687,8.63049537647266e-13
E3_SITE_03,3.27871926215173,5,1,H,10,120.461715774316,8.9914228573688e-13
E3_SITE_03,3.27871926215173,5,1,H,1,119.744861356916,1.06050779321746e-12
E3_SITE_03,3.27871926215173,5,1,H,0.1,119.018044920633,1.25370543308898e-12
E3_SITE_03,3.27871926215173,5,1,H,0.01,118.291227440164,1.48209914242567e-12
E3_SITE_03,3.27871926215173,5,1,H,0.005,118.072432894623,1.55867909445957e-12
E3_SITE_03,3.27871926215173,5,2,V,50,120.979700399108,7.98049739352807e-13
E3_SITE_03,3.27871926215173,5,2,V,20,120.639642757687,8.63049537647266e-13
E3_SITE_03,3.27871926215173,5,2,V,10,120.461715774316,8.9914228573688e-13
E3_SITE_03,3.27871926215173,5,2,V,1,119.744861356916,1.06050779321746e-12
E3_SITE_03,3.27871926215173,5,2,V,0.1,119.018044920633,1.25370543308898e-12
E3_SITE_03,3.27871926215173,5,2,V,0.01,118.291227440164,1.48209914242567e-12
E3_SITE_03,3.27871926215173,5,2,V,0.005,118.072432894623,1.55867909445957e-12
E3_SITE_03,3.27871926215173,50,1,H,50,120.979700399108,7.98049739352807e-13
E3_SITE_03,3.27871926215173,50,1,H,20,120.639642757687,8.63049537647266e-13
E3_SITE_03,3.27871926215173,50,1,H,10,120.461715774316,8.9914228573688e-13
E3_SITE_03,3.27871926215173,50,1,H,1,119.744861356916,1.06050779321746e-12
E3_SITE_03,3.27871926215173,50,1,H,0.1,119.018044920633,1.25370543308898e-12
E3_SITE_03,3.27871926215173,50,1,H,0.01,118.291227440164,1.48209914242567e-12
E3_SITE_03,3.27871926215173,50,1,H,0.005,118.072432894623,1.55867909445957e-12
E3_SITE_03,3.27871926215173,50,2,V,50,120.979700399108,7.98049739352807e-13
E3_SITE_03,3.27871926215173,50,2,V,20,120.639642757687,8.63049537647266e-13
E3_SITE_03,3.27871926215173,50,2,V,10,120.461715774316,8.9914228573688e-13
E3_SITE_03,3.27871926215173,50,2,V,1,119.744861356916,1.06050779321746e-12
E3_SITE_03,3.27871926215173,50,2,V,0.1,119.018044920633,1.25370543308898e-12
E3_SITE_03,3.27871926215173,50,2,V,0.01,118.291227440164,1.48209914242567e-12
E3_SITE_03,3.27871926215173,50,2,V,0.005,118.072432894623,1.55867909445957e-12
E3_SITE_03,3.27871926215173,200,1,H,50,120.979700399108,7.98049739352807e-13
E3_SITE_03,3.27871926215173,200,1,H,20,120.639642757687,8.63049537647266e-13
E3_SITE_03,3.27871926215173,200,1,H,10,120.461715774316,8.9914228573688e-13
E3_SITE_03,3.27871926215173,200,1,H,1,119.744861356916,1.06050779321746e-12
E3_SITE_03,3.27871926215173,200,1,H,0.1,119.018044920633,1.25370543308898e-12
E3_SITE_03,3.27871926215173,200,1,H,0.01,118.291227440164,1.48209914242567e-12
E3_SITE_03,3.27871926215173,200,1,H,0.005,118.072432894623,1.55867909445957e-12
E3_SITE_03,3.27871926215173,200,2,V,50,120.979700399108,7.98049739352807e-13
E3_SITE_03,3.27871926215173,200,2,V,20,120.639642757687,8.63049537647266e-13
E3_SITE_03,3.27871926215173,200,2,V,10,120.461715774316,8.9914228573688e-13
E3_SITE_03,3.27871926215173,200,2,V,1,119.744861356916,1.06050779321746e-12
E3_SITE_03,3.27871926215173,200,2,V,0.1,119.018044920633,1.25370543308898e-12
E3_SITE_03,3.27871926215173,200,2,V,0.01,118.291227440164,1.48209914242567e-12
E3_SITE_03,3.27871926215173,200,2,V,0.005,118.072432894623,1.55867909445957e-12
E3_SITE_04,3.27871926215173,5,1,H,50,120.986760183645,7.96753503128272e-13
E3_SITE_04,3.27871926215173,5,1,H,20,120.646702542222,8.61647725180067e-13
E3_SITE_04,3.27871926215173,5,1,H,10,120.468775558849,8.97681849446193e-13
E3_SITE_04,3.27871926215173,5,1,H,1,119.751921141385,1.05878525822108e-12
E3_SITE_04,3.27871926215173,5,1,H,0.1,119.025104704534,1.25166909604007e-12
E3_SITE_04,3.27871926215173,5,1,H,0.01,118.298287220162,1.47969183713145e-12
E3_SITE_04,3.27871926215173,5,1,H,0.005,118.079492671266,1.55614740508278e-12
E3_SITE_04,3.27871926215173,5,2,V,50,120.986760183645,7.96753503128272e-13
E3_SITE_04,3.27871926215173,5,2,V,20,120.646702542222,8.61647725180067e-13
E3_SITE_04,3.27871926215173,5,2,V,10,120.468775558849,8.97681849446193e-13
E3_SITE_04,3.27871926215173,5,2,V,1,119.751921141385,1.05878525822108e-12
E3_SITE_04,3.27871926215173,5,2,V,0.1,119.025104704534,1.25166909604007e-12
E3_SITE_04,3.27871926215173,5,2,V,0.01,118.298287220162,1.47969183713145e-12
E3_SITE_04,3.27871926215173,5,2,V,0.005,118.079492671266,1.55614740508278e-12
E3_SITE_04,3.27871926215173,50,1,H,50,120.986760183645,7.96753503128272e-13
E3_SITE_04,3.27871926215173,50,1,H,20,120.646702542222,8.61647725180067e-13
E3_SITE_04,3.27871926215173,50,1,H,10,120.468775558849,8.97681849446193e-13
E3_SITE_04,3.27871926215173,50,1,H,1,119.751921141385,1.05878525822108e-12
E3_SITE_04,3.27871926215173,50,1,H,0.1,119.025104704534,1.25166909604007e-12
E3_SITE_04,3.27871926215173,50,1,H,0.01,118.298287220162,1.47969183713145e-12
E3_SITE_04,3.27871926215173,50,1,H,0.005,118.079492671266,1.55614740508278e-12
E3_SITE_04,3.27871926215173,50,2,V,50,120.986760183645,7.96753503128272e-13
E3_SITE_04,3.27871926215173,50,2,V,20,120.646702542222,8.61647725180067e-13
E3_SITE_04,3.27871926215173,50,2,V,10,120.468775558849,8.97681849446193e-13
E3_SITE_04,3.27871926215173,50,2,V,1,119.751921141385,1.05878525822108e-12
E3_SITE_04,3.27871926215173,50,2,V,0.1,119.025104704534,1.25166909604007e-12
E3_SITE_04,3.27871926215173,50,2,V,0.01,118.298287220162,1.47969183713145e-12
E3_SITE_04,3.27871926215173,50,2,V,0.005,118.079492671266,1.55614740508278e-12
E3_SITE_04,3.27871926215173,200,1,H,50,120.986760183645,7.96753503128272e-13
E3_SITE_04,3.27871926215173,200,1,H,20,120.646702542222,8.61647725180067e-13
E3_SITE_04,3.27871926215173,200,1,H,10,120.468775558849,8.97681849446193e-13
E3_SITE_04,3.27871926215173,200,1,H,1,119.751921141385,1.05878525822108e-12
E3_SITE_04,3.27871926215173,200,1,H,0.1,119.025104704534,1.25166909604007e-12
E3_SITE_04,3.27871926215173,200,1,H,0.01,118.298287220162,1.47969183713145e-12
E3_SITE_04,3.27871926215173,200,1,H,0.005,118.079492671266,1.55614740508278e-12
E3_SITE_04,3.27871926215173,200,2,V,50,120.986760183645,7.96753503128272e-13
E3_SITE_04,3.27871926215173,200,2,V,20,120.646702542222,8.61647725180067e-13
E3_SITE_04,3.27871926215173,200,2,V,10,120.468775558849,8.97681849446193e-13
E3_SITE_04,3.27871926215173,200,2,V,1,119.751921141385,1.05878525822108e-12
E3_SITE_04,3.27871926215173,200,2,V,0.1,119.025104704534,1.25166909604007e-12
E3_SITE_04,3.27871926215173,200,2,V,0.01,118.298287220162,1.47969183713145e-12
E3_SITE_04,3.27871926215173,200,2,V,0.005,118.079492671266,1.55614740508278e-12
E3_SITE_05,2.78388218141553,5,1,H,50,119.553041472872,1.1083983043361e-12
E3_SITE_05,2.78388218141553,5,1,H,20,119.25805963397,1.18629865116125e-12
E3_SITE_05,2.78388218141553,5,1,H,10,119.103717480197,1.22921613415078e-12
E3_SITE_05,2.78388218141553,5,1,H,1,118.479644933581,1.41917354440903e-12
E3_SITE_05,2.78388218141553,5,1,H,0.1,117.847852226218,1.64140131635336e-12
E3_SITE_05,2.78388218141553,5,1,H,0.01,117.216058273836,1.89842818329264e-12
E3_SITE_05,2.78388218141553,5,1,H,0.005,117.025868505497,1.98341297269771e-12
E3_SITE_05,2.78388218141553,5,2,V,50,119.553041472872,1.1083983043361e-12
E3_SITE_05,2.78388218141553,5,2,V,20,119.25805963397,1.18629865116125e-12
E3_SITE_05,2.78388218141553,5,2,V,10,119.103717480197,1.22921613415078e-12
E3_SITE_05,2.78388218141553,5,2,V,1,118.479644933581,1.41917354440903e-12
E3_SITE_05,2.78388218141553,5,2,V,0.1,117.847852226218,1.64140131635336e-12
E3_SITE_05,2.78388218141553,5,2,V,0.01,117.216058273836,1.89842818329264e-12
E3_SITE_05,2.78388218141553,5,2,V,0.005,117.025868505497,1.98341297269771e-12
E3_SITE_05,2.78388218141553,50,1,H,50,119.553041472872,1.1083983043361e-12
E3_SITE_05,2.78388218141553,50,1,H,20,119.25805963397,1.18629865116125e-12
E3_SITE_05,2.78388218141553,50,1,H,10,119.103717480197,1.22921613415078e-12
E3_SITE_05,2.78388218141553,50,1,H,1,118.479644933581,1.41917354440903e-12
E3_SITE_05,2.78388218141553,50,1,H,0.1,117.847852226218,1.64140131635336e-12
E3_SITE_05,2.78388218141553,50,1,H,0.01,117.216058273836,1.89842818329264e-12
E3_SITE_05,2.78388218141553,50,1,H,0.005,117.025868505497,1.98341297269771e-12
E3_SITE_05,2.78388218141553,50,2,V,50,119.553041472872,1.1083983043361e-12
E3_SITE_05,2.78388218141553,50,2,V,20,119.25805963397,1.18629865116125e-12
E3_SITE_05,2.78388218141553,50,2,V,10,119.103717480197,1.22921613415078e-12
E3_SITE_05,2.78388218141553,50,2,V,1,118.479644933581,1.41917354440903e-12
E3_SITE_05,2.78388218141553,50,2,V,0.1,117.847852226218,1.64140131635336e-12
E3_SITE_05,2.78388218141553,50,2,V,0.01,117.216058273836,1.89842818329264e-12
E3_SITE_05,2.78388218141553,50,2,V,0.005,117.025868505497,1.98341297269771e-12
E3_SITE_05,2.78388218141553,200,1,H,50,119.553041472872,1.1083983043361e-12
E3_SITE_05,2.78388218141553,200,1,H,20,119.25805963397,1.18629865116125e-12
E3_SITE_05,2.78388218141553,200,1,H,10,119.103717480197,1.22921613415078e-12
E3_SITE_05,2.78388218141553,200,1,H,1,118.479644933581,1.41917354440903e-12
E3_SITE_05,2.78388218141553,200,1,H,0.1,117.847852226218,1.64140131635336e-12
E3_SITE_05,2.78388218141553,200,1,H,0.01,117.216058273836,1.89842818329264e-12
E3_SITE_05,2.78388218141553,200,1,H,0.005,117.025868505497,1.98341297269771e-12
E3_SITE_05,2.78388218141553,200,2,V,50,119.553041472872,1.1083983043361e-12
E3_SITE_05,2.78388218141553,200,2,V,20,119.25805963397,1.18629865116125e-12
E3_SITE_05,2.78388218141553,200,2,V,10,119.103717480197,1.22921613415078e-12
E3_SITE_05,2.78388218141553,200,2,V,1,118.479644933581,1.41917354440903e-12
E3_SITE_05,2.78388218141553,200,2,V,0.1,117.847852226218,1.64140131635336e-12
E3_SITE_05,2.78388218141553,200,2,V,0.01,117.216058273836,1.89842818329264e-12
E3_SITE_05,2.78388218141553,200,2,V,0.005,117.025868505497,1.98341297269771e-12
E3_SITE_06,2.78388218141517,5,1,H,50,148.129891813519,1.5381929575317e-15
E3_SITE_06,2.78388218141517,5,1,H,20,147.83223734013,1.64731353197561e-15
E3_SITE_06,2.78388218141517,5,1,H,10,147.617837594791,1.73067787034463e-15
E3_SITE_06,2.78388218141517,5,1,H,1,146.721561998653,2.12737376971358e-15
E3_SITE_06,2.78388218141517,5,1,H,0.1,145.955863573052,2.53754435767566e-15
E3_SITE_06,2.78388218141517,5,1,H,0.01,145.243630754634,2.98976411239727e-15
E3_SITE_06,2.78388218141517,5,1,H,0.005,145.014125957979,3.15200867581242e-15
E3_SITE_06,2.78388218141517,5,2,V,50,148.129891813519,1.5381929575317e-15
E3_SITE_06,2.78388218141517,5,2,V,20,147.83223734013,1.64731353197561e-15
E3_SITE_06,2.78388218141517,5,2,V,10,147.617837594791,1.73067787034463e-15
E3_SITE_06,2.78388218141517,5,2,V,1,146.721561998653,2.12737376971358e-15
E3_SITE_06,2.78388218141517,5,2,V,0.1,145.955863573052,2.53754435767566e-15
E3_SITE_06,2.78388218141517,5,2,V,0.01,145.243630754634,2.98976411239727e-15
E3_SITE_06,2.78388218141517,5,2,V,0.005,145.014125957979,3.15200867581242e-15
E3_SITE_06,2.78388218141517,50,1,H,50,148.129891813519,1.5381929575317e-15
E3_SITE_06,2.78388218141517,50,1,H,20,147.83223734013,1.64731353197561e-15
E3_SITE_06,2.78388218141517,50,1,H,10,147.617837594791,1.73067787034463e-15
E3_SITE_06,2.78388218141517,50,1,H,1,146.721561998653,2.12737376971358e-15
E3_SITE_06,2.78388218141517,50,1,H,0.1,145.955863573052,2.53754435767566e-15
E3_SITE_06,2.78388218141517,50,1,H,0.01,145.243630754634,2.98976411239727e-15
E3_SITE_06,2.78388218141517,50,1,H,0.005,145.014125957979,3.15200867581242e-15
E3_SITE_06,2.78388218141517,50,2,V,50,148.129891813519,1.5381929575317e-15
E3_SITE_06,2.78388218141517,50,2,V,20,147.83223734013,1.64731353197561e-15
E3_SITE_06,2.78388218141517,50,2,V,10,147.617837594791,1.73067787034463e-15
E3_SITE_06,2.78388218141517,50,2,V,1,146.721561998653,2.12737376971358e-15
E3_SITE_06,2.78388218141517,50,2,V,0.1,145.955863573052,2.53754435767566e-15
E3_SITE_06,2.78388218141517,50,2,V,0.01,145.243630754634,2.98976411239727e-15
E3_SITE_06,2.78388218141517,50,2,V,0.005,145.014125957979,3.15200867581242e-15
E3_SITE_06,2.78388218141517,200,1,H,50,148.129891813519,1.5381929575317e-15
E3_SITE_06,2.78388218141517,200,1,H,20,147.83223734013,1.64731353197561e-15
E3_SITE_06,2.78388218141517,200,1,H,10,147.617837594791,1.73067787034463e-15
E3_SITE_06,2.78388218141517,200,1,H,1,146.721561998653,2.12737376971358e-15
E3_SITE_06,2.78388218141517,200,1,H,0.1,145.955863573052,2.53754435767566e-15
E3_SITE_06,2.78388218141517,200,1,H,0.01,145.243630754634,2.98976411239727e-15
E3_SITE_06,2.78388218141517,200,1,H,0.005,145.014125957979,3.15200867581242e-15
E3_SITE_06,2.78388218141517,200,2,V,50,148.129891813519,1.5381929575317e-15
E3_SITE_06,2.78388218141517,200,2,V,20,147.83223734013,1.64731353197561e-15
E3_SITE_06,2.78388218141517,200,2,V,10,147.617837594791,1.73067787034463e-15
E3_SITE_06,2.78388218141517,200,2,V,1,146.721561998653,2.12737376971358e-15
E3_SITE_06,2.78388218141517,200,2,V,0.1,145.955863573052,2.53754435767566e-15
E3_SITE_06,2.78388218141517,200,2,V,0.01,145.243630754634,2.98976411239727e-15
E3_SITE_06,2.78388218141517,200,2,V,0.005,145.014125957979,3.15200867581242e-15
E3_SITE_07,2.49999999999998,5,1,H,50,118.624160440472,1.37272630494064e-12
E3_SITE_07,2.49999999999998,5,1,H,20,118.355962032326,1.46017126212802e-12
E3_SITE_07,2.49999999999998,5,1,H,10,118.215633664553,1.50812254936965e-12
E3_SITE_07,2.49999999999998,5,1,H,1,117.647052247301,1.71907480493554e-12
E3_SITE_07,2.49999999999998,5,1,H,0.1,117.071934066102,1.96248611809986e-12
E3_SITE_07,2.49999999999998,5,1,H,0.01,116.496814497332,2.24036381848204e-12
E3_SITE_07,2.49999999999998,5,1,H,0.005,116.323685306522,2.33147879223506e-12
E3_SITE_07,2.49999999999998,5,2,V,50,118.624160440472,1.37272630494064e-12
E3_SITE_07,2.49999999999998,5,2,V,20,118.355962032326,1.46017126212802e-12
E3_SITE_07,2.49999999999998,5,2,V,10,118.215633664553,1.50812254936965e-12
E3_SITE_07,2.49999999999998,5,2,V,1,117.647052247301,1.71907480493554e-12
E3_SITE_07,2.49999999999998,5,2,V,0.1,117.071934066102,1.96248611809986e-12
E3_SITE_07,2.49999999999998,5,2,V,0.01,116.496814497332,2.24036381848204e-12
E3_SITE_07,2.49999999999998,5,2,V,0.005,116.323685306522,2.33147879223506e-12
E3_SITE_07,2.49999999999998,50,1,H,50,118.624160440472,1.37272630494064e-12
E3_SITE_07,2.49999999999998,50,1,H,20,118.355962032326,1.46017126212802e-12
E3_SITE_07,2.49999999999998,50,1,H,10,118.215633664553,1.50812254936965e-12
E3_SITE_07,2.49999999999998,50,1,H,1,117.647052247301,1.71907480493554e-12
E3_SITE_07,2.49999999999998,50,1,H,0.1,117.071934066102,1.96248611809986e-12
E3_SITE_07,2.49999999999998,50,1,H,0.01,116.496814497332,2.24036381848204e-12
E3_SITE_07,2.49999999999998,50,1,H,0.005,116.323685306522,2.33147879223506e-12
E3_SITE_07,2.49999999999998,50,2,V,50,118.624160440472,1.37272630494064e-12
E3_SITE_07,2.49999999999998,50,2,V,20,118.355962032326,1.46017126212802e-12
E3_SITE_07,2.49999999999998,50,2,V,10,118.215633664553,1.50812254936965e-12
E3_SITE_07,2.49999999999998,50,2,V,1,117.647052247301,1.71907480493554e-12
E3_SITE_07,2.49999999999998,50,2,V,0.1,117.071934066102,1.96248611809986e-12
E3_SITE_07,2.49999999999998,50,2,V,0.01,116.496814497332,2.24036381848204e-12
E3_SITE_07,2.49999999999998,50,2,V,0.005,116.323685306522,2.33147879223506e-12
E3_SITE_07,2.49999999999998,200,1,H,50,118.624160440472,1.37272630494064e-12
E3_SITE_07,2.49999999999998,200,1,H,20,118.355962032326,1.46017126212802e-12
E3_SITE_07,2.49999999999998,200,1,H,10,118.215633664553,1.50812254936965e-12
E3_SITE_07,2.49999999999998,200,1,H,1,117.647052247301,1.71907480493554e-12
E3_SITE_07,2.49999999999998,200,1,H,0.1,117.071934066102,1.96248611809986e-12
E3_SITE_07,2.49999999999998,200,1,H,0.01,116.496814497332,2.24036381848204e-12
E3_SITE_07,2.49999999999998,200,1,H,0.005,116.323685306522,2.33147879223506e-12
E3_SITE_07,2.49999999999998,200,2,V,50,118.624160440472,1.37272630494064e-12
E3_SITE_07,2.49999999999998,200,2,V,20,118.355962032326,1.46017126212802e-12
E3_SITE_07,2.49999999999998,200,2,V,10,118.215633664553,1.50812254936965e-12
E3_SITE_07,2.49999999999998,200,2,V,1,117.647052247301,1.71907480493554e-12
E3_SITE_07,2.49999999999998,200,2,V,0.1,117.071934066102,1.96248611809986e-12
E3_SITE_07,2.49999999999998,200,2,V,0.01,116.496814497332,2.24036381848204e-12
E3_SITE_07,2.49999999999998,200,2,V,0.005,116.323685306522,2.33147879223506e-12
E3_SITE_08,3.9999999999989,5,1,H,50,161.205387749133,7.57637086084717e-17
E3_SITE_08,3.9999999999989,5,1,H,20,160.845147990486,8.23161786325808e-17
E3_SITE_08,3.9999999999989,5,1,H,10,160.577100027834,8.75568234865736e-17
E3_SITE_08,3.9999999999989,5,1,H,1,159.718239655707,1.06702853680263e-16
E3_SITE_08,3.9999999999989,5,1,H,0.1,158.860818234626,1.29992464202756e-16
E3_SITE_08,3.9999999999989,5,1,H,0.01,158.002015257879,1.58415792464335e-16
E3_SITE_08,3.9999999999989,5,1,H,0.005,157.742623029016,1.68165807526918e-16
E3_SITE_08,3.9999999999989,5,2,V,50,161.205387749133,7.57637086084717e-17
E3_SITE_08,3.9999999999989,5,2,V,20,160.845147990486,8.23161786325808e-17
E3_SITE_08,3.9999999999989,5,2,V,10,160.577100027834,8.75568234865736e-17
E3_SITE_08,3.9999999999989,5,2,V,1,159.718239655707,1.06702853680263e-16
E3_SITE_08,3.9999999999989,5,2,V,0.1,158.860818234626,1.29992464202756e-16
E3_SITE_08,3.9999999999989,5,2,V,0.01,158.002015257879,1.58415792464335e-16
E3_SITE_08,3.9999999999989,5,2,V,0.005,157.742623029016,1.68165807526918e-16
E3_SITE_08,3.9999999999989,50,1,H,50,161.205387749133,7.57637086084717e-17
E3_SITE_08,3.9999999999989,50,1,H,20,160.845147990486,8.23161786325808e-17
E3_SITE_08,3.9999999999989,50,1,H,10,160.577100027834,8.75568234865736e-17
E3_SITE_08,3.9999999999989,50,1,H,1,159.718239655707,1.06702853680263e-16
E3_SITE_08,3.9999999999989,50,1,H,0.1,158.860818234626,1.29992464202756e-16
E3_SITE_08,3.9999999999989,50,1,H,0.01,158.002015257879,1.58415792464335e-16
E3_SITE_08,3.9999999999989,50,1,H,0.005,157.742623029016,1.68165807526918e-16
E3_SITE_08,3.9999999999989,50,2,V,50,161.205387749133,7.57637086084717e-17
