site_id,distance_km,profile_sample_count,loss_p50_db,loss_p20_db,loss_p0p005_db,free_space_reference_db,p50_minus_free_space_db,maximum_coast_span_db,maximum_hv_span_db
E3_SITE_01,2.9999999999992144,101,120.20947068326,119.894554790291,117.513977449339,120.21557726919052,-0.0061065859305244885,0.0,0.0
E3_SITE_02,3.49999999999976,118,121.54866990931,121.189096827102,118.477423751476,121.55451306180446,-0.005843152494463766,0.0,0.0
E3_SITE_03,3.2787192621517285,111,120.979700399108,120.639642757687,118.072432894623,120.98723681731771,-0.007536418209710405,0.0,0.0
E3_SITE_04,3.2787192621517285,111,120.986760183645,120.646702542222,118.079492671266,120.98723681731771,-0.0004766336727044518,0.0,0.0
E3_SITE_05,2.783882181415529,94,119.553041472872,119.25805963397,117.025868505497,119.56616919986426,-0.013127726992266275,0.0,0.0
E3_SITE_06,2.783882181415174,94,148.129891813519,147.83223734013,145.014125957979,119.56616919986315,28.563722613655855,0.0,0.0
E3_SITE_07,2.499999999999975,85,118.624160440472,118.355962032326,116.323685306522,118.6319523482402,-0.007791907768208262,0.0,0.0
E3_SITE_08,3.999999999998896,135,161.205387749133,160.845147990486,157.742623029016,122.71435200135639,38.49103574777661,0.0,0.0
E3_SITE_09,3.774917217635162,127,162.104202803347,161.76279988319,158.806466679556,122.21130081824434,39.892901985102654,0.0,0.0
E3_SITE_10,3.60555127546406,122,121.809563228571,121.44081599331,118.66136801163,121.81258569786807,-0.0030224692970790557,0.0,0.0
E3_SITE_11,3.774917217634808,127,122.211439251188,121.828154452726,118.941457477684,122.21130081824353,0.00013843294446758136,0.0,0.0
E3_SITE_12,3.122498999199693,106,120.555248982578,120.229204298942,117.765952113815,120.56319833178628,-0.007949349208288936,0.0,0.0
E3_SITE_13,3.6055512754640593,122,121.813932112805,121.445184877542,118.665736891189,121.81258569786807,0.0013464149369326606,0.0,0.0
E3_SITE_14,2.645751311064232,90,119.112915913129,118.830879479244,116.695245418589,119.12413257494093,-0.01121666181192893,0.0,0.0
E3_SITE_15,3.1224989992000487,106,120.562134710459,120.236090026821,117.772837833258,120.56319833178728,-0.0010636213282708695,0.0,0.0
E3_SITE_16,2.291287847476537,78,117.856284606679,117.608220398658,115.726632659068,117.87474520885387,-0.018460602174869223,0.0,0.0
E3_SITE_17,2.645751311064232,90,162.183591456292,161.940123993172,159.801301127382,119.12413257494093,43.05945888135106,0.0,0.0
E3_SITE_18,2.291287847477598,78,117.863252559341,117.615188351318,115.73360060041,117.87474520885789,-0.01149264951688167,0.0,0.0
E3_SITE_19,1.99999999999875,68,116.68059257543,116.461273131842,114.795388439828,116.69375208807374,-0.013159512643738935,0.0,0.0
