site_id,distance_km,profile_sample_count,htg_m,hrg_m,tx_longitude_deg,tx_latitude_deg,rx_longitude_deg,rx_latitude_deg,station_id
E3_SITE_01,2.9999999999992144,101,25.0,20.0,-75.80877,45.558267734907965,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_02,3.4999999999997597,118,25.0,20.0,-75.80877,45.55376901160484,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_03,3.2787192621517285,111,25.0,20.0,-75.80322428036298,45.556018239044185,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_04,3.2787192621517285,111,25.00000000000001,20.0,-75.81431571963701,45.556018239044185,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_05,2.783882181415529,94,25.0,20.0,-75.80322383773411,45.56051696055398,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_06,2.783882181415174,94,25.0,20.0,-75.8143161622659,45.56051696055398,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_07,2.499999999999975,85,25.0,20.0,-75.80877,45.56276645465263,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_08,3.999999999998896,135,25.00000000000001,20.0,-75.80877,45.54927028474327,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_09,3.774917217635162,127,25.0,20.0,-75.80322472289852,45.55151951397594,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_10,3.60555127546406,122,25.0,20.0,-75.79767900333783,45.55376847300496,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_11,3.774917217634808,127,25.0,20.0,-75.81431527710149,45.55151951397594,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_12,3.122498999199693,106,25.0,20.0,-75.79767811817344,45.558267196251705,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_13,3.6055512754640593,122,25.0,20.0,-75.81986099666217,45.55376847300496,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_14,2.645751311064232,90,25.0,20.0,-75.79767723282235,45.56276591594,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_15,3.1224989992000487,106,25.0,20.0,-75.81986188182655,45.5582671962517,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_16,2.291287847476537,78,24.99999999999997,20.0,-75.80322339501187,45.56501567850536,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_17,2.645751311064232,90,25.0,20.0,-75.81986276717765,45.56276591594,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_18,2.291287847477598,78,25.0,20.0,-75.81431660498814,45.56501567850536,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
E3_SITE_19,1.99999999999875,68,25.0,20.0,-75.80877,45.5672651708389,-75.80877,45.58526,NRCAN_GATINEAU_REFERENCE
