time_index,incumbent_id,sector_id,tone_group,frequency_ghz,spectral_overlap_fraction,path_gain_linear,receiver_gain_linear,element_gain_accounted,clutter_treatment,implementation_version,provenance_note
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p50_coast5_H,8.15,1,9.52912297595533e-13,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p20_coast5_H,8.15,1,1.02457680770106e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p10_coast5_H,8.15,1,1.06419628321653e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p1_coast5_H,8.15,1,1.2403432047314e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p0.1_coast5_H,8.15,1,1.44853553420535e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p0.01_coast5_H,8.15,1,1.69167351704852e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p0.005_coast5_H,8.15,1,1.77256534827356e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p50_coast5_V,8.15,1,9.52912297595533e-13,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p20_coast5_V,8.15,1,1.02457680770106e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p10_coast5_V,8.15,1,1.06419628321653e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p1_coast5_V,8.15,1,1.2403432047314e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p0.1_coast5_V,8.15,1,1.44853553420535e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p0.01_coast5_V,8.15,1,1.69167351704852e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p0.005_coast5_V,8.15,1,1.77256534827356e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p50_coast50_H,8.15,1,9.52912297595533e-13,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p20_coast50_H,8.15,1,1.02457680770106e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p10_coast50_H,8.15,1,1.06419628321653e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p1_coast50_H,8.15,1,1.2403432047314e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
0,NRCAN_GATINEAU_REFERENCE,SITE_PROP_E3_SITE_01,P452_p0.1_coast50_H,8.15,1,1.44853553420535e-12,1,0,none_documented,ITU-R P.452-18 reference v18.0 commit 86f8026ce39635fa2b599e50d6d01fe5b0d6bbfe; MATLAB 2026a,ALL_SITE_BASIC_LOSS_AUDIT_NOT_PAPER_RESULT; Gt=Gr=0dBi; g=h; no separate P2108; site-level propagation only; no direct antenna gain included
