link_id,distance_km_wgs84,segment_count,total_sample_count,interior_sample_count,actual_spacing_m,selected_mean_convention,mean_terrain_elevation_m_asl,mean_terrain_inclusive_m_asl,mean_terrain_interior_m_asl,inclusive_minus_interior_m,min_profile_terrain_m_asl,max_profile_terrain_m_asl,std_profile_terrain_m,tx_dem_ground_m_asl,rx_dem_ground_m_asl,tx_antenna_alt_m_asl,rx_antenna_alt_m_asl,tx_implied_antenna_height_agl_m,rx_implied_antenna_height_agl_m,qc_flag_count,qc_flags
E3_SITE_01,2.9999999999992144,100,101,99,29.99999999999214,inclusive,172.2222772730459,172.2222772730459,171.6661000107274,0.5561772623184993,123.19112396240234,270.8760070800781,34.38210314742135,128.63009643554688,270.8760070800781,153.63009643554688,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_02,3.4999999999997593,117,118,116,29.914529914527858,inclusive,168.5787189289675,168.5787189289675,167.72295984728584,0.8557590816816685,123.42076110839844,270.8760070800781,33.7910269026747,165.5494842529297,270.8760070800781,190.5494842529297,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_03,3.2787192621517285,110,111,109,29.806538746833894,inclusive,176.28129027770447,176.28129027770447,175.55308826691513,0.7282020107893459,146.7145233154297,270.8760070800781,29.417047977197864,161.0605926513672,270.8760070800781,186.0605926513672,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_04,3.2787192621517285,110,111,109,29.806538746833894,inclusive,165.73450552450643,165.73450552450643,165.39771732715292,0.3367881973535134,96.99227142333984,270.8760070800781,45.59503864563748,97.30291748046875,270.8760070800781,122.30291748046876,290.8760070800781,25.000000000000014,20.0,0,
E3_SITE_05,2.7838821814155286,93,94,92,29.93421700446805,inclusive,179.84406085724527,179.84406085724527,178.9027515908946,0.9413092663506575,149.2821502685547,270.8760070800781,30.18281823616567,175.41256713867188,270.8760070800781,200.41256713867188,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_06,2.783882181415174,93,94,92,29.93421700446424,inclusive,177.84988606229743,177.84988606229743,177.591798118923,0.2580879433744201,104.81266784667969,270.8760070800781,39.66798049215659,108.56785583496094,270.8760070800781,133.56785583496094,290.8760070800781,25.0,20.0,0,
E3_SITE_07,2.499999999999975,84,85,83,29.761904761904464,inclusive,178.0529697193819,178.0529697193819,177.53728347226797,0.5156862471139334,123.50308227539062,270.8760070800781,34.80128561414779,128.03189086914062,270.8760070800781,153.03189086914062,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_08,3.9999999999988964,134,135,133,29.85074626864848,inclusive,163.5419292308666,163.5419292308666,163.19289960359274,0.34902962727386466,102.62879180908203,270.8760070800781,34.765479523874305,102.62879180908203,270.8760070800781,127.62879180908205,290.8760070800781,25.000000000000014,20.0,0,
E3_SITE_09,3.7749172176351626,126,127,125,29.959660457421926,inclusive,169.61675238421583,169.61675238421583,169.2950765991211,0.32167578509472605,108.56697082519531,270.8760070800781,31.0982263214105,108.56697082519531,270.8760070800781,133.5669708251953,290.8760070800781,25.0,20.0,0,
E3_SITE_10,3.6055512754640597,121,122,120,29.79794442532281,inclusive,172.35822496257845,172.35822496257845,171.79350153605142,0.5647234265270242,141.08274841308594,270.8760070800781,29.066206511930368,141.6072540283203,270.8760070800781,166.6072540283203,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_11,3.7749172176348083,126,127,125,29.959660457419115,inclusive,160.51390688438116,160.51390688438116,159.94296130371094,0.5709455806702124,97.16216278076172,270.8760070800781,44.47924241518882,121.52000427246094,270.8760070800781,146.52000427246094,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_12,3.1224989991996934,105,106,104,29.73808570666375,inclusive,175.53421711471844,175.53421711471844,174.84914544912485,0.6850716655935969,147.44906616210938,270.8760070800781,29.14624692254688,151.43988037109375,270.8760070800781,176.43988037109375,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_13,3.6055512754640593,121,122,120,29.797944425322804,inclusive,167.6341302590292,167.6341302590292,167.36142578125,0.27270447777920026,96.9805679321289,270.8760070800781,44.65018436958622,97.11679077148438,270.8760070800781,122.11679077148438,290.8760070800781,25.0,20.0,0,
E3_SITE_14,2.645751311064232,89,90,88,29.727542820946425,inclusive,180.29034084743924,180.29034084743924,179.58616534146395,0.7041755059752859,150.7854766845703,270.8760070800781,30.5897250845956,151.672119140625,270.8760070800781,176.672119140625,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_15,3.1224989992000487,105,106,104,29.738085706667132,inclusive,175.15845237587982,175.15845237587982,174.9897216650156,0.16873071086422442,96.97103118896484,270.8760070800781,42.50299780775801,96.9888916015625,270.8760070800781,121.9888916015625,290.8760070800781,25.0,20.0,0,
E3_SITE_16,2.2912878474765375,77,78,76,29.756985032162824,inclusive,183.77684607872595,183.77684607872595,182.56999427393862,1.206851804787334,149.50205993652344,270.8760070800781,31.230149156533837,188.39842224121094,270.8760070800781,213.3984222412109,290.8760070800781,24.99999999999997,20.0,1,inclusive_interior_mean_difference_gt_0p5m
E3_SITE_17,2.645751311064232,89,90,88,29.727542820946425,inclusive,193.8689208984375,193.8689208984375,193.77301129427823,0.0959096041592602,125.3018798828125,270.8760070800781,31.9929571952051,125.3018798828125,270.8760070800781,150.3018798828125,290.8760070800781,25.0,20.0,0,
E3_SITE_18,2.291287847477598,77,78,76,29.756985032176598,inclusive,191.80833395933493,191.80833395933493,191.3732556794819,0.4350782798530304,145.80661010742188,270.8760070800781,30.492028357866634,145.80661010742188,270.8760070800781,170.80661010742188,290.8760070800781,25.0,20.0,0,
E3_SITE_19,1.99999999999875,67,68,66,29.850746268638062,inclusive,187.36956989063935,187.36956989063935,186.61312704375297,0.7564428468863866,152.40003967285156,270.8760070800781,32.48335956259812,153.78836059570312,270.8760070800781,178.78836059570312,290.8760070800781,25.0,20.0,1,inclusive_interior_mean_difference_gt_0p5m
