site_id,sector_id,station_to_site_bearing_deg,station_to_site_distance_m,station_to_site_elevation_deg,minimum_off_axis_deg_during_selected_track,median_off_axis_deg_during_selected_track,maximum_reference_gain_dbi_during_selected_track
E3_SITE_01,E3_SITE_01_SEC_1,180.0,2999.999999999214,-2.619377432579381,4.645814220971284,87.64723376909726,12.32345402407148
E3_SITE_01,E3_SITE_01_SEC_2,180.0,2999.999999999214,-2.619377432579381,4.645814220971284,87.64723376909726,12.32345402407148
E3_SITE_01,E3_SITE_01_SEC_3,180.0,2999.999999999214,-2.619377432579381,4.645814220971284,87.64723376909726,12.32345402407148
E3_SITE_02,E3_SITE_02_SEC_1,180.0,3500.000000000111,-1.6419179188682576,4.6725596608167,87.07148966440764,12.261128617384962
E3_SITE_02,E3_SITE_02_SEC_2,180.0,3500.000000000111,-1.6419179188682576,4.6725596608167,87.07148966440764,12.261128617384962
E3_SITE_02,E3_SITE_02_SEC_3,180.0,3500.000000000111,-1.6419179188682576,4.6725596608167,87.07148966440764,12.261128617384962
E3_SITE_03,E3_SITE_03_SEC_1,172.41091053102105,3278.7192621517283,-1.8310309067973165,12.22388003872196,93.3252330859433,1.8197730193911035
E3_SITE_03,E3_SITE_03_SEC_2,172.41091053102105,3278.7192621517283,-1.8310309067973165,12.22388003872196,93.3252330859433,1.8197730193911035
E3_SITE_03,E3_SITE_03_SEC_3,172.41091053102105,3278.7192621517283,-1.8310309067973165,12.22388003872196,93.3252330859433,1.8197730193911035
E3_SITE_04,E3_SITE_04_SEC_1,187.58908946897895,3278.7192621517283,-2.943231403563341,2.8280232586201284,81.74372034287472,17.71292557689224
