JobIDRaw|JobName|Account|State|ExitCode|Elapsed|MaxRSS|ReqMem|AllocTRES|NodeList
18154673|fr3-v44-r1-merge|def-rsadve_cpu|FAILED|42:0|00:00:02||4G|billing=4000,cpu=4,mem=4G,node=1|rc32413
18154694|fr3-v44-r1-sched|def-rsadve_cpu|FAILED|42:0|00:03:09||8G|billing=8000,cpu=8,mem=8G,node=1|rc32620
18154695|fr3-v44-r1-sched|def-rsadve_cpu|FAILED|42:0|00:02:06||8G|billing=8000,cpu=8,mem=8G,node=1|rc32210
18154696|fr3-v44-r1-sched|def-rsadve_cpu|FAILED|42:0|00:01:58||8G|billing=8000,cpu=8,mem=8G,node=1|rc32210
18154697|fr3-v44-r1-sched|def-rsadve_cpu|COMPLETED|0:0|00:02:00||8G|billing=8000,cpu=8,mem=8G,node=1|rc32210
18154744|fr3-v44-r1-sched|def-rsadve_cpu|FAILED|42:0|00:01:57||8G|billing=8000,cpu=8,mem=8G,node=1|rc32210
18154745|fr3-v44-r1-sched|def-rsadve_cpu|COMPLETED|0:0|00:01:59||8G|billing=8000,cpu=8,mem=8G,node=1|rc32210
18154746|fr3-v44-r1-sched|def-rsadve_cpu|FAILED|42:0|00:01:57||8G|billing=8000,cpu=8,mem=8G,node=1|rc32210
18154796|fr3-v44-r1-sched|def-rsadve_cpu|FAILED|42:0|00:02:02||8G|billing=8000,cpu=8,mem=8G,node=1|rc32401
18154797|fr3-v44-r1-sched|def-rsadve_cpu|COMPLETED|0:0|00:02:17||8G|billing=8000,cpu=8,mem=8G,node=1|rc32418
18154798|fr3-v44-r1-sched|def-rsadve_cpu|COMPLETED|0:0|00:01:54||8G|billing=8000,cpu=8,mem=8G,node=1|rc32210
18154672|fr3-v44-r1-sched|def-rsadve_cpu|FAILED|42:0|00:01:53||8G|billing=8000,cpu=8,mem=8G,node=1|rc32210
