campaign_seed,pass_slot,interval_index,classification,user_index,user_id,serving_sector,serving_stream,full_load_nominal_total_rate_bps_hz,current_load_nominal_total_rate_bps_hz,floor_bps_hz,floor_branch,current_load_nominal_meets_absolute_floor,current_load_serviceability_mismatch,optimistic_single_user_floor_feasible,optimistic_user_index,optimistic_serving_sector,optimistic_serving_stream,optimistic_maximum_target_stream_scale,optimistic_eess_limited_target_stream_scale,optimistic_protected_rate_bps_hz,optimistic_total_rate_bps_hz
44008,0,37,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,2925368.490815856,3.267966209683977,0.40383311370833797
44008,0,38,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,3204993.9337050444,3.267966209683977,0.40383311370833797
44008,0,39,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,2788671.5675256876,3.2684291901132436,0.4038794117512646
44008,0,100,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,10916040.938149605,3.2667073654812353,0.4037072292880638
44008,0,100,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,139,E3_SITE_12_SEC_2_UE_4,34,3,1.5899619191688938,4.175855935059626,3.758270341553663,RELATIVE_0P9_CURRENT_LOAD_NOMINAL,True,False,True,139,34,3,1.0,98433.24032007462,10.031278954841863,4.727629499042329
44008,0,101,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,5470980.359953268,3.267753356226826,0.40381182836262286
44008,0,101,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,139,E3_SITE_12_SEC_2_UE_4,34,3,1.5899619191688938,4.175855935059626,3.758270341553663,RELATIVE_0P9_CURRENT_LOAD_NOMINAL,True,False,True,139,34,3,1.0,49333.483412987254,10.032737073558774,4.72777531091402
44008,0,102,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,3561574.885076542,3.2686663042498414,0.4039031231649244
44008,0,102,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,139,E3_SITE_12_SEC_2_UE_4,34,3,1.5899619191688938,4.175855935059626,3.758270341553663,RELATIVE_0P9_CURRENT_LOAD_NOMINAL,True,False,True,139,34,3,1.0,67648.91803850984,10.031970000423915,4.727698603600534
44008,0,103,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,5010380.298828594,3.267966209683977,0.40383311370833797
