sector_id,site_id,p452_time_percentage,polarization_label,bs_gain_case,bs_gain_dbi,element_pattern_gain_dbi,coherent_array_upper_gain_dbi,horizontal_offset_deg,vertical_offset_deg,conducted_power_dbw_per_100mhz,bandwidth_adjustment_db,activity_factor,activity_adjustment_db,basic_transmission_loss_db,base_received_before_es_gain_dbw_per_10mhz
E3_SITE_01_SEC_1,E3_SITE_01,50.0,H,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,120.20947068326,-114.20947068326
E3_SITE_01_SEC_1,E3_SITE_01,20.0,H,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,119.894554790291,-113.894554790291
E3_SITE_01_SEC_1,E3_SITE_01,10.0,H,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,119.729782622139,-113.729782622139
E3_SITE_01_SEC_1,E3_SITE_01,1.0,H,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,119.064581283074,-113.064581283074
E3_SITE_01_SEC_1,E3_SITE_01,0.1,H,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,118.390708465976,-112.390708465976
E3_SITE_01_SEC_1,E3_SITE_01,0.01,H,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,117.716834494682,-111.716834494682
E3_SITE_01_SEC_1,E3_SITE_01,0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,117.513977449339,-111.513977449339
E3_SITE_01_SEC_1,E3_SITE_01,50.0,V,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,120.20947068326,-114.20947068326
E3_SITE_01_SEC_1,E3_SITE_01,20.0,V,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,119.894554790291,-113.894554790291
E3_SITE_01_SEC_1,E3_SITE_01,10.0,V,ZERO_DBI_PROPAGATION_REFERENCE,0.0,7.547696037531189,31.630095690649686,0.0,12.61937743257938,16.0,-10.0,1.0,0.0,119.729782622139,-113.729782622139
