sector_id,leading_time_count,fraction_of_587_samples
E3_SITE_18_SEC_1,522,0.889267461669506
E3_SITE_16_SEC_1,37,0.06303236797274275
E3_SITE_14_SEC_1,16,0.027257240204429302
E3_SITE_13_SEC_1,12,0.020442930153321975
