method_id,long_violation_seconds,short_violation_seconds,long_maximum_excess_db,short_maximum_excess_db,eligible_floor_violation_user_intervals,eligible_floor_violation_user_seconds,total_normalized_floor_shortfall,final_moving_pf_utility,duration_weighted_mean_moving_pf_utility,protected_active_eligible_p05_bps_hz,protected_active_eligible_geometric_mean_bps_hz,total_active_eligible_p05_bps_hz,total_active_eligible_geometric_mean_bps_hz,sector_mute_interval_count,intervals_with_any_sector_mute,maximum_muted_sector_count,runtime_seconds,extra
robust_predictive_constrained_pf_with_sector_selective_fallback,0,0,-0.0013857263763550703,-14.237966454924301,0,0,0.0,47.876667902427904,92.32285722163122,0.27142087787188623,2.1382929340079873,0.3179241163037193,2.3730180200242024,113,13,9,5.8372298849863,{'mode_command_feasible': True}
static_robust_constrained_pf_with_sector_selective_fallback,0,0,-0.0032182755790286363,-14.473927541759382,0,0,0.0,47.66760084847944,92.23641040997478,0.2510062886891893,2.1345260621855977,0.31792431677025523,2.37211323676025,0,0,0,0.3391065209871158,"{'static_mode_feasible': True, 'static_pre_fallback_ratio': 0.9970608124208942}"
delayed_myopic_constrained_pf_with_reactive_sector_fallback,0,0,-0.0005883977293357767,-14.194991211198838,0,0,0.0,47.85946165561349,92.30587752470761,0.26928857858479033,2.135864218636828,0.3179240541126377,2.372823487660171,109,13,9,0.29507931898115203,{}
delayed_myopic_constrained_pf_unshielded,65,0,4.265546642407504,-9.888695812727605,0,0,0.0,47.742107848733106,92.28932589780335,0.2749477425163646,2.1453889640872843,0.3179239874165716,2.3729289427467584,0,0,0,5.752121967962012,{'mode_interval_max_ratio': 2.6702668499719624}
virtual_queue_unshielded,158,0,7.19682450555843,-7.5450993663623,0,0,0.0,47.64831239801299,92.20650382577315,0.2405063771688312,2.120818846923516,0.31729277024247377,2.371704275578399,0,0,0,3.9958455229643732,"{'maximum_queue': 7.69059647954005, 'price_gain': 1.0}"
uniform_protected_tone_backoff,0,0,1.928654933106574e-15,-14.197942260259675,0,0,0.0,47.6556559898508,92.0072913156461,0.2755023333139258,2.1075309737976675,0.3179219327354622,2.3688117272880134,0,0,0,0.05758697399869561,{}
hard_spatial_null_or_exact_mute,0,0,-0.08783102255223307,-14.831304357652765,288,1440,6.508037608569026,47.48949654032286,91.54287648471136,0.05881164870020871,1.5626161994242496,0.3008744547426823,2.361151012721087,171,3,57,0.012166956963483244,{}
common_scale_instantaneous_noncausal_reference,0,0,1.157192959863943e-14,-14.63687768802172,0,0,0.0,47.51040411725334,92.09602867883024,0.18475823544608147,2.064811510280053,0.30088228609438467,2.370080842600183,0,0,0,0.17648351297248155,"{'time_resolution_seconds': 1, 'delay_intervals': 0, 'slew_constraint': False}"
