quantile,value
minimum,0.8696453277785554
p01,0.9189390827856572
p05,0.9478323319019022
p10,0.9700047403372838
p25,0.9925311959295914
median,0.9987660666067244
p75,1.0005316486286708
p90,1.0048223476169964
p95,1.0155524472415054
p99,1.0279522697696506
maximum,1.0783114354139023
