time_s,required_common_attenuation_db,common_total_band_network_retention,common_protected_band_network_retention,weak_mode_screen_total_band_retention,weak_mode_screen_protected_band_retention
114.0,46.84039127239053,0.9929676702239479,0.9301875202720783,0.9938863077507369,0.9393071670688822
115.0,46.75911719066703,0.992968017215476,0.9301909649824049,0.9938889070045009,0.939332970800573
116.0,46.67796885286278,0.9929683669246637,0.9301944366719241,0.993891069005947,0.9393544337704496
117.0,46.5969448524542,0.9929687193729951,0.9301979355539114,0.9938929485638229,0.9393730928209032
118.0,46.51604389144019,0.992969074581729,0.9302014618394149,0.9938946263890616,0.9393897491985473
119.0,46.4352647717546,0.9929694325719212,0.9302050157374585,0.9938961509404156,0.9394048839709312
120.0,46.35460638740695,0.9929697933644401,0.9302085974552148,0.9938975540384841,0.9394188130326491
121.0,46.274067717287636,0.9929701569799857,0.9302122071981731,0.9938996378840611,0.9394395001209593
122.0,46.19364781858674,0.9929705234391021,0.9302158451702891,0.9939023414020859,0.9394663389216557
123.0,46.1133458207411,0.9929708927621941,0.9302195115741261,0.9938878793969091,0.9393227693685524
124.0,46.033160919872074,0.9929712649695388,0.9302232066109827,0.9938885742361263,0.9393296672886304
125.0,45.95309237366749,0.9929716400812982,0.930226930481013,0.9938890742464039,0.9393346310713999
126.0,45.8731394966517,0.9929720181175303,0.9302306833833385,0.9938894502195813,0.9393383634930379
127.0,45.7933016558018,0.9929723990981982,0.930234465516148,0.9938897373390831,0.9393412138321179
128.0,45.71357826648939,0.992972783043183,0.9302382770768015,0.9938899560508607,0.9393433850629985
129.0,45.633968788690105,0.9929731699722906,0.9302421182619186,0.9938974544957921,0.9394178248363628
130.0,45.55447272346129,0.9929735599052607,0.9302459892674655,0.9939021119692075,0.9394640612585365
131.0,45.475089609617285,0.9929739528617765,0.9302498902888444,0.9939053096639592,0.9394958059302373
132.0,45.3958190206292,0.9929743488614724,0.9302538215209698,0.9939078729338185,0.9395212524366988
133.0,45.31666056168963,0.9929747479239411,0.9302577831583511,0.9939100572766805,0.9395429371978844
134.0,45.237613866938446,0.9929751500687432,0.9302617753951673,0.9939119823903764,0.9395620484974312
135.0,45.158678596838,0.992975555315413,0.9302657984253454,0.9939137158734419,0.939579257410442
136.0,45.079854435675244,0.9929759636834672,0.9302698524426372,0.9939386922301132,0.9398272067315506
137.0,45.001141089173586,0.9929763751924127,0.9302739376406884,0.9939167305560282,0.9396091852542219
138.0,44.92253828221719,0.9929767898617523,0.9302780542131187,0.9939173174679692,0.9396150117412151
139.0,44.84404575668872,0.9929772077109948,0.9302822023535965,0.993917771010277,0.9396195142196508
140.0,44.76566326934656,0.9929776287596621,0.9302863822559136,0.9939131399329955,0.939573539841441
141.0,44.68739058984711,0.9929780530272941,0.9302905941140621,0.9939152926854561,0.9395949109932921
142.0,44.609227498809005,0.9929784805334606,0.9302948381223106,0.9939172055255282,0.93961390044814
143.0,44.53117378593425,0.9929789112977665,0.9302991144752866,0.9939189377924327,0.939631097287878
144.0,44.453229248239026,0.9929793453398603,0.9303034233680499,0.9939775564397824,0.9402130257895397
145.0,44.375393688318766,0.9929797826794433,0.9303077649961796,0.9940029162384674,0.9404647816781284
146.0,44.297666912683,0.9929802233362768,0.9303121395558531,0.9940213314338874,0.9406475959797718
147.0,44.220048730153,0.9929806673301907,0.9303165472439311,0.9940360965861857,0.9407941749839335
148.0,44.14253895031454,0.9929811146810922,0.930320988258039,0.994048447948192,0.9409167914193309
149.0,44.06513738202264,0.992981565408975,0.9303254627966601,0.9940590148559387,0.9410216929322501
150.0,43.987843831984186,0.9929820195339273,0.9303299710592159,0.9940681721606742,0.9411126008065334
151.0,43.91065810334535,0.9929824770761406,0.9303345132461606,0.9940802903824844,0.9412329027749285
152.0,43.83357999440584,0.9929829380559204,0.9303390895590689,0.9940852697891895,0.9412823351452434
153.0,43.75660929730941,0.9929834024936932,0.9303437002007264,0.9940888008000459,0.9413173887664031
154.0,43.67974579685316,0.992983870410018,0.9303483453752258,0.9940916469657947,0.941345643682619
155.0,43.60298926929839,0.9929843418255944,0.9303530252880581,0.9940940716356726,0.9413697142569665
156.0,43.526339481269446,0.9929848167612718,0.9303577401462062,0.9940752351982228,0.9411827181334207
157.0,43.4497961886788,0.9929852952380602,0.930362490158245,0.994074469949278,0.9411751212305243
158.0,43.37335913573629,0.9929857772771398,0.9303672755344357,0.9940752250052033,0.9411826169436334
159.0,43.297028053960005,0.9929862628998702,0.9303720964868206,0.9940757900166746,0.9411882260167468
160.0,43.22080266130464,0.9929867521278,0.9303769532293259,0.9940761588204834,0.9411918872654714
161.0,43.14468266127407,0.9929872449826778,0.9303818459778568,0.9940714570078956,0.9411452106723047
162.0,43.06866774212848,0.9929877414864623,0.930386774950399,0.9940739802370149,0.9411702596798681
163.0,42.992757576133165,0.9929882416613305,0.9303917403671185,0.9940761910737559,0.9411922074553649
164.0,42.91695181884113,0.9929887455296896,0.930396742450458,0.9940763768259635,0.9411940514846783
165.0,42.84125010845956,0.9929892531141866,0.9304017814252401,0.9940760342610434,0.9411906507188867
166.0,42.765652065214816,0.9929897644377178,0.9304068575187695,0.9940677071616689,0.9411079845933206
167.0,42.690157290822306,0.9929902795234402,0.9304119709609273,0.9940706866611441,0.9411375631616391
168.0,42.614765367963514,0.9929907983947798,0.930417121984277,0.9940732199490885,0.9411627120267952
169.0,42.53947585983,0.9929913210754432,0.9304223108241605,0.9940798467386073,0.9412284985617939
170.0,42.46428830970143,0.9929918475894268,0.9304275377188015,0.9940889168437882,0.9413185407745802
171.0,42.38920224058645,0.992992377961028,0.9304328029094029,0.9940937040461749,0.9413660650631465
172.0,42.31421715489428,0.9929929122148531,0.9304381066402457,0.9940972985440881,0.9414017489432689
173.0,42.2393325341593,0.9929934503758291,0.9304434491587881,0.9940874573822067,0.9413040521718955
174.0,42.164547838795585,0.9929939924692129,0.9304488307157658,0.9940881763969609,0.9413111900912686
175.0,42.08986250791749,0.9929945385206015,0.9304542515652857,0.9940981937639156,0.9414106361140997
176.0,42.015275959179526,0.992995088555941,0.9304597119649273,0.9941046800963044,0.9414750282803978
177.0,41.94078758866675,0.9929956426015368,0.9304652121758333,0.9941089699654589,0.9415176153621918
178.0,41.86639677082016,0.9929962006840632,0.9304707524628097,0.9941123388362569,0.9415510593603801
179.0,41.79210285841446,0.9929967628305735,0.9304763330944203,0.9941151641982198,0.9415791077498938
180.0,41.7179051825419,0.9929973290685076,0.9304819543430747,0.9941201839864559,0.9416289410022631
181.0,41.64380305266345,0.9929978994257035,0.9304876164851286,0.9941262481522197,0.941689142167871
182.0,41.56979575668554,0.9929984739304044,0.9304933198009697,0.9941291965670238,0.9417184121474215
183.0,41.495882561055154,0.9929990526112709,0.930499064575111,0.9941313221412085,0.9417395134907027
184.0,41.42206271091206,0.9929996354973861,0.9305048510962786,0.9941330078024047,0.941756247658729
185.0,41.34833543024375,0.9930002226182678,0.9305106796575036,0.9941344068959772,0.9417701369663674
186.0,41.274699922106564,0.9930008140038756,0.9305165505562039,0.9942434584135117,0.9428527308007904
187.0,41.201155368833085,0.9930014096846194,0.9305224640942753,0.9943263545222829,0.9436756704377814
188.0,41.12770093229944,0.9930020096913694,0.930528420578173,0.9943786265996134,0.9441945942447134
189.0,41.054335754204686,0.9930026140554633,0.9305344203189984,0.9944147204207582,0.944552910654382
190.0,40.98105895637537,0.993003222808715,0.9305404636325768,0.9944387528261572,0.9447914890299932
191.0,40.907869641104554,0.9930038359834218,0.9305465508395443,0.9944529359025557,0.9449322895562877
192.0,40.83476689148832,0.9930044536123751,0.9305526822654228,0.9944615203880817,0.945017510847216
193.0,40.76174977181808,0.9930050757288651,0.9305588582407022,0.9944659618677452,0.9450616030213391
194.0,40.68881732795414,0.9930057023666907,0.9305650791009138,0.9944678470244335,0.9450803176532299
