quantile,value
minimum,0.0036147942801591846
p01,0.128900866612634
p05,0.566189998282471
p10,0.7491405228940508
p25,0.9148747945448327
median,0.98792371496769
p75,1.0052285162629868
p90,1.0537516092086907
p95,1.1735794451663282
p99,1.3724077256982687
maximum,1.9338476414642665
