time_s,aggregate_nominal_interference_w,aggregate_safe_interference_w,aggregate_allowance_w,budget_sum_w,local_violation_count,network_nominal_sum_se_bps_hz,network_safe_sum_se_bps_hz,rate_retention_fraction,minimum_pol_scale,median_pol_scale
114.0,3.4152630043599703e-09,4.510685102645492e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8827284212475,0.9914915178726954,0.0036342014101489128,0.0036342029374522343
115.0,3.3511182447844523e-09,4.5106851026454875e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8828879886557,0.9914918103755309,0.0036688182123854507,0.003668819754236772
116.0,3.2881510823732733e-09,4.510685102645332e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8830476827239,0.9914921031105468,0.0037037800439119043,0.0037037816004562253
117.0,3.226342520095695e-09,4.51068510264551e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8832106977952,0.9914924019332897,0.0037390892661465698,0.003739090837529884
118.0,3.1656738066686613e-09,4.5106851026453474e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.883374978627,0.9914927030762966,0.003774748211326708,0.00377474979769599
119.0,3.1061264292586095e-09,4.5106851026453916e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8835351664825,0.9914929967164734,0.003810759183831613,0.0038107607853348057
120.0,3.047682107134683e-09,4.510685102645431e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8836999544194,0.9914932987890542,0.0038471244614157116,0.0038471260782017135
121.0,2.990322786151451e-09,4.510685102645373e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8838651533024,0.9914936016149398,0.0038838462963663722,0.0038838479285850307
122.0,2.9340306339569365e-09,4.510685102645626e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8840381758073,0.9914939187822979,0.003920926916597831,0.0039209285643999284
123.0,2.8787880358116108e-09,4.5106851026453594e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8842202468561,0.9914942525365316,0.003958368526706797,0.003958370190244042
124.0,2.824577590950311e-09,4.5106851026454194e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8843882358418,0.9914945604769514,0.0039961733089927,0.003996174988417717
125.0,2.7713821094064227e-09,4.5106851026455797e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8845629604318,0.9914948807643997,0.0040343434244588415,0.004034345119925168
126.0,2.7191846092379104e-09,4.510685102645509e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8847425208212,0.9914952099163464,0.004072881013802592,0.0040728827254646605
127.0,2.6679683140923524e-09,4.5106851026453436e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.884922253319,0.991495539383785,0.004111788198409339,0.004111789926422475
128.0,2.61771665107742e-09,4.5106851026454635e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8851040362166,0.991495872609809,0.004151067081347621,0.004151068825868033
129.0,2.5684132488777054e-09,4.510685102645378e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8852799894539,0.9914961951494894,0.004190719748385223,0.004190721509569998
130.0,2.5200419361021974e-09,4.5106851026455096e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8854615346779,0.9914965279398342,0.004230748269016324,0.004230750047023417
131.0,2.472586739805692e-09,4.510685102645454e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8856466483576,0.9914968672715111,0.004271154697524504,0.004271156492512734
132.0,2.4260318841851863e-09,4.5106851026455645e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8858339518561,0.9914972106173423,0.004311941074062657,0.0043119428861917
133.0,2.3803617894056188e-09,4.510685102645364e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8860259689642,0.9914975626036862,0.004353109425770394,0.004353111255200779
134.0,2.335561070544456e-09,4.51068510264548e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8862100235438,0.9914978999939278,0.004394661767922801,0.004394663614815903
135.0,2.2916145366388067e-09,4.5106851026453506e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8863999391226,0.9914982481279607,0.004436600105109785,0.0044366019696278226
