time_s,aggregate_nominal_interference_w,aggregate_nominal_interference_dbw,aggregate_safe_interference_w,aggregate_safe_interference_dbw,aggregate_allowance_w,aggregate_allowance_dbw,short_threshold_w,short_threshold_dbw,budget_sum_w,nominal_network_sum_rate_proxy_bps_hz,safe_network_sum_rate_proxy_bps_hz,rate_retention_fraction,minimum_projection_scale,median_projection_scale,maximum_projection_scale,local_budget_violation_count
114.0,6.062807222718185e-10,-92.17326240678238,4.5106851026455134e-14,-133.4575749056067,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9901530419492,0.997729005553827,0.008625501897743354,0.008625501897743356,0.008625501897743356,0
115.0,5.950177976903939e-10,-92.25470043812409,4.51068510264531e-14,-133.4575749056069,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9903023925275,0.9977292008530763,0.008706754050481097,0.008706754050481097,0.008706754050514458,0
116.0,5.840068280490678e-10,-92.335820752049,4.5106851026453846e-14,-133.4575749056068,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9904525579129,0.9977293972178132,0.008788450122977682,0.008788450122977682,0.008788450122977683,0
117.0,5.732400674284724e-10,-92.4166346158429,4.5106851026455096e-14,-133.4575749056067,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9906035558561,0.9977295946712496,0.00887059978283131,0.008870599782865278,0.008870599782865278,0
118.0,5.627100919191041e-10,-92.49715295925667,4.5106851026454004e-14,-133.4575749056068,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9907554041338,0.9977297932366315,0.008953212712462615,0.008953212712462617,0.008953212712462617,0
119.0,5.524097838038876e-10,-92.5773863817738,4.510685102645437e-14,-133.45757490560678,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9909081205442,0.9977299929372326,0.00903629860577218,0.009036298605772182,0.009036298605772182,0
120.0,5.423323166225789e-10,-92.65734515954195,4.5106851026454137e-14,-133.4575749056068,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9910617229003,0.9977301937963465,0.009119867165349469,0.00911986716538436,0.009119867165384361,0
121.0,5.324711410595122e-10,-92.73703925200476,4.510685102645494e-14,-133.4575749056067,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9912162290243,0.9977303958372783,0.009203928099271301,0.009203928099306504,0.009203928099306504,0
122.0,5.228199716032239e-10,-92.81647830824836,4.510685102645466e-14,-133.45757490560675,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9913716567419,0.9977305990833378,0.009288491117712553,0.009288491117712554,0.009288491117712556,0
123.0,5.133727739237451e-10,-92.89567167312832,4.510685102645465e-14,-133.45757490560675,4.5106851026454433e-14,-133.45757490560675,5.0118723362727144e-14,-133.0,4.5106851026454433e-14,764.7268434562777,762.9915280238757,0.9977308035578312,0.009373565929666797,0.009373565929666797,0.009373565929702631,0
