case,p452_time_percentage,threshold_dbw_per_10mhz,pattern,controller,command_feasible_all_intervals,violation_seconds,maximum_threshold_excess_db,minimum_safety_margin_db,fail_safe_command_count,certificate_status,runtime_seconds,queue_maximum,exact_hard_null,eligible_floor_violation_interval_count,eligible_floor_violation_user_interval_count,unique_eligible_floor_violation_user_count,total_normalized_floor_shortfall_user_seconds,maximum_normalized_floor_shortfall,minimum_floor_ratio,mean_moving_pf_utility,minimum_moving_pf_utility,final_moving_pf_utility,mean_moving_geometric_rate_bps_hz,final_moving_geometric_rate_bps_hz,mean_active_p05_rate_bps_hz,minimum_active_p05_rate_bps_hz,minimum_active_eligible_rate_bps_hz,mean_total_network_retention_secondary,minimum_total_network_retention_secondary,mean_protected_network_retention_secondary,minimum_protected_network_retention_secondary,command_total_variation_db,maximum_command_slew_db,mean_active_mode_count,maximum_active_mode_count,payload_bytes_per_update,maximum_finite_action_db,mean_local_table_build_seconds,maximum_local_table_build_seconds
short_multiple,0.005,-133.0,SA.509 multiple-entry,online_predictive_constrained_pf,True,0,-1.5225978131157535e-05,1.5225978131157535e-05,0,PASS_CORRECTED_FINITE_PASS_DYNAMIC_CERTIFICATE,15.097772281966172,,False,0,0,0,0.0,0.0,1.0133989392249212,95.95371929324341,6.363258514081295,51.05980901068389,1.6050786472060625,1.2787512767527076,0.645646144952769,0.2460072747743936,0.10539448837819287,0.9967472743264799,0.9942987842209503,0.9674456829408992,0.943401952279404,8546.0,3.0,86.48305084745763,94.0,456.0,70.0,0.08286933419570895,0.14010904199676588
short_multiple,0.005,-133.0,SA.509 multiple-entry,online_delayed_myopic_constrained_pf,True,55,1.6326963915216548,-1.6326963915216548,0,NOT_APPLICABLE,14.895653441024479,,False,0,0,0,0.0,0.0,1.01336712611015,95.95601415658787,6.3680660871837125,51.06112661388084,1.605093843567555,1.278759422693481,0.6456508797698314,0.24600563037066633,0.10582177652947272,0.9967485518734673,0.9942705795915808,0.9674570632737484,0.9431219546401528,7628.0,3.0,86.46610169491525,94.0,456.0,70.0,0.08129477966034201,0.13750222499947995
short_multiple,0.005,-133.0,SA.509 multiple-entry,static_constrained_pf,True,0,-0.13116688860303408,0.13116688860303408,0,NOT_APPLICABLE,0.0,,False,0,0,0,0.0,0.0,1.0133034059452763,95.8256177606377,6.203012648158292,50.878552270972136,1.6041212038728427,1.2776311703960015,0.6451598510128203,0.24598770063895645,0.10442073350453601,0.9960122464219273,0.9942721938914741,0.9600668051179766,0.9431379803837738,0.0,0.0,95.0,95.0,456.0,70.0,,
short_multiple,0.005,-133.0,SA.509 multiple-entry,virtual_queue_gain_1_online_pf,True,138,6.010165535502682,-6.010165535502682,0,NOT_APPLICABLE,10.378938950016163,6.042390045635052,False,0,0,0,0.0,0.0,1.0013110097616116,95.84421694319735,6.196620100836186,50.934088344652665,1.604256282091158,1.2779742606443396,0.6450877624812204,0.24589270437121383,0.10459198315589353,0.9963250189715708,0.9938133333781846,0.9631897471644465,0.9385827047662992,34042.0,3.0,95.94067796610169,110.0,456.0,70.0,0.08295888288323451,0.13033094903221354
short_multiple,0.005,-133.0,SA.509 multiple-entry,instantaneous_common_scale_oracle,True,0,5.785964799319719e-15,-5.785964799319719e-15,0,NOT_APPLICABLE,0.0,,False,0,0,0,0.0,0.0,1.000921717563107,95.55337271236148,5.877495630252951,50.65305329303054,1.6020320891979367,1.2762390301520927,0.6420704583911926,0.2458943452925961,0.10453252040223503,0.9950250779676575,0.9929606645327779,0.9501401133165941,0.9301179502520912,2831.444674867209,1.6969034652256454,114.0,114.0,456.0,48.636284885591664,,
short_multiple,0.005,-133.0,SA.509 multiple-entry,exact_hard_null_reference,True,0,-3000.0,3000.0,0,NOT_APPLICABLE,0.0,,True,0,0,0,0.0,0.0,1.0008888383885357,95.53961307475696,5.862150750387704,50.63350415868845,1.601929111853626,1.2761184130584262,0.6420265597858736,0.2458933751846725,0.10439035807270651,0.9949504923601319,0.9929306784702739,0.9493927693289205,0.9298202508414306,0.0,0.0,114.0,114.0,0.0,,,
long_multiple,20.0,-150.0,SA.509 multiple-entry,online_predictive_constrained_pf,True,0,-0.0001585233682704668,0.0001585233682704668,0,PASS_CORRECTED_FINITE_PASS_DYNAMIC_CERTIFICATE,15.627812552964315,,False,0,0,0,0.0,0.0,1.001007826939076,95.75106041639457,6.100200534937475,50.88784252595504,1.6035318365853688,1.2776885572373988,0.6450628923879751,0.2459066287166999,0.10449248236737649,0.9959533215841612,0.9938286294235248,0.9594817473548012,0.9387345541853812,8566.0,3.0,95.77118644067797,102.0,456.0,70.0,0.08406971959580699,0.1419076580205001
long_multiple,20.0,-150.0,SA.509 multiple-entry,online_delayed_myopic_constrained_pf,False,67,3.380261342413121,-3.380261342413121,0,NOT_APPLICABLE,13.3061164310202,,False,0,0,0,0.0,0.0,1.001007826939076,95.74720748487499,6.095340545529719,50.885827957944215,1.60350252161074,1.2776761128290504,0.645065676899111,0.2459066287166999,0.10451879155662093,0.9959351463648655,0.9935361131536338,0.9592976120789947,0.9358306385217814,9485.0,3.0,96.46610169491525,114.0,456.0,70.0,0.07219081748053983,0.15754598600324243
long_multiple,20.0,-150.0,SA.509 multiple-entry,static_constrained_pf,True,0,-1.1120058176242777,1.1120058176242777,0,NOT_APPLICABLE,0.0,,False,0,0,0,0.0,0.0,1.0010153755680502,95.70350196472268,6.042586181706322,50.80708280322546,1.6031767961124466,1.277189782398889,0.6449765637662167,0.24590313391559435,0.10439777571042415,0.99576481218676,0.9938122847096065,0.9575846778810211,0.9385722942509772,0.0,0.0,102.0,102.0,456.0,70.0,,
long_multiple,20.0,-150.0,SA.509 multiple-entry,virtual_queue_gain_1_online_pf,True,149,5.2353275513037385,-5.2353275513037385,0,NOT_APPLICABLE,7.480349090998061,3.6873026534526847,False,0,0,0,0.0,0.0,1.0009097017379003,95.68096303249278,6.029257578016622,50.8034986726963,1.6029945321944121,1.277167651194249,0.644926165708777,0.24589254932346066,0.10439729726265745,0.9956959211762584,0.9930396692196197,0.9568990941988602,0.9309022585837369,36385.0,3.0,106.64406779661017,114.0,456.0,70.0,0.0597187746099149,0.12679536698851734
