time_s,short_multiple_online_predictive_constrained_pf_ratio,short_multiple_online_delayed_myopic_constrained_pf_ratio,short_multiple_static_constrained_pf_ratio,short_multiple_virtual_queue_gain_1_online_pf_ratio,short_multiple_instantaneous_common_scale_oracle_ratio,short_multiple_exact_hard_null_reference_ratio,long_multiple_online_predictive_constrained_pf_ratio,long_multiple_online_delayed_myopic_constrained_pf_ratio,long_multiple_static_constrained_pf_ratio,long_multiple_virtual_queue_gain_1_online_pf_ratio,long_multiple_instantaneous_common_scale_oracle_ratio,long_multiple_exact_hard_null_reference_ratio,long_multiple_online_predictive_constrained_pf_two_drops_ratio,short_single_online_predictive_constrained_pf_ratio,short_single_online_delayed_myopic_constrained_pf_ratio,short_single_static_constrained_pf_ratio,short_single_virtual_queue_gain_1_online_pf_ratio,short_single_instantaneous_common_scale_oracle_ratio,short_single_exact_hard_null_reference_ratio,long_single_online_predictive_constrained_pf_ratio,long_single_online_delayed_myopic_constrained_pf_ratio,long_single_static_constrained_pf_ratio,long_single_virtual_queue_gain_1_online_pf_ratio,long_single_instantaneous_common_scale_oracle_ratio,long_single_exact_hard_null_reference_ratio
114.0,0.9996920351393416,0.9996920351393416,0.9702492398035486,0.9996920351393416,1.0000000000000004,0.0,0.9522157662022162,0.9522157662022162,0.7741041901163587,0.9522157662022162,0.999999999999999,0.0,0.9522157662022162,0.6998168113866796,0.6998168113866796,0.6591365695693518,0.6998168113866796,1.0000000000000007,0.0,0.9991454410691845,0.9991454410691845,0.8684812095179855,0.9991454410691845,0.9999999999999974,0.0
115.0,0.9897420270465133,0.9897420270465133,0.9605565330168031,0.9897420270465133,0.981416949527382,0.0,0.9391159687274897,0.9391159687274897,0.762969358605684,0.9391159687274897,0.9814599719075172,0.0,0.9391159687274897,0.6922016197607848,0.6922016197607848,0.6518323143892408,0.6922016197607848,0.9814169495273822,0.0,0.9841131157266277,0.9841131157266277,0.8549106805808084,0.9841131157266277,0.9814599719075153,0.0
116.0,0.979879528995104,0.979879528995104,0.9509494450327026,0.979879528995104,0.9632112448305137,0.0,0.9262188066156744,0.9262188066156744,0.7520188448918774,0.9262188066156744,0.9632915668118138,0.0,0.9262188066156744,0.6846736063059701,0.6846736063059701,0.6446138136707821,0.6846736063059701,0.9632112448305138,0.0,0.969336300035694,0.969336300035694,0.8415821832851319,0.969336300035694,0.9632915668118123,0.0
117.0,0.9701035388553021,0.9701035388553021,0.9414269939050591,0.9701035388553021,0.9453740613724058,0.0,0.9135203520154141,0.9135203520154141,0.7412487838437996,0.9135203520154141,0.9454865568049773,0.0,0.9135203520154141,0.6772311188342903,0.6772311188342903,0.637479411086729,0.6772311188342903,0.945374061372406,0.0,0.9548097260775558,0.9548097260775558,0.8284904781601188,0.9548097260775558,0.9454865568049757,0.0
118.0,0.9604130807650277,0.9604130807650277,0.9319882235226359,0.9604130807650277,0.9278968465363733,0.0,0.9010167692503606,0.9010167692503606,0.7306554063911503,0.9010167692503606,0.9280369376044649,0.0,0.9010167692503606,0.6698725554932483,0.6698725554932483,0.6304275008285759,0.6698725554932483,0.9278968465363735,0.0,0.9405282579607442,0.9405282579607442,0.8156304614125509,0.9405282579607442,0.9280369376044634,0.0
119.0,0.9975180120360285,0.9138235647838774,0.922632203017335,1.334382578175062,1.0000000000000007,0.0,0.9816212429198756,0.8938087331090889,0.720235037208384,1.7514454739281822,0.9999999999999998,0.0,0.9816212429198756,0.9785784081143386,0.9399390573982128,0.6234565265141038,1.1869340734546499,0.999999999999999,0.0,0.9999678678025379,0.9121737963636459,0.8029971606339508,1.8051819295677363,1.0000000000000002,0.0
120.0,0.9875249581962644,0.9046356001828936,0.9133580261571561,1.3210924925814944,0.9815739595689795,0.0,0.9681716783489714,0.8815716497634631,0.7099840924472851,1.7275002903077492,0.9815991228861604,0.0,0.9681716783489714,0.9681731679528035,0.930050799086576,0.6165649800703202,1.1745367264670714,0.9815739595689779,0.0,0.9851525077997914,0.8985087635177318,0.7905857307199686,1.7781285512852032,0.9815991228861607,0.0
121.0,0.9776195027703464,0.895528773171586,0.904164810725653,1.30791583951278,0.963516642065946,0.0,0.9549271365882143,0.8695213367941931,0.699899077515663,1.7039184794857356,0.9635633985157802,0.0,0.9549271365882143,0.9578762787685167,0.9202640066647746,0.6097514005957813,1.1622636104362314,0.9635166420659443,0.0,0.9705830016246648,0.8850737078813035,0.7783914499840614,1.751527901253003,0.9635633985157807,0.0
122.0,0.9678007287677163,0.8865022097449571,0.8950516978961787,1.294851340124926,0.9458197234933461,0.0,0.9418837276822879,0.8576542268700251,0.6899765849038006,1.68069320240077,0.9458849271004762,0.0,0.9418837276822879,0.9476858239328769,0.9105769389337856,0.6030143732096876,1.150112660649319,0.9458197234933444,0.0,0.9562544172061328,0.8718639492271336,0.7664097164526651,1.7253709489588147,0.9458849271004768,0.0
123.0,0.9580677415197801,0.877555057869149,0.8860178515975591,1.2818977564691953,0.9284751184005441,0.0,0.9290376514406844,0.8459668360960276,0.6802132920521926,1.6578177788045738,0.9285560099079889,0.0,0.9290376514406844,0.9375999554798192,0.9009879144425168,0.5963525278877503,1.1380818843518332,0.9284751184005426,0.0,0.9421619412386065,0.8588749217022459,0.7546360443221372,1.6996488814466881,0.9285560099079894,0.0
