pass_slot,candidate_minus_static_final_pf,candidate_minus_static_duration_mean_pf,candidate_minus_predictive_final_pf,candidate_minus_predictive_duration_mean_pf,campaign_seed
0,0.6755923205977439,0.8093785055300629,0.324792810709873,0.5863190472371258,44000
1,0.6712292837032905,0.8308443394547282,0.3169356198987501,0.599110907714504,44000
2,0.7422829374534388,0.8558274827030203,0.3945093680243658,0.6203836086951782,44000
3,0.7068183892218727,0.8650631991934006,0.3661597875586793,0.6144472885538477,44000
4,0.674826999687788,0.8773168582583395,0.3210457869841576,0.6079052669917786,44000
0,0.5102940737933679,0.2461243776572104,0.240638384898034,0.0847071785750301,44001
1,0.4846431212702597,0.244906664464608,0.2290691012801886,0.080998131046897,44001
2,0.330254505088746,0.2669897292674363,0.2377880572433426,0.086484008273004,44001
3,0.332004957146367,0.2929577157991758,0.2519161154718432,0.0888481225003516,44001
4,0.3163981074522226,0.2935995868932508,0.2831457762991007,0.0909246744749765,44001
0,0.2192484354539203,0.194246729426851,2.105044211475615e-05,0.0316708262060956,44002
1,0.2182554901079996,0.1923043247874005,4.768507820074319e-05,0.0320031545510772,44002
2,0.1825379973670777,0.2228010898663086,-1.5143641775239304e-05,0.0025493278541688,44002
3,0.1286084861837437,0.2163785494735037,-2.5006285824247243e-05,0.0027992285915274,44002
4,0.0970069950365015,0.2206481783952938,-3.9542337312070686e-05,0.0032542278419356,44002
0,0.3112004904963896,0.3387366194799028,-0.0906718829979524,0.1155274237516721,44003
1,0.2992341709864377,0.3267952172634665,-0.0912724642311815,0.1221147514542906,44003
2,0.0846665994608315,0.3015284166842491,-0.0936679211420283,0.1171433242065376,44003
3,0.0491159747924001,0.2835671425429353,-0.093789446630609,0.1117822963509524,44003
4,0.0790956820977868,0.2958365183661726,-0.0950685001612612,0.1080278422071217,44003
0,0.4996194011249173,0.2736390178553662,0.2624982947690792,0.1144003555279979,44004
1,0.5116841038898379,0.2607466390369097,0.2610298408432037,0.1075868521590592,44004
2,0.4288026837494243,0.2977962008883636,0.2456308204612085,0.1168239119013279,44004
3,0.3320761717927851,0.2976282187704697,0.2178304751059219,0.1122038912310188,44004
4,0.267642091417958,0.2904818035922432,0.1931889107388649,0.1111103130305863,44004
0,0.5333308764440048,0.2359940416507271,0.3179935191190068,0.1215689174801895,44005
1,0.4814070971734736,0.2243560493619583,0.2806923950217594,0.1162945963931605,44005
2,0.4580712815010201,0.2481293346164221,0.3077492082488717,0.1191584013559463,44005
3,0.4319828733273425,0.2707305975854552,0.3108321308415398,0.1233298451382438,44005
