campaign_seed,candidate_minus_static_final_pf,candidate_minus_static_duration_mean_pf,candidate_minus_predictive_final_pf,candidate_minus_predictive_duration_mean_pf
44000,0.6941499861328267,0.8476860770279103,0.34468867463516517,0.6056332238384868
44001,0.39471895295019266,0.26891561481633625,0.24851148703850182,0.08639242297405184
44002,0.16913148082984858,0.20927577438987152,-2.1913489192115776e-06,0.01445535300896092
44003,0.16466258356676913,0.30929278286734524,-0.09289404303260648,0.11491912759411486
44004,0.4079648903949845,0.28405837602867046,0.23603566838365567,0.11242506476999803
44005,0.45585271660126236,0.2511758518483844,0.30304056551892694,0.12137497182451677
44006,0.20666862311993833,0.3080315807067251,0.0067517957013605995,0.0754539958047388
44007,0.45547074167653534,0.23501898598170495,0.18591566769506468,0.02649146565363476
44008,0.4290514588212126,0.21312106229425748,-0.006708562274697939,-0.06117358084320296
44009,0.05264824616074999,0.13106919318904597,0.00073808937729322,0.0008625824797860001
44010,0.0965840586705511,0.1273476850543147,0.00661524419672898,0.0049230838655346795
44011,0.05102099903862718,0.1596033447155889,-0.09086397527275378,0.01219631114019246
44012,0.14700969992635532,0.11886289244989992,0.0301692853360869,0.050451150770416495
44013,0.3016571745961215,0.2606311347101581,0.01572799191480308,0.0773587769341503
44014,0.3756185983007427,0.23466372047523693,0.09473947395582623,0.04225524601280024
44015,0.24665667543078626,0.22402286659161913,0.01580090446600476,0.06511772228235199
44016,0.15229349053112595,0.1312695084983147,-0.026215066905439944,-0.00035939716487404
44017,0.39179483888189987,0.27093541313085723,-0.005309708363427019,0.04991682405910464
44018,0.24912263291250833,0.19169349271116684,-0.01283414155365672,-0.0024089177796838
44019,0.3199143881500873,0.5387398761011667,0.0316199365735684,0.26977066881322287
44020,0.27792918500137775,0.18273799569770965,0.10228156869071363,0.07095666523057384
44021,0.15835295387986856,0.10572588706723134,0.05130553972559108,-0.00517617290055618
44022,0.32234293199835096,0.2400818783777794,0.1241112907305421,0.07321691329422318
44023,0.26315259608422104,0.36465859580009974,0.020116930805296758,0.16395161326561264
44024,0.32687062997476624,0.19345443888702785,0.10215855603659488,0.039796379949643725
44025,0.27620800845118476,0.20727714959874954,-0.0045898968922525405,0.0021252985110293996
44026,0.3404733699497882,0.24782366349756155,-0.0131739148916665,-0.00019793171650518
44027,0.3412988054819749,0.2583032805069848,-0.011327415287134759,-0.05910561137069118
44028,0.31910734534405233,0.2515689155069737,-0.006279590738810681,-0.01504032255980684
44029,0.26718673794741077,0.14127773369798996,0.1833520932429152,0.07960907698473244
