pass_slot,standard_positive_geometric_mean_bps_hz,epsilon_stabilized_geometric_mean_bps_hz,expected_definition_difference_bps_hz,actual_campaign_summary_value_bps_hz,excluded_reference_value_bps_hz
0,2.1735070741614413,2.1742858156427918,0.0007787414813504867,2.174285815642792,2.1735070741614413
1,2.160263528168155,2.161043344627498,0.0007798164593428858,2.161043344627498,2.160263528168155
2,2.1692756937974482,2.170055951892557,0.0007802580951086213,2.1700559518925564,2.169275693797448
3,2.176889735849115,2.1776704839490515,0.0007807480999364458,2.1776704839490515,2.176889735849115
4,2.183163794135654,2.1839455272527206,0.0007817331170665298,2.1839455272527206,2.183163794135654
