method_id,long_violation_seconds,short_violation_seconds,long_maximum_excess_db,short_maximum_excess_db,eligible_floor_violation_user_intervals,eligible_floor_violation_user_seconds,total_normalized_floor_shortfall,final_moving_pf_utility,duration_weighted_mean_moving_pf_utility,protected_active_eligible_p05_bps_hz,protected_active_eligible_geometric_mean_bps_hz,total_active_eligible_p05_bps_hz,total_active_eligible_geometric_mean_bps_hz,sector_mute_interval_count,intervals_with_any_sector_mute,maximum_muted_sector_count,runtime_seconds,extra,pass_slot,protected_sample_count,interval_count,method_action_sha256,method_sector_scale_sha256,method_stream_action_sha256,runtime_scope,candidate_strict_local_scope_gate,candidate_strict_post_mode_power_gate,candidate_q0_envelope_deployable_actions,candidate_unresolved_deployable_intervals,candidate_network_wide_shutdown_intervals,candidate_maximum_mutable_sector_count,candidate_maximum_external_interferers_per_violating_user,candidate_maximum_eess_backoff_sectors,candidate_maximum_strict_post_mode_power_ratio,candidate_maximum_q0_power_envelope_ratio,candidate_maximum_normalized_floor_shortfall,candidate_baseline_noop_intervals,candidate_local_grid_repair_intervals,candidate_local_stream_repair_intervals,candidate_information_exchange_locality_certified,candidate_action_scope_locality_verified,candidate_global_oracles_classification_only,candidate_local_table_build_seconds_sum,candidate_repair_solver_seconds_sum,candidate_local_table_build_seconds_max,candidate_repair_solver_seconds_max,candidate_repair_solver_seconds_p95_nonzero,candidate_changed_stream_coefficient_count_sum,candidate_changed_sector_interval_count_sum,candidate_maximum_changed_stream_coefficients_per_interval,candidate_maximum_changed_sectors_per_interval,candidate_incremental_float32_payload_lower_bound_bytes_sum,candidate_payload_claim_boundary,campaign_seed,array_index
candidate_v4_3_floor_feasibility_repair,0,0,-0.0007473992969522872,-14.182316442667776,0,0,0.0,35.702637413045466,81.02953802952744,0.22842154676409887,2.0194049479193774,0.30559172425539194,2.1742858156427918,91,13,7,1.106585460016504,"{'action_class_counts': {'SPARSE_LOCAL_STREAM_POWER_REPAIR': 26, 'SPARSE_LOCAL_FROZEN_GRID_SECTOR_REPAIR': 1, 'BASELINE_NOOP': 91}, 'maximum_mutable_sector_count': 5, 'maximum_external_interferers_per_violating_user': 2, 'maximum_eess_backoff_sectors': 2, 'strict_local_scope_gate': 'PASS', 'strict_local_scope_violation_intervals': 0, 'strict_post_mode_selected_power_gate': 'PASS', 'strict_post_mode_power_violation_intervals': 0, 'q0_envelope_deployable_actions': 0, 'maximum_strict_post_mode_selected_power_ratio': 0.9999999874146094, 'maximum_q0_nominal_power_envelope_ratio': 0.9832046189542554, 'unresolved_deployable_intervals': 0, 'network_wide_shutdown_intervals': 0, 'maximum_normalized_floor_shortfall': 0.0, 'solver_constraint_reserve': 1e-08, 'solver_primal_feasibility_tolerance': 1e-09, 'solver_dual_feasibility_tolerance': 1e-09, 'local_table_build_seconds_sum': 0.43757205246947706, 'repair_solver_seconds_sum': 0.4316404538694769, 'local_table_build_seconds_max': 0.004393364768475294, 'repair_solver_seconds_max': 0.06729166000150144, 'repair_solver_seconds_p95_nonzero': 0.03076068873051553, 'candidate_end_to_end_seconds': 1.1065483149141073, 'changed_stream_coefficient_count_sum': 85, 'changed_sector_interval_count_sum': 30, 'maximum_changed_stream_coefficients_per_interval': 16, 'maximum_changed_sectors_per_interval': 4, 'incremental_float32_payload_lower_bound_bytes_sum': 340, 'payload_claim_boundary': 'FLOAT32_COEFFICIENT_VALUE_LOWER_BOUND_ONLY_EXCLUDES_IDS_HEADERS_RELIABILITY_AND_TRANSPORT_OVERHEAD', 'information_exchange_locality_certified': False, 'action_scope_locality_verified': True, 'global_oracles_classification_only': True}",0,587,118,9d6e73019b72e4ec8998870be04ed855bdc1437819e9ac861b3df0f5cd49772d,2b857665eabb76654a7480aec1001f7e673c3d3aaf2e78c00ac2d947f1027eb4,bc3d20025ffb07a75947b35f56b1c9fff62f62f0ff5a635e8b46398557bb5611,candidate_end_to_end_including_sequential_fallback_and_repair_oracles,PASS,PASS,0.0,0.0,0.0,5.0,2.0,2.0,0.9999999874146094,0.9832046189542554,0.0,91.0,1.0,26.0,False,True,True,0.43757205246947706,0.4316404538694769,0.004393364768475294,0.06729166000150144,0.03076068873051553,85.0,30.0,16.0,4.0,340.0,FLOAT32_COEFFICIENT_VALUE_LOWER_BOUND_ONLY_EXCLUDES_IDS_HEADERS_RELIABILITY_AND_TRANSPORT_OVERHEAD,43999,-1
robust_predictive_constrained_pf_with_sector_selective_fallback,0,0,-0.0007473992969522872,-14.182316442667776,27,135,0.3513294899055611,35.700174915905606,81.0259349406601,0.22842104075852301,2.021466361267957,0.3053459029039174,2.1741965207215532,91,13,7,10.074695070041344,{'mode_command_feasible': True},0,587,118,9d6e73019b72e4ec8998870be04ed855bdc1437819e9ac861b3df0f5cd49772d,b5b0e234b96e6df257aba248f6ccaa2ffd353a182b0b486ec68518dcd3bad060,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43999,-1
static_robust_constrained_pf_with_sector_selective_fallback,0,0,-0.0009185988639014832,-14.630088113236832,60,300,1.0610560599081817,35.48182581138389,80.91652756715999,0.2317343914202224,2.009633015993695,0.3050230047514219,2.172746712181628,0,0,0,0.6594273031223565,"{'static_mode_feasible': True, 'static_pre_fallback_ratio': 0.6229431919777099}",0,587,118,8df776517072a66ad05ed995d0bdc508175dc78f15607dd64589afdf12fd2ea2,bbe7e4154aa94cfbd39237869e1694db88e3bb84a9373e85796ab05d375945bb,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43999,-1
delayed_myopic_constrained_pf_with_reactive_sector_fallback,0,0,-0.000369575323312796,-14.13450050156364,29,145,0.4158146670863702,35.712289555842695,81.02582027265737,0.22843067086638047,2.0214902573579723,0.305454609101357,2.1741997144194403,112,16,7,0.5871724330354482,{},0,587,118,0e952e595425cf970f2d088d97826bd754f83b1f8281e83a6f4ad3e58dbfa38a,0e362047a084188ede2cc9250068917344165e358d58832452431b22241ddfa0,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43999,-1
delayed_myopic_constrained_pf_unshielded,62,0,6.420276261953352,-7.807575535499645,29,145,0.41340691990314626,35.63779321440888,81.0395511308531,0.23154382302273843,2.0328174222109623,0.30525990388838503,2.1746021514422647,0,0,0,9.676882953150198,{'mode_interval_max_ratio': 4.385585943303316},0,587,118,00e11824759cff2ffa58d9cae758eb9fb978103b18c35cd8cbab5375505625d2,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43999,-1
virtual_queue_unshielded,143,0,5.163570074324625,-9.233138498877405,25,125,0.27637038889809223,35.52772129879979,80.96705345705958,0.23147163096983123,2.0213060043929802,0.30502566336636744,2.1735707630754275,0,0,0,6.254118242068216,"{'maximum_queue': 3.5797285325362935, 'price_gain': 1.0}",0,587,118,3037de67485813ba35c92b6819fa8b06217b89da015d3b16a49e8863d185ffcd,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43999,-1
uniform_protected_tone_backoff,0,0,1.928654933106574e-15,-14.079646224481415,27,135,0.349593279437737,35.57167654155555,80.71952447705415,0.23032826605183068,1.9914199895471358,0.30524821991248413,2.1702991417662774,0,0,0,0.12023626500740647,{},0,587,118,9d6e73019b72e4ec8998870be04ed855bdc1437819e9ac861b3df0f5cd49772d,6b28ac245a93310887c922e6afb84259faf96043e33088032264929cb1865384,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43999,-1
hard_spatial_null_or_exact_mute,0,0,-0.27939318822787146,-14.94287246436121,774,3870,17.9611400295004,35.434578917220236,79.60509979657066,0.0,1.0460967671845849,0.29587092223662503,2.1533757747529747,399,7,57,0.019097707932814956,{},0,587,118,1b8552d981e4c61086437d2c5e5afe67390605d69d7669e7a325e611ebb48417,1f26e993dae4a48ff432cc5b8e4bfa26c7573d659b2d06358e41c7694d457b5c,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43999,-1
common_scale_instantaneous_noncausal_reference,0,0,1.157192959863943e-14,-14.601129052100761,60,300,1.0561394272442284,35.48456744866239,80.93020358625083,0.2317329467121508,2.0130952892138287,0.30502352760329116,2.172953482759971,0,0,0,0.3853934968356043,"{'time_resolution_seconds': 1, 'delay_intervals': 0, 'slew_constraint': False}",0,587,118,9b5e52c203c747346e26aa5b5fb7a9690e728d5dd56efab78e5c56f03f933bd7,206c55dc4e9a354aa3b3bcce52880cfde503dc24c7eda24b47d152d9e965c2f8,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43999,-1
candidate_v4_3_floor_feasibility_repair,0,0,-0.000865139281599986,-14.182552773478214,0,0,0.0,47.91212001676288,82.14093804965226,0.22842222583769922,2.0144438476845363,0.3055001651845352,2.161043344627498,91,13,7,1.0691234830301255,"{'action_class_counts': {'SPARSE_LOCAL_STREAM_POWER_REPAIR': 26, 'SPARSE_LOCAL_FROZEN_GRID_SECTOR_REPAIR': 1, 'BASELINE_NOOP': 88}, 'maximum_mutable_sector_count': 5, 'maximum_external_interferers_per_violating_user': 2, 'maximum_eess_backoff_sectors': 2, 'strict_local_scope_gate': 'PASS', 'strict_local_scope_violation_intervals': 0, 'strict_post_mode_selected_power_gate': 'PASS', 'strict_post_mode_power_violation_intervals': 0, 'q0_envelope_deployable_actions': 0, 'maximum_strict_post_mode_selected_power_ratio': 0.937400837854286, 'maximum_q0_nominal_power_envelope_ratio': 0.9227077895227923, 'unresolved_deployable_intervals': 0, 'network_wide_shutdown_intervals': 0, 'maximum_normalized_floor_shortfall': 0.0, 'solver_constraint_reserve': 1e-08, 'solver_primal_feasibility_tolerance': 1e-09, 'solver_dual_feasibility_tolerance': 1e-09, 'local_table_build_seconds_sum': 0.42553293076343834, 'repair_solver_seconds_sum': 0.4130927037913352, 'local_table_build_seconds_max': 0.003846521023660898, 'repair_solver_seconds_max': 0.03985221893526614, 'repair_solver_seconds_p95_nonzero': 0.033529814868234094, 'candidate_end_to_end_seconds': 1.0690883388742805, 'changed_stream_coefficient_count_sum': 78, 'changed_sector_interval_count_sum': 28, 'maximum_changed_stream_coefficients_per_interval': 8, 'maximum_changed_sectors_per_interval': 2, 'incremental_float32_payload_lower_bound_bytes_sum': 312, 'payload_claim_boundary': 'FLOAT32_COEFFICIENT_VALUE_LOWER_BOUND_ONLY_EXCLUDES_IDS_HEADERS_RELIABILITY_AND_TRANSPORT_OVERHEAD', 'information_exchange_locality_certified': False, 'action_scope_locality_verified': True, 'global_oracles_classification_only': True}",1,571,115,a01f6ec6f39d423eefddd767b063eb063212f70e0a2127692cec3cd3d03d2b2a,0e541dd6f4d2075efa7c839c486949f20f74f55555aa4884b9e1b025c77c35cb,7c57f2d52359f25fe3a1b86d8979f796bf17197232fc790dce5926a36873f4ea,candidate_end_to_end_including_sequential_fallback_and_repair_oracles,PASS,PASS,0.0,0.0,0.0,5.0,2.0,2.0,0.937400837854286,0.9227077895227923,0.0,88.0,1.0,26.0,False,True,True,0.42553293076343834,0.4130927037913352,0.003846521023660898,0.03985221893526614,0.033529814868234094,78.0,28.0,8.0,2.0,312.0,FLOAT32_COEFFICIENT_VALUE_LOWER_BOUND_ONLY_EXCLUDES_IDS_HEADERS_RELIABILITY_AND_TRANSPORT_OVERHEAD,43999,-1
