coast_distance_km,polarization_code,polarization_label,time_percentage,basic_transmission_loss_db,path_gain_linear
5,1,H,50,117.863252559341,1.6355911202325e-12
5,1,H,20,117.615188351318,1.73173392469782e-12
5,1,H,10,117.485394719533,1.78426981329238e-12
5,1,H,1,116.958700340829,2.01432696229369e-12
5,1,H,0.1,116.426288007663,2.27704282835762e-12
5,1,H,0.01,115.89387417421,2.57402394466484e-12
5,1,H,0.005,115.73360060041,2.6707912206242e-12
5,2,V,50,117.863252559341,1.6355911202325e-12
5,2,V,20,117.615188351318,1.73173392469782e-12
5,2,V,10,117.485394719533,1.78426981329238e-12
5,2,V,1,116.958700340829,2.01432696229369e-12
5,2,V,0.1,116.426288007663,2.27704282835762e-12
5,2,V,0.01,115.89387417421,2.57402394466484e-12
5,2,V,0.005,115.73360060041,2.6707912206242e-12
50,1,H,50,117.863252559341,1.6355911202325e-12
50,1,H,20,117.615188351318,1.73173392469782e-12
50,1,H,10,117.485394719533,1.78426981329238e-12
50,1,H,1,116.958700340829,2.01432696229369e-12
50,1,H,0.1,116.426288007663,2.27704282835762e-12
50,1,H,0.01,115.89387417421,2.57402394466484e-12
50,1,H,0.005,115.73360060041,2.6707912206242e-12
50,2,V,50,117.863252559341,1.6355911202325e-12
50,2,V,20,117.615188351318,1.73173392469782e-12
50,2,V,10,117.485394719533,1.78426981329238e-12
50,2,V,1,116.958700340829,2.01432696229369e-12
50,2,V,0.1,116.426288007663,2.27704282835762e-12
50,2,V,0.01,115.89387417421,2.57402394466484e-12
50,2,V,0.005,115.73360060041,2.6707912206242e-12
200,1,H,50,117.863252559341,1.6355911202325e-12
200,1,H,20,117.615188351318,1.73173392469782e-12
200,1,H,10,117.485394719533,1.78426981329238e-12
200,1,H,1,116.958700340829,2.01432696229369e-12
200,1,H,0.1,116.426288007663,2.27704282835762e-12
200,1,H,0.01,115.89387417421,2.57402394466484e-12
200,1,H,0.005,115.73360060041,2.6707912206242e-12
200,2,V,50,117.863252559341,1.6355911202325e-12
200,2,V,20,117.615188351318,1.73173392469782e-12
200,2,V,10,117.485394719533,1.78426981329238e-12
200,2,V,1,116.958700340829,2.01432696229369e-12
200,2,V,0.1,116.426288007663,2.27704282835762e-12
200,2,V,0.01,115.89387417421,2.57402394466484e-12
200,2,V,0.005,115.73360060041,2.6707912206242e-12
