coast_distance_km,p452_time_percentage,polarization_label,bs_gain_case,earth_station_pattern_type,max_interference_dbw_per_10mhz,min_interference_dbw_per_10mhz,mean_interference_dbw_per_10mhz,long_exceedance_fraction,short_exceedance_fraction,minimum_off_axis_deg,maximum_earth_station_gain_dbi
5.0,10.0,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-97.92774888430739,-117.30216737179425,-112.80437164762627,1.0,1.0,8.035691596201186,6.374418487486857
5.0,10.0,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-94.92774888430739,-114.30216737179425,-109.80437164762628,1.0,1.0,8.035691596201186,9.374418487486857
5.0,10.0,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-105.11097623204614,-124.485394719533,-119.98759899536502,1.0,1.0,8.035691596201186,6.374418487486857
5.0,10.0,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-102.11097623204614,-121.485394719533,-116.98759899536502,1.0,1.0,8.035691596201186,9.374418487486857
5.0,10.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-73.84534923118889,-93.21976771867575,-88.72197199450778,1.0,1.0,8.035691596201186,6.374418487486857
5.0,10.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-70.84534923118889,-90.21976771867575,-85.72197199450778,1.0,1.0,8.035691596201186,9.374418487486857
5.0,10.0,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-97.92774888430739,-117.30216737179425,-112.80437164762627,1.0,1.0,8.035691596201186,6.374418487486857
5.0,10.0,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-94.92774888430739,-114.30216737179425,-109.80437164762628,1.0,1.0,8.035691596201186,9.374418487486857
5.0,10.0,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-105.11097623204614,-124.485394719533,-119.98759899536502,1.0,1.0,8.035691596201186,6.374418487486857
5.0,10.0,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-102.11097623204614,-121.485394719533,-116.98759899536502,1.0,1.0,8.035691596201186,9.374418487486857
5.0,20.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-73.97514286297388,-93.34956135046075,-88.85176562629276,1.0,1.0,8.035691596201186,6.374418487486857
5.0,20.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-70.97514286297388,-90.34956135046075,-85.85176562629276,1.0,1.0,8.035691596201186,9.374418487486857
5.0,20.0,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-98.05754251609238,-117.43196100357925,-112.93416527941127,1.0,1.0,8.035691596201186,6.374418487486857
5.0,20.0,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-95.05754251609238,-114.43196100357925,-109.93416527941127,1.0,1.0,8.035691596201186,9.374418487486857
5.0,20.0,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-105.24076986383113,-124.615188351318,-120.11739262715002,1.0,1.0,8.035691596201186,6.374418487486857
5.0,20.0,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-102.24076986383113,-121.615188351318,-117.11739262715002,1.0,1.0,8.035691596201186,9.374418487486857
5.0,20.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-73.97514286297388,-93.34956135046075,-88.85176562629276,1.0,1.0,8.035691596201186,6.374418487486857
5.0,20.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-70.97514286297388,-90.34956135046075,-85.85176562629276,1.0,1.0,8.035691596201186,9.374418487486857
5.0,20.0,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-98.05754251609238,-117.43196100357925,-112.93416527941127,1.0,1.0,8.035691596201186,6.374418487486857
5.0,20.0,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-95.05754251609238,-114.43196100357925,-109.93416527941127,1.0,1.0,8.035691596201186,9.374418487486857
5.0,20.0,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-105.24076986383113,-124.615188351318,-120.11739262715002,1.0,1.0,8.035691596201186,6.374418487486857
5.0,20.0,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-102.24076986383113,-121.615188351318,-117.11739262715002,1.0,1.0,8.035691596201186,9.374418487486857
5.0,50.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-74.22320707099689,-93.59762555848376,-89.09982983431578,1.0,1.0,8.035691596201186,6.374418487486857
5.0,50.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-71.22320707099689,-90.59762555848376,-86.09982983431578,1.0,1.0,8.035691596201186,9.374418487486857
5.0,50.0,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-98.30560672411539,-117.68002521160226,-113.18222948743427,1.0,1.0,8.035691596201186,6.374418487486857
5.0,50.0,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-95.30560672411539,-114.68002521160226,-110.18222948743428,1.0,1.0,8.035691596201186,9.374418487486857
5.0,50.0,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-105.48883407185414,-124.863252559341,-120.36545683517302,1.0,1.0,8.035691596201186,6.374418487486857
5.0,50.0,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-102.48883407185414,-121.863252559341,-117.36545683517302,1.0,1.0,8.035691596201186,9.374418487486857
5.0,50.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-74.22320707099689,-93.59762555848376,-89.09982983431578,1.0,1.0,8.035691596201186,6.374418487486857
5.0,50.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-71.22320707099689,-90.59762555848376,-86.09982983431578,1.0,1.0,8.035691596201186,9.374418487486857
5.0,50.0,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-98.30560672411539,-117.68002521160226,-113.18222948743427,1.0,1.0,8.035691596201186,6.374418487486857
5.0,50.0,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-95.30560672411539,-114.68002521160226,-110.18222948743428,1.0,1.0,8.035691596201186,9.374418487486857
5.0,50.0,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-105.48883407185414,-124.863252559341,-120.36545683517302,1.0,1.0,8.035691596201186,6.374418487486857
5.0,50.0,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-102.48883407185414,-121.863252559341,-117.36545683517302,1.0,1.0,8.035691596201186,9.374418487486857
