coast_distance_km,p452_time_percentage,polarization_label,bs_gain_case,earth_station_pattern_type,max_interference_dbw_per_10mhz,min_interference_dbw_per_10mhz,mean_interference_dbw_per_10mhz,long_exceedance_fraction,short_exceedance_fraction,minimum_off_axis_deg,maximum_earth_station_gain_dbi
5.0,0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-72.0935551120659,-91.46797359955275,-86.97017787538478,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.005,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-69.0935551120659,-88.46797359955275,-83.97017787538478,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.005,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-96.1759547651844,-115.55037325267125,-111.05257752850326,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.005,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-93.1759547651844,-112.55037325267125,-108.05257752850326,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-103.35918211292315,-122.73360060041,-118.23580487624204,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.005,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-100.35918211292315,-119.73360060041,-115.23580487624204,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-72.0935551120659,-91.46797359955275,-86.97017787538478,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.005,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-69.0935551120659,-88.46797359955275,-83.97017787538478,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.005,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-96.1759547651844,-115.55037325267125,-111.05257752850326,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.005,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-93.1759547651844,-112.55037325267125,-108.05257752850326,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.005,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-103.35918211292315,-122.73360060041,-118.23580487624204,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.005,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-100.35918211292315,-119.73360060041,-115.23580487624204,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.01,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-72.2538286858659,-91.62824717335275,-87.13045144918476,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.01,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-69.2538286858659,-88.62824717335275,-84.13045144918476,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.01,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-96.3362283389844,-115.71064682647125,-111.21285110230328,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.01,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-93.3362283389844,-112.71064682647125,-108.21285110230328,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.01,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-103.51945568672315,-122.89387417421,-118.39607845004201,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.01,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-100.51945568672315,-119.89387417421,-115.39607845004201,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.01,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-72.2538286858659,-91.62824717335275,-87.13045144918476,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.01,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-69.2538286858659,-88.62824717335275,-84.13045144918476,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.01,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-96.3362283389844,-115.71064682647125,-111.21285110230328,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.01,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-93.3362283389844,-112.71064682647125,-108.21285110230328,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.01,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-103.51945568672315,-122.89387417421,-118.39607845004201,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.01,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-100.51945568672315,-119.89387417421,-115.39607845004201,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.1,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-72.7862425193189,-92.16066100680575,-87.66286528263778,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.1,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-69.7862425193189,-89.16066100680575,-84.66286528263778,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.1,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-96.8686421724374,-116.24306065992425,-111.74526493575628,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.1,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-93.8686421724374,-113.24306065992425,-108.74526493575628,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.1,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-104.05186952017615,-123.426288007663,-118.92849228349503,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.1,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-101.05186952017615,-120.426288007663,-115.92849228349503,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.1,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-72.7862425193189,-92.16066100680575,-87.66286528263778,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.1,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-69.7862425193189,-89.16066100680575,-84.66286528263778,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.1,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-96.8686421724374,-116.24306065992425,-111.74526493575628,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.1,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-93.8686421724374,-113.24306065992425,-108.74526493575628,1.0,1.0,8.035691596201186,9.374418487486857
5.0,0.1,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-104.05186952017615,-123.426288007663,-118.92849228349503,1.0,1.0,8.035691596201186,6.374418487486857
5.0,0.1,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-101.05186952017615,-120.426288007663,-115.92849228349503,1.0,1.0,8.035691596201186,9.374418487486857
5.0,1.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-73.31865485248488,-92.69307333997175,-88.19527761580378,1.0,1.0,8.035691596201186,6.374418487486857
5.0,1.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-70.31865485248488,-89.69307333997175,-85.19527761580378,1.0,1.0,8.035691596201186,9.374418487486857
5.0,1.0,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-97.40105450560338,-116.77547299309025,-112.27767726892226,1.0,1.0,8.035691596201186,6.374418487486857
5.0,1.0,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-94.40105450560338,-113.77547299309025,-109.27767726892228,1.0,1.0,8.035691596201186,9.374418487486857
5.0,1.0,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-104.58428185334213,-123.958700340829,-119.46090461666101,1.0,1.0,8.035691596201186,6.374418487486857
5.0,1.0,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-101.58428185334213,-120.958700340829,-116.46090461666101,1.0,1.0,8.035691596201186,9.374418487486857
5.0,1.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-73.31865485248488,-92.69307333997175,-88.19527761580378,1.0,1.0,8.035691596201186,6.374418487486857
5.0,1.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-70.31865485248488,-89.69307333997175,-85.19527761580378,1.0,1.0,8.035691596201186,9.374418487486857
5.0,1.0,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-97.40105450560338,-116.77547299309025,-112.27767726892226,1.0,1.0,8.035691596201186,6.374418487486857
5.0,1.0,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-94.40105450560338,-113.77547299309025,-109.27767726892228,1.0,1.0,8.035691596201186,9.374418487486857
5.0,1.0,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-104.58428185334213,-123.958700340829,-119.46090461666101,1.0,1.0,8.035691596201186,6.374418487486857
5.0,1.0,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-101.58428185334213,-120.958700340829,-116.46090461666101,1.0,1.0,8.035691596201186,9.374418487486857
5.0,10.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-73.84534923118889,-93.21976771867575,-88.72197199450778,1.0,1.0,8.035691596201186,6.374418487486857
5.0,10.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-70.84534923118889,-90.21976771867575,-85.72197199450778,1.0,1.0,8.035691596201186,9.374418487486857
