gain_case,bs_gain_dbi,status,target_azimuth_deg,target_elevation_deg,sector_azimuth_deg,sector_boresight_elevation_deg,horizontal_offset_deg,vertical_offset_deg,horizontal_attenuation_db,vertical_attenuation_db,array_element_count,coherent_array_gain_upper_db,peak_element_gain_dbi
ZERO_DBI_PROPAGATION_REFERENCE,0.0,pure propagation accounting reference,10.889433435686737,2.9997029748142587,0.0,-10.0,10.889433435686726,12.999702974814259,-0.33679458617823055,-0.4799780660830145,256,24.082399653118497,8.0
ELEMENT_PATTERN_REFERENCE,7.183227347738755,Reference accounting cases only; not the final composite WMMSE beam gain.,10.889433435686737,2.9997029748142587,0.0,-10.0,10.889433435686726,12.999702974814259,-0.33679458617823055,-0.4799780660830145,256,24.082399653118497,8.0
COHERENT_ARRAY_UPPER_ENVELOPE,31.26562700085725,conservative total-power coherent upper envelope; not final composite beam gain,10.889433435686737,2.9997029748142587,0.0,-10.0,10.889433435686726,12.999702974814259,-0.33679458617823055,-0.4799780660830145,256,24.082399653118497,8.0
