sample_index,distance_km,terrain_m_asl,clutter_plus_terrain_m_asl,radio_climatic_zone,longitude_deg,latitude_deg
0,0.0,145.80661010742188,145.80661010742188,2,-75.81431660498814,45.56501567850536
1,0.0297569850321766,148.85308837890625,148.85308837890625,2,-75.81424459669756,45.56527859395899
2,0.0595139700643532,151.93368530273438,151.93368530273438,2,-75.81417258773517,45.565541509355086
3,0.08927095509652978,154.82907104492188,154.82907104492188,2,-75.81410057810096,45.56580442469364
4,0.1190279401287064,165.62786865234375,165.62786865234375,2,-75.81402856779492,45.56606733997463
5,0.14878492516088299,168.06861877441406,168.06861877441406,2,-75.81395655681703,45.56633025519808
6,0.17854191019305957,170.169677734375,170.169677734375,2,-75.81388454516728,45.56659317036398
7,0.20829889522523615,172.9831085205078,172.9831085205078,2,-75.81381253284567,45.56685608547234
8,0.2380558802574128,174.69900512695312,174.69900512695312,2,-75.81374051985217,45.567119000523135
9,0.2678128652895893,177.60423278808594,177.60423278808594,2,-75.81366850618677,45.56738191551639
10,0.29756985032176597,181.4481201171875,181.4481201171875,2,-75.81359649184948,45.5676448304521
11,0.3273268353539426,184.01708984375,184.01708984375,2,-75.81352447684026,45.56790774533025
12,0.3570838203861192,183.7045135498047,183.7045135498047,2,-75.8134524611591,45.568170660150855
13,0.38684080541829574,172.51536560058594,172.51536560058594,2,-75.813380444806,45.568433574913904
14,0.4165977904504724,169.1073455810547,169.1073455810547,2,-75.81330842778095,45.5686964896194
15,0.44635477548264896,167.43792724609375,167.43792724609375,2,-75.81323641008393,45.56895940426733
16,0.4761117605148256,166.86122131347656,166.86122131347656,2,-75.81316439171492,45.56922231885771
17,0.5058687455470021,166.828369140625,166.828369140625,2,-75.81309237267392,45.569485233390544
18,0.5356257305791787,167.5126495361328,167.5126495361328,2,-75.81302035296092,45.56974814786581
19,0.5653827156113553,167.94461059570312,167.94461059570312,2,-75.8129483325759,45.57001106228352
20,0.5951397006435319,165.80039978027344,165.80039978027344,2,-75.81287631151885,45.57027397664367
21,0.6248966856757086,162.9312744140625,162.9312744140625,2,-75.81280428978975,45.57053689094626
22,0.6546536707078852,160.48890686035156,160.48890686035156,2,-75.8127322673886,45.570799805191285
23,0.6844106557400618,159.27560424804688,159.27560424804688,2,-75.81266024431538,45.57106271937875
24,0.7141676407722383,157.7066192626953,157.7066192626953,2,-75.81258822057008,45.57132563350866
25,0.743924625804415,157.77552795410156,157.77552795410156,2,-75.81251619615269,45.57158854758101
26,0.7736816108365915,159.49688720703125,159.49688720703125,2,-75.81244417106319,45.57185146159578
27,0.8034385958687682,160.8068084716797,160.8068084716797,2,-75.81237214530158,45.572114375553
28,0.8331955809009447,162.34259033203125,162.34259033203125,2,-75.81230011886784,45.57237728945265
29,0.8629525659331214,163.24209594726562,163.24209594726562,2,-75.81222809176197,45.57264020329473
30,0.8927095509652979,172.26565551757812,172.26565551757812,2,-75.81215606398393,45.57290311707924
31,0.9224665359974746,180.5084381103516,180.5084381103516,2,-75.81208403553373,45.573166030806185
32,0.9522235210296512,188.08721923828125,188.08721923828125,2,-75.81201200641135,45.573428944475566
33,0.9819805060618275,194.7362823486328,194.7362823486328,2,-75.81193997661678,45.573691858087365
34,1.0117374910940045,200.41091918945312,200.41091918945312,2,-75.81186794615,45.5739547716416
35,1.0414944761261808,205.04771423339844,205.04771423339844,2,-75.81179591501102,45.57421768513828
36,1.0712514611583575,208.3524932861328,208.3524932861328,2,-75.8117238831998,45.57448059857736
37,1.1010084461905343,209.48619079589844,209.48619079589844,2,-75.81165185071634,45.57474351195888
38,1.1307654312227107,209.75621032714844,209.75621032714844,2,-75.81157981756064,45.57500642528282
39,1.1605224162548873,208.24603271484372,208.24603271484372,2,-75.81150778373267,45.5752693385492
40,1.1902794012870639,206.93096923828125,206.93096923828125,2,-75.81143574923242,45.57553225175799
41,1.2200363863192405,206.8608245849609,206.8608245849609,2,-75.81136371405988,45.5757951649092
42,1.249793371351417,207.6920623779297,207.6920623779297,2,-75.81129167821504,45.576058078002845
43,1.2795503563835937,206.5706787109375,206.5706787109375,2,-75.81121964169789,45.576320991038905
44,1.3093073414157703,198.92214965820312,198.92214965820312,2,-75.8111476045084,45.57658390401738
45,1.339064326447947,187.86184692382807,187.86184692382807,2,-75.8110755666466,45.57684681693829
46,1.3688213114801235,181.4086456298828,181.4086456298828,2,-75.81100352811242,45.57710972980161
47,1.3985782965123001,180.1908264160156,180.1908264160156,2,-75.8109314889059,45.57737264260735
48,1.4283352815444765,185.24267578125,185.24267578125,2,-75.81085944902698,45.57763555535551
49,1.4580922665766531,188.05490112304688,188.05490112304688,2,-75.81078740847569,45.57789846804608
50,1.48784925160883,188.9088897705078,188.9088897705078,2,-75.81071536725199,45.57816138067908
51,1.5176062366410066,187.4911651611328,187.4911651611328,2,-75.81064332535588,45.57842429325448
52,1.547363221673183,185.8495178222656,185.8495178222656,2,-75.81057128278735,45.5786872057723
53,1.5771202067053596,182.88491821289065,182.88491821289065,2,-75.81049923954639,45.57895011823253
54,1.6068771917375364,181.1753845214844,181.1753845214844,2,-75.81042719563297,45.57921303063517
55,1.6366341767697128,181.9544219970703,181.9544219970703,2,-75.81035515104709,45.57947594298024
56,1.6663911618018894,184.52427673339844,184.52427673339844,2,-75.81028310578874,45.579738855267706
57,1.696148146834066,190.103271484375,190.103271484375,2,-75.81021105985789,45.58000176749759
58,1.7259051318662428,192.28306579589844,192.28306579589844,2,-75.81013901325456,45.580264679669874
59,1.7556621168984192,195.3594665527344,195.3594665527344,2,-75.8100669659787,45.580527591784566
60,1.7854191019305958,197.1533660888672,197.1533660888672,2,-75.80999491803033,45.58079050384167
61,1.8151760869627724,197.56124877929688,197.56124877929688,2,-75.80992286940942,45.58105341584119
62,1.8449330719949486,197.81301879882807,197.81301879882807,2,-75.80985082011597,45.5813163277831
63,1.8746900570271257,199.5311584472656,199.5311584472656,2,-75.80977877014995,45.58157923966741
64,1.9044470420593025,202.64732360839844,202.64732360839844,2,-75.80970671951137,45.58184215149416
65,1.9342040270914789,205.4012451171875,205.4012451171875,2,-75.80963466820019,45.58210506326328
66,1.9639610121236555,209.73779296875,209.73779296875,2,-75.80956261621641,45.58236797497481
67,1.993717997155832,218.4128875732422,218.4128875732422,2,-75.80949056356003,45.58263088662875
68,2.023474982188009,228.22396850585935,228.22396850585935,2,-75.80941851023103,45.58289379822508
69,2.053231967220185,237.0860290527344,237.0860290527344,2,-75.80934645622939,45.58315670976382
70,2.0829889522523617,246.42388916015625,246.42388916015625,2,-75.80927440155511,45.58341962124495
71,2.1127459372845383,254.84478759765625,254.84478759765625,2,-75.80920234620817,45.58368253266848
72,2.142502922316715,261.22906494140625,261.22906494140625,2,-75.80913029018856,45.58394544403441
73,2.172259907348892,265.30535888671875,265.30535888671875,2,-75.80905823349626,45.58420835534274
74,2.2020168923810686,267.8841857910156,267.8841857910156,2,-75.80898617613127,45.58447126659346
75,2.2317738774132447,267.4960632324219,267.4960632324219,2,-75.80891411809357,45.58473417778658
76,2.261530862445421,268.4366455078125,268.4366455078125,2,-75.80884205938315,45.5849970889221
77,2.291287847477598,270.8760070800781,270.8760070800781,2,-75.80877,45.58526
