coast_distance_km,time_percentage,polarization_label,basic_transmission_loss_db
5,0.005,H,115.73360060041
5,0.005,V,115.73360060041
5,0.01,H,115.89387417421
5,0.01,V,115.89387417421
5,0.1,H,116.426288007663
5,0.1,V,116.426288007663
5,1.0,H,116.958700340829
5,1.0,V,116.958700340829
5,10.0,H,117.485394719533
5,10.0,V,117.485394719533
5,20.0,H,117.615188351318
5,20.0,V,117.615188351318
5,50.0,H,117.863252559341
5,50.0,V,117.863252559341
50,0.005,H,115.73360060041
50,0.005,V,115.73360060041
50,0.01,H,115.89387417421
50,0.01,V,115.89387417421
50,0.1,H,116.426288007663
50,0.1,V,116.426288007663
50,1.0,H,116.958700340829
50,1.0,V,116.958700340829
50,10.0,H,117.485394719533
50,10.0,V,117.485394719533
50,20.0,H,117.615188351318
50,20.0,V,117.615188351318
50,50.0,H,117.863252559341
50,50.0,V,117.863252559341
200,0.005,H,115.73360060041
200,0.005,V,115.73360060041
200,0.01,H,115.89387417421
200,0.01,V,115.89387417421
200,0.1,H,116.426288007663
200,0.1,V,116.426288007663
200,1.0,H,116.958700340829
200,1.0,V,116.958700340829
200,10.0,H,117.485394719533
200,10.0,V,117.485394719533
200,20.0,H,117.615188351318
200,20.0,V,117.615188351318
200,50.0,H,117.863252559341
200,50.0,V,117.863252559341
