pass_slot,protected_sample_count,interval_count,floor_violation_user_intervals,floor_violation_user_seconds,intervals_with_any_floor_violation,unique_violating_users,minimum_violating_floor_ratio,maximum_normalized_shortfall,maximum_absolute_shortfall_bps_hz,long_violation_seconds,short_violation_seconds,severity,method_runtime_seconds
0,587,118,27,135,27,1,0.9726650718277641,0.02733492817223593,0.035366618918633685,0,0,MATERIAL,19.969581311102957
1,571,115,27,135,27,1,0.9728193222443607,0.027180677755639225,0.03516704584247843,0,0,MATERIAL,19.60182762495242
2,581,117,11,55,11,1,0.9726317914001646,0.0273682085998354,0.035409677974539866,0,0,MATERIAL,19.850377992959693
3,594,119,16,79,16,2,0.810696983385736,0.18930301661426396,0.035639356242213704,0,0,MATERIAL,20.09573642280884
4,605,121,23,115,23,2,0.8107033307916489,0.18929666920835114,0.035623583766486666,0,0,MATERIAL,20.600197502877563
