method_id,long_violation_seconds,short_violation_seconds,long_maximum_excess_db,short_maximum_excess_db,eligible_floor_violation_user_intervals,eligible_floor_violation_user_seconds,total_normalized_floor_shortfall,final_moving_pf_utility,duration_weighted_mean_moving_pf_utility,protected_active_eligible_p05_bps_hz,protected_active_eligible_geometric_mean_bps_hz,total_active_eligible_p05_bps_hz,total_active_eligible_geometric_mean_bps_hz,sector_mute_interval_count,intervals_with_any_sector_mute,maximum_muted_sector_count,runtime_seconds,extra,pass_slot,protected_sample_count,interval_count,method_action_sha256,method_sector_scale_sha256,method_stream_action_sha256,runtime_scope,candidate_strict_local_scope_gate,candidate_strict_post_mode_power_gate,candidate_q0_envelope_deployable_actions,candidate_unresolved_deployable_intervals,candidate_network_wide_shutdown_intervals,candidate_maximum_mutable_sector_count,candidate_maximum_external_interferers_per_violating_user,candidate_maximum_eess_backoff_sectors,candidate_maximum_strict_post_mode_power_ratio,candidate_maximum_q0_power_envelope_ratio,candidate_maximum_normalized_floor_shortfall,candidate_baseline_noop_intervals,candidate_local_grid_repair_intervals,candidate_local_stream_repair_intervals,candidate_information_exchange_locality_certified,candidate_action_scope_locality_verified,candidate_global_oracles_classification_only,candidate_local_table_build_seconds_sum,candidate_repair_solver_seconds_sum,candidate_local_table_build_seconds_max,candidate_repair_solver_seconds_max,candidate_repair_solver_seconds_p95_nonzero,candidate_changed_stream_coefficient_count_sum,candidate_changed_sector_interval_count_sum,candidate_maximum_changed_stream_coefficients_per_interval,candidate_maximum_changed_sectors_per_interval,candidate_incremental_float32_payload_lower_bound_bytes_sum,candidate_payload_claim_boundary,campaign_seed,development_replay
robust_predictive_constrained_pf_with_sector_selective_fallback,0,0,-0.0003880136308384209,-14.486048414425596,215,1071,8.714204120504585,93.76929610950285,123.53621459208087,0.22161000183166277,2.356144232964792,0.30030591154099656,2.6534256664170592,160,45,7,6.846659658942372,{'mode_command_feasible': True},1,571,115,8c127e8f7148ffe67f016e1571f5dbae9e048e5881512e4bf060af73c14ee586,3ed68367f9de19a909ce3644d2d9a45d4c4f2f86cec9b4b3528bb9e328b55f47,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
static_robust_constrained_pf_with_sector_selective_fallback,0,0,-2.189427721256244,-16.879568614384947,215,1071,9.059610051249628,93.44748924237057,123.35122950733552,0.22059645104153974,2.3302472906503184,0.300201778164336,2.650447818435943,0,0,0,0.53342339489609,"{'static_mode_feasible': True, 'static_pre_fallback_ratio': 0.21092026743627595}",1,571,115,c6eba0792081cbc4ac933ab4362b455f2d31f68f6ffea6f96e26afe322e09be7,195cac71afed644ddf470842e7901fac29bfc04a8d3f661f1a23005cae87995b,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
delayed_myopic_constrained_pf_with_reactive_sector_fallback,0,0,-0.0002456840543556501,-14.439029174222092,215,1071,8.681756279966157,93.78068517779357,123.53771518277613,0.22163389963791164,2.3570767496709646,0.3003059082303363,2.6534911922636693,156,36,7,0.49289659317582846,{},1,571,115,329303508922ccfeb74f09de8814839c9dbd759c5be207c8fd536ed9b4c709c3,b07cdb9554fbd37a152a1b871e22171e9aadce051896154ba7eb4334cec1a13a,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
delayed_myopic_constrained_pf_unshielded,49,0,4.8594994718327005,-9.674468310576735,215,1071,8.672829395926831,93.55712352195327,123.4559548921028,0.22054544797180162,2.3514115223444616,0.3003058472570789,2.6526568976341967,0,0,0,6.335091853979975,{'mode_interval_max_ratio': 3.0616105600769483},1,571,115,b5c74b23c5624d471d28a8c248b275f833055249b99bc1fac1b61e476a993047,195cac71afed644ddf470842e7901fac29bfc04a8d3f661f1a23005cae87995b,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
virtual_queue_unshielded,135,0,5.377668175007352,-9.48663224236049,215,1071,9.044175138379345,93.48505245793031,123.3958319667567,0.2209821826906812,2.336448654612751,0.3003058955657086,2.65128005869899,0,0,0,4.62933987705037,"{'maximum_queue': 4.303024231892847, 'price_gain': 1.0}",1,571,115,2710b1671e7bdfdbbc513249ebd9d6d013acd1eb5fc474d25468480556e4eab9,195cac71afed644ddf470842e7901fac29bfc04a8d3f661f1a23005cae87995b,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
uniform_protected_tone_backoff,0,0,1.928654933106574e-15,-14.458508405243236,215,1071,8.714027826156384,93.51602801192381,123.3845994755963,0.22059098585160086,2.341284010614856,0.30030308067254685,2.6515767090371365,0,0,0,0.0760165574029088,{},1,571,115,8c127e8f7148ffe67f016e1571f5dbae9e048e5881512e4bf060af73c14ee586,53b8b79be1a93489f67ed6e6bee5f4e439c4bc5ed5a0891d277e06088b096d17,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
hard_spatial_null_or_exact_mute,0,0,-2.2609395796315193,-16.94841022243018,255,1271,9.062896319783702,93.4390248840629,123.33895149189796,0.22059633614412757,2.3282709669338577,0.30017525789678434,2.650196143198025,0,0,0,0.016973902937024832,{},1,571,115,a35293ac0832b0d2c8d57a59e0a37f2bd7697d51a1542e5f7b9aff86fa1e7d6f,195cac71afed644ddf470842e7901fac29bfc04a8d3f661f1a23005cae87995b,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
common_scale_instantaneous_noncausal_reference,0,0,5.785964799319719e-15,-14.687470642798662,224,1116,9.0466030237122,93.44131812240676,123.34077844269665,0.22104343794677753,2.3287472761680457,0.3001752973632184,2.6502282200698053,0,0,0,0.2199293877929449,"{'time_resolution_seconds': 1, 'delay_intervals': 0, 'slew_constraint': False}",1,571,115,3bf3c63c5af84005a8660e6ed26041643e6b244cbb582b259ef2259f13197f19,195cac71afed644ddf470842e7901fac29bfc04a8d3f661f1a23005cae87995b,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
candidate_v4_5_companion_aware_protected_subband_scheduling,0,0,-0.0006283657710851301,-14.475380753048018,0,0,0.0,85.70350607748364,123.00276378908966,0.25515794961400196,2.3885543328363075,0.3056845026761343,2.667095378349947,163,44,7,2.431803239043802,"{'action_class_counts': {'FLOOR_FIRST_PROTECTED_SUBBAND_SCHEDULING_G0': 40, 'SPARSE_LOCAL_STREAM_POWER_REPAIR': 57, 'BASELINE_NOOP': 20}, 'strict_local_scope_gate': 'PASS', 'strict_local_scope_violation_intervals': 0, 'strict_post_mode_selected_power_gate': 'PASS', 'strict_post_mode_power_violation_intervals': 0, 'q0_envelope_deployable_actions': 0, 'unresolved_deployable_intervals': 0, 'diagnostic_g8_scheduling_feasible_intervals': 0, 'network_wide_shutdown_intervals': 0, 'maximum_normalized_floor_shortfall': 0.0, 'maximum_mutable_sector_count': 14, 'maximum_external_interferers_per_violating_user': 2, 'maximum_eess_backoff_sectors': 2, 'maximum_post_mode_selected_power_ratio': 1.0000000000000004, 'maximum_strict_post_mode_selected_power_ratio': 1.0000000000000004, 'maximum_q0_nominal_power_envelope_ratio': 1.0000000000000002, 'protected_subband_scheduling_intervals': 40, 'protected_subband_scheduling_success_intervals': 40, 'protected_subband_scheduling_failure_intervals': 0, 'protected_subband_scheduling_guard_limit_counts': {'0': 40}, 'maximum_schedule_mode_count': 108, 'maximum_schedule_guard_sector_count': 0, 'schedule_slots_per_second': 2000, 'scheduled_nonbaseline_slots_per_second_sum': 47122, 'maximum_scheduled_nonbaseline_slots_per_second': 1197, 'maximum_protected_subband_scheduled_fraction': 0.5985, 'maximum_schedule_nonzero_mode_count': 5, 'maximum_schedule_critical_sector_count': 4, 'maximum_schedule_mutable_sector_count': 4, 'local_table_build_seconds_sum': 0.40666131349280477, 'local_table_build_seconds_max': 0.003749161958694458, 'repair_solver_seconds_sum': 1.3037786805070937, 'repair_solver_seconds_max': 0.01884585479274392, 'repair_solver_seconds_p95_nonzero': 0.01856104303151369, 'schedule_solver_seconds_sum': 0.5162088572978973, 'schedule_solver_seconds_max': 0.015051310881972313, 'candidate_end_to_end_seconds': 2.431776989251375, 'information_exchange_locality_certified': False, 'action_scope_locality_verified': True, 'global_oracles_classification_only': True, 'changed_stream_coefficient_count_sum': 621, 'changed_sector_interval_count_sum': 217, 'maximum_changed_stream_coefficients_per_interval': 14, 'maximum_changed_sectors_per_interval': 4, 'incremental_float32_payload_lower_bound_bytes_sum': 3604, 'payload_claim_boundary': 'LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT', 'claim_boundary': 'DEVELOPMENT_REPLAY_ON_PREVIOUSLY_OBSERVED_SEEDS_NOT_CONFIRMATORY_NOT_CALIBRATION_NOT_REGULATORY_COMPLIANCE'}",2,581,117,e48dc9bbf07a88f3c9a0b5c1ed6b2d8c63c559622d3e90647cf7b59fc982daf6,a4d61d99a92206a1fa60b049f7ce004ba7a7046c43e52dbf3ab7dab39606f535,21667afed0ba4eaf3e85ee4e94a4f3fcf0846ce7a10b38bccf649ef44602fa33,candidate_end_to_end_including_sequential_fallback_and_repair_oracles,PASS,PASS,0.0,0.0,0.0,14.0,2.0,2.0,1.0000000000000004,1.0000000000000002,0.0,20.0,0.0,57.0,False,True,True,0.40666131349280477,1.3037786805070937,0.003749161958694458,0.01884585479274392,0.01856104303151369,621.0,217.0,14.0,4.0,3604.0,LOWER_BOUND_FOR_CHANGED_FLOAT32_STREAM_COEFFICIENTS_PLUS_SCHEDULE_COUNTS_NOT_A_SERIALIZED_PROTOCOL_MEASUREMENT,44018,True
robust_predictive_constrained_pf_with_sector_selective_fallback,0,0,-0.0006283657710851301,-14.472369383814904,217,1081,8.754024735303746,85.73014452373786,122.98639878279083,0.22548250895221464,2.3664019224848887,0.30100080264616486,2.6666191656470444,163,44,7,6.894897270016372,{'mode_command_feasible': False},2,581,117,e48dc9bbf07a88f3c9a0b5c1ed6b2d8c63c559622d3e90647cf7b59fc982daf6,0f37c8cf7bc5a77be8d7d7961370ca9c25b1c53478a66989095302b413ab57d4,NOT_APPLICABLE,legacy_method_specific_not_cross_method_comparable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44018,True
