pass_slot,status,floor_violation_user_seconds,unresolved_deployable_intervals,captured_repair_intervals
0,PASS,500,60,98
1,PASS,500,60,95
2,PASS,500,60,97
3,PASS,508,61,99
4,PASS,530,63,101
