JobIDRaw|JobName|Account|State|ExitCode|Elapsed|MaxRSS|ReqMem|AllocTRES|NodeList
18150488|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:02:11||16G|billing=8000,cpu=8,mem=16G,node=1|rc32425
18150488.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:02:11|403616K||cpu=8,mem=16G,node=1|rc32425
18150488.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:02:11|||billing=8000,cpu=8,mem=16G,node=1|rc32425
18150489|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:02:30||16G|billing=8000,cpu=8,mem=16G,node=1|rc32505
18150489.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:02:30|419360K||cpu=8,mem=16G,node=1|rc32505
18150489.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:02:30|||billing=8000,cpu=8,mem=16G,node=1|rc32505
18150490|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:01:55||16G|billing=8000,cpu=8,mem=16G,node=1|rc31708
18150490.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:01:55|371996K||cpu=8,mem=16G,node=1|rc31708
18150490.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:01:55|||billing=8000,cpu=8,mem=16G,node=1|rc31708
18150491|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:01:59||16G|billing=8000,cpu=8,mem=16G,node=1|rc31708
18150491.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:01:59|385664K||cpu=8,mem=16G,node=1|rc31708
18150491.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:01:59|||billing=8000,cpu=8,mem=16G,node=1|rc31708
18150530|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:01:57||16G|billing=8000,cpu=8,mem=16G,node=1|rc32425
18150530.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:01:57|340612K||cpu=8,mem=16G,node=1|rc32425
18150530.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:01:57|||billing=8000,cpu=8,mem=16G,node=1|rc32425
18150531|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:02:00||16G|billing=8000,cpu=8,mem=16G,node=1|rc31720
18150531.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:02:00|365608K||cpu=8,mem=16G,node=1|rc31720
18150531.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:02:00|||billing=8000,cpu=8,mem=16G,node=1|rc31720
18150532|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:01:53||16G|billing=8000,cpu=8,mem=16G,node=1|rc31720
18150532.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:01:53|366336K||cpu=8,mem=16G,node=1|rc31720
18150532.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:01:53|||billing=8000,cpu=8,mem=16G,node=1|rc31720
18150533|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:01:58||16G|billing=8000,cpu=8,mem=16G,node=1|rc31720
18150533.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:01:58|369792K||cpu=8,mem=16G,node=1|rc31720
18150533.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:01:58|||billing=8000,cpu=8,mem=16G,node=1|rc31720
18150553|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:02:10||16G|billing=8000,cpu=8,mem=16G,node=1|rc32505
18150553.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:02:10|342156K||cpu=8,mem=16G,node=1|rc32505
18150553.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:02:10|||billing=8000,cpu=8,mem=16G,node=1|rc32505
18150554|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:01:53||16G|billing=8000,cpu=8,mem=16G,node=1|rc32425
18150554.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:01:53|342232K||cpu=8,mem=16G,node=1|rc32425
18150554.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:01:53|||billing=8000,cpu=8,mem=16G,node=1|rc32425
18150465|fr3-v43-faildiag|def-rsadve_cpu|COMPLETED|0:0|00:01:58||16G|billing=8000,cpu=8,mem=16G,node=1|rc32505
18150465.batch|batch|def-rsadve_cpu|COMPLETED|0:0|00:01:58|340344K||cpu=8,mem=16G,node=1|rc32505
18150465.extern|extern|def-rsadve_cpu|COMPLETED|0:0|00:01:58|||billing=8000,cpu=8,mem=16G,node=1|rc32505
