pass_slot,status,floor_violation_user_seconds,unresolved_deployable_intervals,captured_repair_intervals
0,PASS,773,43,98
1,PASS,709,40,95
2,PASS,799,52,97
3,PASS,845,55,98
4,PASS,840,54,98
