scenario,absolute_rate_threshold_bps_hz,below_threshold_count,below_threshold_indoor_count,below_threshold_outdoor_count
nominal_total_band,0.01,6,0,6
common_scale_worst_total_band,0.01,6,0,6
nominal_protected_band,0.01,8,0,8
common_scale_worst_protected_band,0.01,10,0,10
nominal_total_band,0.05,16,2,14
common_scale_worst_total_band,0.05,16,2,14
nominal_protected_band,0.05,14,0,14
common_scale_worst_protected_band,0.05,17,0,17
nominal_total_band,0.1,21,3,18
common_scale_worst_total_band,0.1,21,3,18
nominal_protected_band,0.1,26,6,20
common_scale_worst_protected_band,0.1,28,5,23
nominal_total_band,0.25,32,8,24
common_scale_worst_total_band,0.25,32,8,24
nominal_protected_band,0.25,34,8,26
common_scale_worst_protected_band,0.25,36,8,28
nominal_total_band,0.5,47,14,33
common_scale_worst_total_band,0.5,47,14,33
nominal_protected_band,0.5,51,18,33
common_scale_worst_protected_band,0.5,52,18,34
nominal_total_band,1.0,64,25,39
common_scale_worst_total_band,1.0,65,26,39
nominal_protected_band,1.0,62,26,36
common_scale_worst_protected_band,1.0,71,33,38
